,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off
0,89.85,29976.731375933658,712.0,0,4.42,2.0,63973.2,-63973.2,16504.430676281783,0,609.6184961888824,16882.420091324202,1,0,0,0
1,89.85,29976.731375933654,712.0,0,4.42,2.0,63973.2,-63973.2,16504.430676281783,0,609.6184961888824,16882.420091324202,1,0,0,0
2,89.85,29976.731375933654,712.0,0,4.42,2.0,63973.2,-63973.2,16504.430676281783,0,609.6184961888824,16882.420091324202,1,0,0,0
3,89.84,29969.61137586246,712.0,0,4.42,2.0,63966.08,-63966.08,16504.430676281783,0,609.6184961888823,16882.420091324202,1,0,0,0
4,89.81,29948.251375648855,712.0,0,4.42,2.0,63944.72,-63944.72,16504.430676281783,0,609.6184961888823,16882.420091324202,1,0,0,0
5,89.01,29378.65136995286,712.0,0,4.42,2.0,63375.12,-63375.12,16504.430676281772,0,609.6184961888819,16882.420091324202,1,0,0,0
6,88.75,29193.531368101656,712.0,0,4.42,2.0,63190.0,-63190.0,16504.43067628177,0,609.6184961888816,16882.420091324202,1,0,0,0
7,88.74,29186.41136803045,712.0,0,4.42,2.0,63182.88,-63182.88,16504.43067628177,0,609.6184961888817,16882.420091324202,1,0,0,0
8,89.06,29414.251370308863,712.0,0,4.42,2.0,63410.72,-63410.72,16504.430676281772,0,609.618496188882,16882.420091324202,1,0,0,0
9,89.28,29570.891371875256,712.0,0,4.42,2.0,63567.36,-63567.36,16504.430676281776,0,609.6184961888821,16882.420091324202,1,0,0,0
10,88.26,28844.65136461286,712.0,0,4.42,2.0,62841.12,-62841.12,16504.43067628176,0,609.6184961888814,16882.420091324202,1,0,0,0
11,0.06,7389.491167300852,-382.00003933674924,5.0,4.42,2.0,-22.920002360204954,22.920002360204954,10923.547790965713,10.0,781.6213080458355,16882.420091324202,0,0,1,0
12,0.0,7412.411169661087,-382.0000393367541,5.0,4.42,2.0,-0.0,0.0,10923.547790965682,10.0,781.6213080458398,16882.420091324202,0,0,1,0
13,0.06,7389.491167300855,-382.0000393367493,5.0,4.42,2.0,-22.920002360204958,22.920002360204958,10923.547790965713,10.0,781.6213080458352,16882.420091324202,0,0,1,0
