,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off
0,35.1101,-4332.585776982298,-659.6383298512492,5.0,3.87,2.0,-23159.967724910344,23159.967724910344,3138.0483761098503,10.0,116.83199064477665,-14308.219178082192,0,1,0,0
1,31.8735,-2197.6003585852054,-659.6383298512781,5.0,3.87,2.0,-21024.98230651471,21024.98230651471,3138.048376109983,10.0,116.83199064478175,-14308.219178082192,0,1,0,0
2,34.1083,-3671.76009813715,-659.6383298512594,5.0,3.87,2.0,-22499.14204606571,22499.14204606571,3138.048376109897,10.0,116.83199064477844,-14308.219178082192,0,1,0,0
3,34.5634,-3971.9615020525266,-659.638329851255,5.0,3.87,2.0,-22799.343449980868,22799.343449980868,3138.0483761098762,10.0,116.83199064477766,-14308.219178082192,0,1,0,0
4,34.852,-4162.3331240476455,-659.638329851252,5.0,3.87,2.0,-22989.715071975832,22989.715071975832,3138.0483761098626,10.0,116.83199064477714,-14308.219178082192,0,1,0,0
5,34.734,-4084.495801125176,-659.6383298512533,5.0,3.87,2.0,-22911.877749053434,22911.877749053434,3138.0483761098685,10.0,116.83199064477735,-14308.219178082192,0,1,0,0
6,36.928,-4058.4151477556707,650.0,0,3.87,2.0,24003.199999999997,-24003.199999999997,15071.97298250289,0,556.8949784127618,14308.219178082192,1,0,0,0
7,33.1018,-3007.834119141698,-659.6383298512684,5.0,3.87,2.0,-21835.216067070713,21835.216067070713,3138.048376109939,10.0,116.83199064478003,-14308.219178082192,0,1,0,0
8,27.7826,500.9140850039395,-659.6383298513027,5.0,3.87,2.0,-18326.467862926802,18326.467862926802,3138.048376110097,10.0,116.8319906447861,-14308.219178082192,0,1,0,0
9,18.0928,6892.677573598168,-659.638329851336,5.0,3.87,2.0,-11934.704374334253,11934.704374334253,3138.048376110251,10.0,116.83199064479201,-14308.219178082192,0,1,0,0
10,19.4796,5977.891137760229,-659.6383298513325,5.0,3.87,2.0,-12849.490810172018,12849.490810172018,3138.048376110235,10.0,116.8319906447914,-14308.219178082192,0,1,0,0
11,16.8287,7726.526386363343,-659.638329851339,5.0,3.87,2.0,-11100.85556156923,11100.85556156923,3138.0483761102646,10.0,116.83199064479254,-14308.219178082192,0,1,0,0
12,3.591,16458.6207054374,-659.6383298513601,5.0,3.87,2.0,-2368.7612424962344,2368.7612424962344,3138.048376110362,10.0,116.83199064479629,-14308.219178082192,0,1,0,0
13,13.5661,9878.662401336565,-659.6383298513456,5.0,3.87,2.0,-8948.71954659634,8948.71954659634,3138.0483761102946,10.0,116.83199064479372,-14308.219178082192,0,1,0,0
14,12.9089,10312.176711714912,-659.6383298513468,5.0,3.87,2.0,-8515.205236218051,8515.205236218051,3138.0483761103,10.0,116.83199064479393,-14308.219178082192,0,1,0,0
15,29.3415,-527.3961074014281,-659.6383298512944,5.0,3.87,2.0,-19354.778055331757,19354.778055331757,3138.048376110059,10.0,116.83199064478465,-14308.219178082192,0,1,0,0
16,53.509,6719.234960020832,650.0,0,3.87,2.0,34780.85,-34780.85,15071.972982505053,0,556.8949784128441,14308.219178082192,1,0,0,0
17,53.9529,7007.769962906182,650.0,0,3.87,2.0,35069.385,-35069.385,15071.972982505082,0,556.8949784128451,14308.219178082192,1,0,0,0
18,45.3967,1446.239907290885,650.0,0,3.87,2.0,29507.855000000003,-29507.855000000003,15071.97298250438,0,556.8949784128185,14308.219178082192,1,0,0,0
19,43.0923,-51.62010768771694,650.0,0,3.87,2.0,28009.995000000003,-28009.995000000003,15071.972982504094,0,556.8949784128076,14308.219178082192,1,0,0,0
20,48.3129,3341.7699262461797,650.0,0,3.87,2.0,31403.385,-31403.385,15071.97298250467,0,556.8949784128296,14308.219178082192,1,0,0,0
21,55.3448,7912.504971953532,650.0,0,3.87,2.0,35974.12,-35974.12,15071.97298250516,0,556.8949784128482,14308.219178082192,1,0,0,0
22,44.7682,1037.7149032056343,650.0,0,3.87,2.0,29099.33,-29099.33,15071.972982504309,0,556.8949784128158,14308.219178082192,1,0,0,0
23,43.7788,394.60489677452733,650.0,0,3.87,2.0,28456.219999999998,-28456.219999999998,15071.972982504187,0,556.894978412811,14308.219178082192,1,0,0,0
24,37.7413,-3529.770142469217,650.0,0,3.87,2.0,24531.845,-24531.845,15071.972982503103,0,556.8949784127699,14308.219178082192,1,0,0,0
25,35.3932,-4519.329388163231,-659.6383298512461,5.0,3.87,2.0,-23346.711336091124,23346.711336091124,3138.048376109836,10.0,116.8319906447761,-14308.219178082192,0,1,0,0
26,41.5151,-1076.80011793952,650.0,0,3.87,2.0,26984.815,-26984.815,15071.972982503858,0,556.8949784127987,14308.219178082192,1,0,0,0
27,40.628,-1653.415123705669,650.0,0,3.87,2.0,26408.2,-26408.2,15071.972982503708,0,556.894978412793,14308.219178082192,1,0,0,0
28,43.3189,95.6698937851835,650.0,0,3.87,2.0,28157.285,-28157.285,15071.972982504125,0,556.8949784128088,14308.219178082192,1,0,0,0
29,51.0544,5123.744944065931,650.0,0,3.87,2.0,33185.36,-33185.36,15071.97298250489,0,556.8949784128379,14308.219178082192,1,0,0,0
30,58.278,9819.08499101933,650.0,0,3.87,2.0,37880.7,-37880.7,15071.97298250531,0,556.8949784128539,14308.219178082192,1,0,0,0
31,43.2256,35.02489317873183,650.0,0,3.87,2.0,28096.64,-28096.64,15071.972982504112,0,556.8949784128083,14308.219178082192,1,0,0,0
32,35.277,-4442.679414234495,-659.6383298512474,5.0,3.87,2.0,-23270.061362162454,23270.061362162454,3138.0483761098417,10.0,116.83199064477633,-14308.219178082192,0,1,0,0
33,32.3201,-2492.1948366968495,-659.6383298512746,5.0,3.87,2.0,-21319.57678462618,21319.57678462618,3138.0483761099676,10.0,116.83199064478116,-14308.219178082192,0,1,0,0
34,29.1422,-395.9301882620427,-659.6383298512956,5.0,3.87,2.0,-19223.312136192424,19223.312136192424,3138.0483761100636,10.0,116.83199064478485,-14308.219178082192,0,1,0,0
35,33.1488,-3038.8371206447173,-659.638329851268,5.0,3.87,2.0,-21866.219068573715,21866.219068573715,3138.0483761099367,10.0,116.83199064477996,-14308.219178082192,0,1,0,0
36,32.5365,-2634.9405712766925,-659.638329851273,5.0,3.87,2.0,-21462.322519205944,21462.322519205944,3138.04837610996,10.0,116.83199064478086,-14308.219178082192,0,1,0,0
37,27.1682,906.1958748646505,-659.6383298513056,5.0,3.87,2.0,-17921.186073066237,17921.186073066237,3138.04837611011,10.0,116.83199064478663,-14308.219178082192,0,1,0,0
38,28.6884,-96.58631417547193,-659.638329851298,5.0,3.87,2.0,-18923.968262105976,18923.968262105976,3138.0483761100754,10.0,116.8319906447853,-14308.219178082192,0,1,0,0
39,35.2968,-4455.740253165551,-659.6383298512471,5.0,3.87,2.0,-23283.122201093498,23283.122201093498,3138.048376109841,10.0,116.83199064477628,-14308.219178082192,0,1,0,0
40,41.2601,-1242.5501195970169,650.0,0,3.87,2.0,26819.065000000002,-26819.065000000002,15071.972982503816,0,556.8949784127972,14308.219178082192,1,0,0,0
