,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off
0,59.9948,-2678.119682174699,712.0,0,7.47,2.0,42716.2976,-42716.2976,16509.607328527374,0,610.0141917383302,16882.420091324202,1,0,0,0
1,58.1359,-4001.6564954100586,712.0,0,7.47,2.0,41392.7608,-41392.7608,16509.607328526992,0,610.0141917383156,16882.420091324202,1,0,0,0
2,59.9581,-2704.250082435994,712.0,0,7.47,2.0,42690.1672,-42690.1672,16509.607328527363,0,610.0141917383299,16882.420091324202,1,0,0,0
3,65.8373,1481.7403594239167,712.0,0,7.47,2.0,46876.1576,-46876.1576,16509.607328528185,0,610.0141917383611,16882.420091324202,1,0,0,0
4,65.1528,994.3763545502718,712.0,0,7.47,2.0,46388.7936,-46388.7936,16509.60732852811,0,610.0141917383582,16882.420091324202,1,0,0,0
5,78.1992,10283.413247440647,712.0,0,7.47,2.0,55677.830400000006,-55677.830400000006,16509.607328529048,0,610.0141917383938,16882.420091324202,1,0,0,0
6,88.8268,17850.26452310916,712.0,0,7.47,2.0,63244.6816,-63244.6816,16509.607328529422,0,610.0141917384082,16882.420091324202,1,0,0,0
7,83.5508,14093.752485544026,712.0,0,7.47,2.0,59488.169599999994,-59488.169599999994,16509.607328529262,0,610.0141917384019,16882.420091324202,1,0,0,0
8,52.1768,-7982.578685394999,567.0,1.0193028607010541,7.47,2.0,29584.2456,-29584.2456,16184.939109007542,2.0386057214021083,670.1056425458355,16882.420091324202,0,0,1,0
9,38.6778,-15636.511761934331,567.0,1.0193028607026644,7.47,2.0,21930.312599999997,-21930.312599999997,16184.939109009967,2.038605721405329,670.1056425461246,16882.420091324202,0,0,1,0
10,17.5206,-5646.338339918187,-255.90548389494694,5.0,7.47,2.0,-4483.617621129808,4483.617621129808,11613.662332255863,10.0,652.6861408651308,16882.420091324202,0,0,1,0
11,12.9024,-4403.897294633589,-281.8085152877121,5.0,7.47,2.0,-3636.006187648177,3636.006187648177,11370.881010192832,10.0,668.1679489293183,16882.420091324202,0,0,1,0
12,14.2873,-4788.964777868417,-274.25693499881316,5.0,7.47,2.0,-3918.3911074085436,3918.3911074085436,11434.746687080666,10.0,662.9146286135858,16882.420091324202,0,0,1,0
13,13.5103,-4574.209291536265,-278.5150277090221,5.0,7.47,2.0,-3762.8215788572015,3762.8215788572015,11398.018962684115,10.0,665.8001869509966,16882.420091324202,0,0,1,0
14,14.2468,-4777.852849248892,-274.4802552846208,5.0,7.47,2.0,-3910.4653009889357,3910.4653009889357,11432.774803786884,10.0,663.0610784056523,16882.420091324202,0,0,1,0
15,35.3584,-9133.739013225973,-122.86949393784094,5.0,7.47,2.0,-4344.468714451756,4344.468714451756,13750.187263303285,10.0,668.4119120403144,16882.420091324202,0,0,1,0
16,76.6469,9178.175636388263,712.0,0,7.47,2.0,54572.5928,-54572.5928,16509.60732852897,0,610.0141917383909,16882.420091324202,1,0,0,0
17,102.4949,27581.951820426017,712.0,0,7.47,2.0,72976.3688,-72976.3688,16509.607328529717,0,610.0141917384192,16882.420091324202,1,0,0,0
18,90.9726,19378.074138387252,712.0,0,7.47,2.0,64772.4912,-64772.4912,16509.607328529477,0,610.0141917384103,16882.420091324202,1,0,0,0
