,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off
0,35.2891,-4502.695592198474,650.0,0,3.87,2.0,22937.914999999997,-22937.914999999997,15071.97298250238,0,556.8949784127425,13687.214611872145,1,0,0,0
1,31.9794,-6654.000613711522,650.0,0,3.87,2.0,20786.61,-20786.61,15071.972982500834,0,556.8949784126837,13687.214611872145,1,0,0,0
2,34.181,-5222.960599401122,650.0,0,3.87,2.0,22217.649999999998,-22217.649999999998,15071.972982501957,0,556.8949784127263,13687.214611872145,1,0,0,0
3,34.6328,-4929.290596464421,650.0,0,3.87,2.0,22511.320000000003,-22511.320000000003,15071.972982502139,0,556.8949784127334,13687.214611872145,1,0,0,0
4,34.838,-4795.91059513062,650.0,0,3.87,2.0,22644.7,-22644.7,15071.972982502217,0,556.8949784127364,13687.214611872145,1,0,0,0
5,34.8072,-4815.93059533082,650.0,0,3.87,2.0,22624.68,-22624.68,15071.972982502204,0,556.8949784127359,13687.214611872145,1,0,0,0
6,37.3273,-3177.86557895017,650.0,0,3.87,2.0,24262.745,-24262.745,15071.972982502997,0,556.894978412766,13687.214611872145,1,0,0,0
7,32.9227,-6040.855607580073,650.0,0,3.87,2.0,21399.755,-21399.755,15071.97298250137,0,556.8949784127042,13687.214611872145,1,0,0,0
8,26.8612,-9980.83064697982,650.0,0,3.87,2.0,17459.78,-17459.78,15071.972982494191,0,556.8949784124312,13687.214611872145,1,0,0,0
9,16.5937,-13687.214611872145,0,0,3.87,2.0,0,0,0,0,0,13687.214611872145,0,0,0,1
10,17.5939,-13687.214611872145,0,0,3.87,2.0,0,0,0,0,0,13687.214611872145,0,0,0,1
11,14.547,-13687.214611872145,0,0,3.87,2.0,0,0,0,0,0,13687.214611872145,0,0,0,1
12,3.3767,-13687.214611872145,0,0,3.87,2.0,0,0,0,0,0,13687.214611872145,0,0,0,1
13,12.8095,-13687.214611872145,0,0,3.87,2.0,0,0,0,0,0,13687.214611872145,0,0,0,1
14,12.2489,-13687.214611872145,0,0,3.87,2.0,0,0,0,0,0,13687.214611872145,0,0,0,1
