,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off
0,26.81243075,-15222.226044335259,-55.06606662527639,5.0,4.42,2.0,-1476.4550980651095,1476.4550980651095,20610.598014297673,10.0,3856.634479179732,25278.538812785388,0,0,1,0
1,26.74570229,-15218.551570511136,-55.06606662529136,5.0,4.42,2.0,-1472.7806242413478,1472.7806242413478,20610.59801429739,10.0,3856.6344791796814,25278.538812785388,0,0,1,0
2,29.75779866,-15384.415869901546,-55.06606662491051,5.0,4.42,2.0,-1638.6449236222327,1638.6449236222327,20610.598014304185,10.0,3856.6344791808833,25278.538812785388,0,0,1,0
3,29.80724006,-15387.138413327966,-55.066066624906966,5.0,4.42,2.0,-1641.367467048556,1641.367467048556,20610.59801430424,10.0,3856.6344791808933,25278.538812785388,0,0,1,0
4,30.05785597,-15400.938845725233,-55.06606662488928,5.0,4.42,2.0,-1655.167899445346,1655.167899445346,20610.59801430451,10.0,3856.6344791809406,25278.538812785388,0,0,1,0
5,30.41020048,-15420.341071987736,-55.066066624866,5.0,4.42,2.0,-1674.570125707212,1674.570125707212,20610.598014304855,10.0,3856.6344791810016,25278.538812785388,0,0,1,0
6,30.73743074,-15438.36035528651,-55.066066624845675,5.0,4.42,2.0,-1692.5894090054196,1692.5894090054196,20610.59801430515,10.0,3856.634479181052,25278.538812785388,0,0,1,0
7,30.97004283,-15451.16938813216,-55.06606662483198,5.0,4.42,2.0,-1705.39844185068,1705.39844185068,20610.59801430534,10.0,3856.6344791810848,25278.538812785388,0,0,1,0
8,30.82803651,-15443.349658653911,-55.06606662484027,5.0,4.42,2.0,-1697.5787123726682,1697.5787123726682,20610.598014305222,10.0,3856.634479181065,25278.538812785388,0,0,1,0
9,27.7023539,-15271.230611804014,-55.066066625118644,5.0,4.42,2.0,-1525.4596655300152,1525.4596655300152,20610.598014300605,10.0,3856.634479180252,25278.538812785388,0,0,1,0
10,19.06684783,-14786.986047571065,-57.12649497593298,5.0,4.42,2.0,-1089.2221867673736,1089.2221867673736,20569.84681980425,10.0,3849.3785882077573,25278.538812785388,0,0,1,0
11,29.65347475,-15378.671162522936,-55.066066624918385,5.0,4.42,2.0,-1632.900216243835,1632.900216243835,20610.598014304058,10.0,3856.6344791808615,25278.538812785388,0,0,1,0
12,29.80666683,-15387.10684780659,-55.066066624906945,5.0,4.42,2.0,-1641.335901527184,1641.335901527184,20610.598014304236,10.0,3856.634479180894,25278.538812785388,0,0,1,0
13,29.80859084,-15387.212795469439,-55.066066624906846,5.0,4.42,2.0,-1641.441849190028,1641.441849190028,20610.59801430424,10.0,3856.634479180894,25278.538812785388,0,0,1,0
14,29.60782824,-15376.157588762093,-55.06606662492183,5.0,4.42,2.0,-1630.3866424830821,1630.3866424830821,20610.598014304003,10.0,3856.6344791808524,25278.538812785388,0,0,1,0
15,29.39729595,-15364.564403654305,-55.06606662493829,5.0,4.42,2.0,-1618.7934573757284,1618.7934573757284,20610.598014303738,10.0,3856.634479180805,25278.538812785388,0,0,1,0
16,31.33218674,-15471.111228807948,-55.066066624811675,5.0,4.42,2.0,-1725.340282525881,1725.340282525881,20610.598014305604,10.0,3856.634479181131,25278.538812785388,0,0,1,0
17,48.61502855,-16290.151268584266,10.132656059917572,4.5381103137978895,4.42,2.0,492.59936364022326,-492.59936364022326,20380.25501723205,9.076220627595779,3798.3510615518567,25278.538812785388,0,0,1,0
18,42.01498129,-16059.370705236135,-55.06606662367376,5.0,4.42,2.0,-2313.599758907547,2313.599758907547,20610.598014303858,10.0,3856.6344791805673,25278.538812785388,0,0,1,0
19,40.89906467,-15997.921566291616,-55.06606662407305,5.0,4.42,2.0,-2252.1506199804926,2252.1506199804926,20610.598014305862,10.0,3856.6344791810275,25278.538812785388,0,0,1,0
20,36.17836264,-15737.971073792321,-55.06606662457454,5.0,4.42,2.0,-1992.2001275022585,1992.2001275022585,20610.598014307314,10.0,3856.634479181404,25278.538812785388,0,0,1,0
21,33.34348879,-15581.865721495627,-55.066066624711894,5.0,4.42,2.0,-1836.0947752104744,1836.0947752104744,20610.598014306666,10.0,3856.6344791813103,25278.538812785388,0,0,1,0
22,32.05151158,-15510.721618372183,-55.06606662477396,5.0,4.42,2.0,-1764.9506720889942,1764.9506720889942,20610.59801430606,10.0,3856.6344791812085,25278.538812785388,0,0,1,0
23,31.32095575,-15470.492782364345,-55.066066624812194,5.0,4.42,2.0,-1724.7218360822947,1724.7218360822947,20610.5980143056,10.0,3856.6344791811293,25278.538812785388,0,0,1,0
24,30.04769211,-15400.379161933311,-55.06606662488999,5.0,4.42,2.0,-1654.6082156534412,1654.6082156534412,20610.5980143045,10.0,3856.634479180939,25278.538812785388,0,0,1,0
25,30.09858284,-15403.181514262067,-55.06606662488651,5.0,4.42,2.0,-1657.4105679821057,1657.4105679821057,20610.598014304553,10.0,3856.6344791809483,25278.538812785388,0,0,1,0
26,30.09803866,-15403.151548409931,-55.06606662488647,5.0,4.42,2.0,-1657.3806021299686,1657.3806021299686,20610.598014304553,10.0,3856.634479180948,25278.538812785388,0,0,1,0
27,30.13858922,-15405.38450824856,-55.06606662488376,5.0,4.42,2.0,-1659.6135619685235,1659.6135619685235,20610.598014304593,10.0,3856.634479180955,25278.538812785388,0,0,1,0
28,30.14137661,-15405.53799885201,-55.066066624883575,5.0,4.42,2.0,-1659.7670525719673,1659.7670525719673,20610.598014304596,10.0,3856.634479180956,25278.538812785388,0,0,1,0
29,30.87715433,-15446.054383802495,-55.06606662483733,5.0,4.42,2.0,-1700.2834375211646,1700.2834375211646,20610.598014305266,10.0,3856.634479181072,25278.538812785388,0,0,1,0
30,32.70650174,-15546.78935016126,-55.06606662474192,5.0,4.42,2.0,-1801.0184038770776,1801.0184038770776,20610.598014306397,10.0,3856.6344791812658,25278.538812785388,0,0,1,0
31,32.81450473,-15552.736650004266,-55.06606662473676,5.0,4.42,2.0,-1806.9657037199197,1806.9657037199197,20610.598014306448,10.0,3856.634479181274,25278.538812785388,0,0,1,0
32,32.43780854,-15531.993472508459,-55.066066624754946,5.0,4.42,2.0,-1786.222526224685,1786.222526224685,20610.598014306266,10.0,3856.6344791812435,25278.538812785388,0,0,1,0
33,30.11194919,-15403.917546581695,-55.06606662488548,5.0,4.42,2.0,-1658.1466003017065,1658.1466003017065,20610.59801430457,10.0,3856.634479180951,25278.538812785388,0,0,1,0
34,30.05237057,-15400.63678632337,-55.066066624889636,5.0,4.42,2.0,-1654.8658400434927,1654.8658400434927,20610.59801430451,10.0,3856.6344791809397,25278.538812785388,0,0,1,0
35,30.12014534,-15404.368876323659,-55.066066624885046,5.0,4.42,2.0,-1658.5979300436609,1658.5979300436609,20610.598014304574,10.0,3856.634479180952,25278.538812785388,0,0,1,0
36,30.11931677,-15404.32325023284,-55.06606662488511,5.0,4.42,2.0,-1658.5523039528396,1658.5523039528396,20610.598014304574,10.0,3856.6344791809515,25278.538812785388,0,0,1,0
37,30.12093309,-15404.412254617642,-55.06606662488495,5.0,4.42,2.0,-1658.6413083376417,1658.6413083376417,20610.598014304574,10.0,3856.6344791809524,25278.538812785388,0,0,1,0
38,29.99593015,-15397.528834395322,-55.06606662489354,5.0,4.42,2.0,-1651.7578881155528,1651.7578881155528,20610.598014304447,10.0,3856.6344791809297,25278.538812785388,0,0,1,0
39,29.99581644,-15397.522572832888,-55.06606662489361,5.0,4.42,2.0,-1651.751626553119,1651.751626553119,20610.598014304443,10.0,3856.6344791809292,25278.538812785388,0,0,1,0
40,31.62843004,-15487.424182102865,-55.066066624795724,5.0,4.42,2.0,-1741.6532358203306,1741.6532358203306,20610.598014305804,10.0,3856.6344791811653,25278.538812785388,0,0,1,0
41,48.92035013,-16286.145866928919,16.15808678423576,4.49542413079984,4.42,2.0,790.4592629157391,-790.4592629157391,20370.16509333613,8.99084826159968,3794.9549654819884,25278.538812785388,0,0,1,0
42,41.65584999,-16039.594757143328,-55.066066623839745,5.0,4.42,2.0,-2293.8238108220144,2293.8238108220144,20610.598014304716,10.0,3856.634479180763,25278.538812785388,0,0,1,0
43,34.35526917,-15637.580487310262,-55.06606662466498,5.0,4.42,2.0,-1891.8095410235187,1891.8095410235187,20610.598014306994,10.0,3856.634479181362,25278.538812785388,0,0,1,0
44,32.40789926,-15530.346486103283,-55.06606662475626,5.0,4.42,2.0,-1784.5755398195492,1784.5755398195492,20610.598014306255,10.0,3856.6344791812417,25278.538812785388,0,0,1,0
45,30.82769144,-15443.330657006307,-55.06606662484027,5.0,4.42,2.0,-1697.559710725058,1697.559710725058,20610.598014305226,10.0,3856.634479181065,25278.538812785388,0,0,1,0
