,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off
0,57.249,-1693.4016863416139,650.0,0,7.05,2.0,37211.85,-37211.85,15071.972982503561,0,556.8949784127874,14308.219178082192,1,0,0,0
1,31.4547,-4179.034739172788,-659.6383298512527,5.0,7.05,2.0,-20748.725773972197,20748.725773972197,3138.0483761098667,10.0,116.83199064477728,-14308.219178082192,0,1,0,0
2,24.0171,727.0913029300876,-659.6383298513048,5.0,7.05,2.0,-15842.599731871771,15842.599731871771,3138.048376110107,10.0,116.83199064478649,-14308.219178082192,0,1,0,0
3,21.5549,2351.2527986902373,-659.6383298513153,5.0,7.05,2.0,-14218.438236112117,14218.438236112117,3138.0483761101555,10.0,116.83199064478836,-14308.219178082192,0,1,0,0
4,15.7213,6199.318959711446,-659.6383298513337,5.0,7.05,2.0,-10370.372075091771,10370.372075091771,3138.0483761102396,10.0,116.8319906447916,-14308.219178082192,0,1,0,0
5,11.8292,8766.69730332613,-659.6383298513425,5.0,7.05,2.0,-7802.993731477501,7802.993731477501,3138.0483761102805,10.0,116.83199064479317,-14308.219178082192,0,1,0,0
6,13.1247,7912.135847003626,-659.6383298513398,5.0,7.05,2.0,-8657.55518779988,8657.55518779988,3138.048376110268,10.0,116.8319906447927,-14308.219178082192,0,1,0,0
7,11.289,9123.033929111867,-659.6383298513435,5.0,7.05,2.0,-7446.657105691817,7446.657105691817,3138.048376110286,10.0,116.83199064479336,-14308.219178082192,0,1,0,0
8,8.4419,11001.090218031826,-659.6383298513488,5.0,7.05,2.0,-5568.600816772101,5568.600816772101,3138.048376110309,10.0,116.83199064479427,-14308.219178082192,0,1,0,0
9,2.8244,14706.608535972144,-659.6383298513571,5.0,7.05,2.0,-1863.0824988321729,1863.0824988321729,3138.0483761103474,10.0,116.83199064479574,-14308.219178082192,0,1,0,0
10,21.5765,2337.0046107654466,-659.6383298513153,5.0,7.05,2.0,-14232.686424036905,14232.686424036905,3138.0483761101545,10.0,116.83199064478835,-14308.219178082192,0,1,0,0
11,22.6778,1610.544918100083,-659.6383298513108,5.0,7.05,2.0,-14959.146116702057,14959.146116702057,3138.048376110134,10.0,116.83199064478755,-14308.219178082192,0,1,0,0
12,25.6531,-352.07700470682386,-659.6383298512965,5.0,7.05,2.0,-16921.768039508293,16921.768039508293,3138.048376110068,10.0,116.83199064478501,-14308.219178082192,0,1,0,0
13,27.1609,-1346.6796784567916,-659.6383298512876,5.0,7.05,2.0,-17916.37071325784,17916.37071325784,3138.048376110027,10.0,116.83199064478345,-14308.219178082192,0,1,0,0
14,27.2187,-1384.8067739221967,-659.6383298512872,5.0,7.05,2.0,-17954.49780872323,17954.49780872323,3138.0483761100254,10.0,116.83199064478337,-14308.219178082192,0,1,0,0
15,27.2136,-1381.4426184399572,-659.6383298512872,5.0,7.05,2.0,-17951.133653240988,17951.133653240988,3138.0483761100254,10.0,116.83199064478337,-14308.219178082192,0,1,0,0
16,26.0508,-614.4151684887303,-659.6383298512942,5.0,7.05,2.0,-17184.106203290095,17184.106203290095,3138.048376110058,10.0,116.83199064478463,-14308.219178082192,0,1,0,0
17,24.1273,654.3991589804585,-659.6383298513043,5.0,7.05,2.0,-15915.291875821376,15915.291875821376,3138.0483761101045,10.0,116.8319906447864,-14308.219178082192,0,1,0,0
18,23.4257,1117.201411204212,-659.6383298513076,5.0,7.05,2.0,-15452.489623597776,15452.489623597776,3138.048376110119,10.0,116.83199064478697,-14308.219178082192,0,1,0,0
19,22.6336,1639.700932279516,-659.6383298513109,5.0,7.05,2.0,-14929.990102522632,14929.990102522632,3138.048376110135,10.0,116.83199064478758,-14308.219178082192,0,1,0,0
20,22.4062,1789.7026884877273,-659.6383298513119,5.0,7.05,2.0,-14779.988346314465,14779.988346314465,3138.0483761101395,10.0,116.83199064478775,-14308.219178082192,0,1,0,0
21,22.1053,1988.1878619400209,-659.6383298513132,5.0,7.05,2.0,-14581.503172862233,14581.503172862233,3138.048376110145,10.0,116.83199064478798,-14308.219178082192,0,1,0,0
22,19.9623,3401.792802811599,-659.6383298513211,5.0,7.05,2.0,-13167.898231991028,13167.898231991028,3138.048376110182,10.0,116.83199064478939,-14308.219178082192,0,1,0,0
23,17.3317,5137.037393318725,-659.6383298513294,5.0,7.05,2.0,-11432.653641484287,11432.653641484287,3138.0483761102196,10.0,116.83199064479084,-14308.219178082192,0,1,0,0
24,6.2372,12455.394843855236,-659.6383298513523,5.0,7.05,2.0,-4114.296190948854,4114.296190948854,3138.048376110326,10.0,116.8319906447949,-14308.219178082192,0,1,0,0
25,7.0353,11928.937492800826,-659.638329851351,5.0,7.05,2.0,-4640.75354200321,4640.75354200321,3138.04837611032,10.0,116.83199064479469,-14308.219178082192,0,1,0,0
26,8.4519,10994.493834733312,-659.6383298513488,5.0,7.05,2.0,-5575.197200070615,5575.197200070615,3138.048376110309,10.0,116.83199064479427,-14308.219178082192,0,1,0,0
27,8.907,10694.292430817935,-659.638329851348,5.0,7.05,2.0,-5875.3986039859565,5875.3986039859565,3138.048376110306,10.0,116.83199064479413,-14308.219178082192,0,1,0,0
28,13.5424,7636.604916624691,-659.6383298513389,5.0,7.05,2.0,-8933.086118178771,8933.086118178771,3138.0483761102637,10.0,116.83199064479253,-14308.219178082192,0,1,0,0
29,19.6513,3606.9403233953894,-659.6383298513223,5.0,7.05,2.0,-12962.750711407289,12962.750711407289,3138.048376110187,10.0,116.83199064478957,-14308.219178082192,0,1,0,0
30,20.1179,3299.153078686721,-659.6383298513207,5.0,7.05,2.0,-13270.537956115884,13270.537956115884,3138.0483761101796,10.0,116.83199064478929,-14308.219178082192,0,1,0,0
31,21.6156,2311.212752068257,-659.6383298513151,5.0,7.05,2.0,-14258.478282734088,14258.478282734088,3138.048376110154,10.0,116.83199064478832,-14308.219178082192,0,1,0,0
32,22.0601,2018.0035144493052,-659.6383298513134,5.0,7.05,2.0,-14551.687520352958,14551.687520352958,3138.048376110146,10.0,116.83199064478801,-14308.219178082192,0,1,0,0
33,21.6951,2258.7715048450727,-659.6383298513149,5.0,7.05,2.0,-14310.919529957262,14310.919529957262,3138.0483761101527,10.0,116.83199064478826,-14308.219178082192,0,1,0,0
34,24.7075,271.67700000067003,-659.6383298513015,5.0,7.05,2.0,-16298.014034801032,16298.014034801032,3138.048376110091,10.0,116.83199064478589,-14308.219178082192,0,1,0,0
35,25.7606,-422.98812516585434,-659.6383298512959,5.0,7.05,2.0,-16992.679159967294,16992.679159967294,3138.0483761100654,10.0,116.83199064478491,-14308.219178082192,0,1,0,0
36,22.3847,1803.8849125795368,-659.638329851312,5.0,7.05,2.0,-14765.806122222664,14765.806122222664,3138.04837611014,10.0,116.83199064478777,-14308.219178082192,0,1,0,0
37,21.6165,2310.6190775713926,-659.6383298513151,5.0,7.05,2.0,-14259.071957230952,14259.071957230952,3138.048376110154,10.0,116.83199064478832,-14308.219178082192,0,1,0,0
38,19.2366,3880.4923387847707,-659.6383298513235,5.0,7.05,2.0,-12689.19869601797,12689.19869601797,3138.0483761101927,10.0,116.83199064478981,-14308.219178082192,0,1,0,0
39,18.7695,4188.609402658366,-659.638329851325,5.0,7.05,2.0,-12381.081632144445,12381.081632144445,3138.0483761102,10.0,116.83199064479007,-14308.219178082192,0,1,0,0
40,22.4759,1743.7258968970866,-659.6383298513117,5.0,7.05,2.0,-14825.965137905096,14825.965137905096,3138.048376110138,10.0,116.83199064478771,-14308.219178082192,0,1,0,0
41,33.9251,-5808.605269237723,-659.6383298512225,5.0,7.05,2.0,-22378.296304035706,22378.296304035706,3138.0483761097266,10.0,116.8319906447719,-14308.219178082192,0,1,0,0
42,35.6219,-6927.879587329594,-659.6383298511943,5.0,7.05,2.0,-23497.570622126255,23497.570622126255,3138.0483761095966,10.0,116.83199064476692,-14308.219178082192,0,1,0,0
43,36.7186,-7651.304943677646,-659.6383298511709,5.0,7.05,2.0,-24220.995978473202,24220.995978473202,3138.048376109489,10.0,116.83199064476278,-14308.219178082192,0,1,0,0
44,36.9708,-7817.665730466169,-659.6383298511648,5.0,7.05,2.0,-24387.356765261444,24387.356765261444,3138.048376109461,10.0,116.8319906447617,-14308.219178082192,0,1,0,0
45,36.469,-7486.659216546729,-659.6383298511768,5.0,7.05,2.0,-24056.350251342566,24056.350251342566,3138.0483761095156,10.0,116.83199064476379,-14308.219178082192,0,1,0,0
46,34.3361,-6079.716622806655,-659.6383298512162,5.0,7.05,2.0,-22649.407657604344,22649.407657604344,3138.048376109698,10.0,116.83199064477081,-14308.219178082192,0,1,0,0
47,34.7617,-6360.458695991413,-659.6383298512097,5.0,7.05,2.0,-22930.149730788795,22930.149730788795,3138.0483761096675,10.0,116.83199064476963,-14308.219178082192,0,1,0,0
48,34.8265,-6403.203259765785,-659.6383298512086,5.0,7.05,2.0,-22972.894294563117,22972.894294563117,3138.048376109663,10.0,116.83199064476945,-14308.219178082192,0,1,0,0
49,34.7721,-6367.318934621867,-659.6383298512095,5.0,7.05,2.0,-22937.009969419243,22937.009969419243,3138.0483761096666,10.0,116.8319906447696,-14308.219178082192,0,1,0,0
50,35.6406,-6940.214824097815,-659.6383298511939,5.0,7.05,2.0,-23509.90585889446,23509.90585889446,3138.048376109595,10.0,116.83199064476685,-14308.219178082192,0,1,0,0
51,36.1598,-7282.699044956671,-659.6383298511834,5.0,7.05,2.0,-23852.39007975282,23852.39007975282,3138.0483761095466,10.0,116.83199064476499,-14308.219178082192,0,1,0,0
52,36.8089,-7710.8702848632265,-659.6383298511688,5.0,7.05,2.0,-24280.56131965869,24280.56131965869,3138.0483761094792,10.0,116.8319906447624,-14308.219178082192,0,1,0,0
53,37.3732,-8083.104194398375,-659.6383298511545,5.0,7.05,2.0,-24652.795229193165,24652.795229193165,3138.0483761094133,10.0,116.83199064475987,-14308.219178082192,0,1,0,0
54,52.5271,-4762.636717033963,650.0,0,7.05,2.0,34142.615,-34142.615,15071.972982502315,0,556.8949784127401,14308.219178082192,1,0,0,0
55,40.1608,-9921.912002692177,-659.6383298510495,5.0,7.05,2.0,-26491.603037482033,26491.603037482033,3138.0483761089286,10.0,116.83199064474127,-14308.219178082192,0,1,0,0
56,31.0512,-3912.870673077742,-659.6383298512569,5.0,7.05,2.0,-20482.56170787735,20482.56170787735,3138.0483761098853,10.0,116.831990644778,-14308.219178082192,0,1,0,0
57,25.6685,-362.2354349865386,-659.6383298512964,5.0,7.05,2.0,-16931.926469788003,16931.926469788003,3138.0483761100677,10.0,116.831990644785,-14308.219178082192,0,1,0,0
58,26.2095,-719.099771436152,-659.6383298512934,5.0,7.05,2.0,-17288.790806237474,17288.790806237474,3138.0483761100536,10.0,116.83199064478445,-14308.219178082192,0,1,0,0
59,23.4412,1106.9770170915192,-659.6383298513074,5.0,7.05,2.0,-15462.714017710467,15462.714017710467,3138.048376110119,10.0,116.83199064478697,-14308.219178082192,0,1,0,0
60,22.6056,1658.1708055153595,-659.638329851311,5.0,7.05,2.0,-14911.520229286796,14911.520229286796,3138.048376110136,10.0,116.83199064478761,-14308.219178082192,0,1,0,0
61,20.8443,2819.991795882654,-659.638329851318,5.0,7.05,2.0,-13749.699238919828,13749.699238919828,3138.0483761101673,10.0,116.83199064478883,-14308.219178082192,0,1,0,0
62,18.2873,4506.687005312718,-659.6383298513265,5.0,7.05,2.0,-12063.004029490161,12063.004029490161,3138.048376110207,10.0,116.83199064479034,-14308.219178082192,0,1,0,0
63,17.5025,5024.371166580106,-659.6383298513289,5.0,7.05,2.0,-11545.319868222885,11545.319868222885,3138.0483761102178,10.0,116.83199064479075,-14308.219178082192,0,1,0,0
64,21.4442,2424.27476180479,-659.6383298513158,5.0,7.05,2.0,-14145.416272997585,14145.416272997585,3138.0483761101573,10.0,116.83199064478843,-14308.219178082192,0,1,0,0
65,26.9757,-1224.5146597683056,-659.6383298512887,5.0,7.05,2.0,-17794.20569456941,17794.20569456941,3138.0483761100327,10.0,116.83199064478364,-14308.219178082192,0,1,0,0
66,24.556,371.61220697315815,-659.6383298513023,5.0,7.05,2.0,-16198.07882782858,16198.07882782858,3138.0483761100945,10.0,116.83199064478603,-14308.219178082192,0,1,0,0
67,22.6603,1622.0885888724852,-659.6383298513108,5.0,7.05,2.0,-14947.602445929659,14947.602445929659,3138.0483761101345,10.0,116.83199064478757,-14308.219178082192,0,1,0,0
68,22.0844,2001.9743030339137,-659.6383298513133,5.0,7.05,2.0,-14567.716731768343,14567.716731768343,3138.0483761101455,10.0,116.831990644788,-14308.219178082192,0,1,0,0
69,20.7188,2902.776406279003,-659.6383298513185,5.0,7.05,2.0,-13666.9146285235,13666.9146285235,3138.0483761101696,10.0,116.83199064478892,-14308.219178082192,0,1,0,0
70,20.767,2870.9818387801674,-659.6383298513183,5.0,7.05,2.0,-13698.709196022326,13698.709196022326,3138.048376110169,10.0,116.83199064478887,-14308.219178082192,0,1,0,0
71,20.067,3332.7286696761585,-659.6383298513208,5.0,7.05,2.0,-13236.962365126456,13236.962365126456,3138.04837611018,10.0,116.83199064478931,-14308.219178082192,0,1,0,0
72,22.1931,1930.2716165790655,-659.6383298513127,5.0,7.05,2.0,-14639.41941822317,14639.41941822317,3138.0483761101436,10.0,116.83199064478791,-14308.219178082192,0,1,0,0
73,22.1453,1961.8023287459653,-659.6383298513131,5.0,7.05,2.0,-14607.888706056283,14607.888706056283,3138.0483761101445,10.0,116.83199064478795,-14308.219178082192,0,1,0,0
74,22.2445,1896.3662064247048,-659.6383298513126,5.0,7.05,2.0,-14673.324828377523,14673.324828377523,3138.0483761101427,10.0,116.83199064478787,-14308.219178082192,0,1,0,0
75,23.154,1296.4251454248417,-659.6383298513088,5.0,7.05,2.0,-15273.265889377202,15273.265889377202,3138.048376110125,10.0,116.83199064478718,-14308.219178082192,0,1,0,0
76,23.5989,1002.9520524739473,-659.6383298513067,5.0,7.05,2.0,-15566.738982328003,15566.738982328003,3138.0483761101154,10.0,116.83199064478684,-14308.219178082192,0,1,0,0
77,24.5124,400.3724381546835,-659.6383298513025,5.0,7.05,2.0,-16169.318596647066,16169.318596647066,3138.048376110096,10.0,116.83199064478607,-14308.219178082192,0,1,0,0
78,31.8164,-4417.625923080047,-659.638329851249,5.0,7.05,2.0,-20987.316957879277,20987.316957879277,3138.0483761098494,10.0,116.8319906447766,-14308.219178082192,0,1,0,0
79,31.2917,-4071.513691407005,-659.6383298512544,5.0,7.05,2.0,-20641.204726206495,20641.204726206495,3138.0483761098744,10.0,116.83199064477758,-14308.219178082192,0,1,0,0
80,25.0735,30.249371275054433,-659.6383298512995,5.0,7.05,2.0,-16539.44166352656,16539.44166352656,3138.0483761100827,10.0,116.83199064478556,-14308.219178082192,0,1,0,0
81,22.8055,1526.3091033780606,-659.6383298513102,5.0,7.05,2.0,-15043.381931424055,15043.381931424055,3138.048376110132,10.0,116.83199064478745,-14308.219178082192,0,1,0,0
82,22.0333,2035.6818216893212,-659.6383298513135,5.0,7.05,2.0,-14534.009213112946,14534.009213112946,3138.0483761101464,10.0,116.83199064478802,-14308.219178082192,0,1,0,0
83,20.4569,3075.53568486709,-659.6383298513194,5.0,7.05,2.0,-13494.155349935458,13494.155349935458,3138.048376110174,10.0,116.83199064478907,-14308.219178082192,0,1,0,0
84,20.104,3308.3220514716586,-659.6383298513207,5.0,7.05,2.0,-13261.36898333095,13261.36898333095,3138.0483761101796,10.0,116.8319906447893,-14308.219178082192,0,1,0,0
85,16.4059,5747.730559095168,-659.638329851332,5.0,7.05,2.0,-10821.960475707967,10821.960475707967,3138.0483761102314,10.0,116.83199064479129,-14308.219178082192,0,1,0,0
86,4.8619,13362.595438899889,-659.6383298513542,5.0,7.05,2.0,-3207.0955959042994,3207.0955959042994,3138.048376110335,10.0,116.83199064479525,-14308.219178082192,0,1,0,0
87,11.7619,8811.090962925135,-659.6383298513427,5.0,7.05,2.0,-7758.600071878509,7758.600071878509,3138.0483761102814,10.0,116.8319906447932,-14308.219178082192,0,1,0,0
88,19.7995,3509.1819229114108,-659.6383298513217,5.0,7.05,2.0,-13060.509111891242,13060.509111891242,3138.0483761101846,10.0,116.83199064478949,-14308.219178082192,0,1,0,0
89,32.923,-5147.581698893624,-659.638329851236,5.0,7.05,2.0,-21717.272733692243,21717.272733692243,3138.04837610979,10.0,116.83199064477431,-14308.219178082192,0,1,0,0
90,27.1707,-1353.1441340893325,-659.6383298512876,5.0,7.05,2.0,-17922.83516889038,17922.83516889038,3138.0483761100268,10.0,116.83199064478343,-14308.219178082192,0,1,0,0
91,23.1098,1325.5811596042777,-659.6383298513089,5.0,7.05,2.0,-15244.109875197777,15244.109875197777,3138.0483761101254,10.0,116.83199064478723,-14308.219178082192,0,1,0,0
92,22.9374,1439.3028076706582,-659.6383298513098,5.0,7.05,2.0,-15130.388227131432,15130.388227131432,3138.048376110129,10.0,116.83199064478735,-14308.219178082192,0,1,0,0
93,22.0778,2006.327916010933,-659.6383298513133,5.0,7.05,2.0,-14563.363118791325,14563.363118791325,3138.048376110146,10.0,116.831990644788,-14308.219178082192,0,1,0,0
94,20.7438,2886.2854480327196,-659.6383298513183,5.0,7.05,2.0,-13683.405586769777,13683.405586769777,3138.0483761101696,10.0,116.83199064478889,-14308.219178082192,0,1,0,0
95,20.4921,3052.3164156563194,-659.6383298513193,5.0,7.05,2.0,-13517.374619146221,13517.374619146221,3138.0483761101736,10.0,116.83199064478906,-14308.219178082192,0,1,0,0
96,22.036,2033.9007981987215,-659.6383298513135,5.0,7.05,2.0,-14535.790236603545,14535.790236603545,3138.0483761101464,10.0,116.83199064478802,-14308.219178082192,0,1,0,0
97,22.6258,1644.8461112523578,-659.638329851311,5.0,7.05,2.0,-14924.844923549794,14924.844923549794,3138.0483761101355,10.0,116.8319906447876,-14308.219178082192,0,1,0,0
98,22.4141,1784.4915456819037,-659.6383298513119,5.0,7.05,2.0,-14785.199489120292,14785.199489120292,3138.0483761101395,10.0,116.83199064478775,-14308.219178082192,0,1,0,0
99,20.183,3256.2106234133926,-659.6383298513205,5.0,7.05,2.0,-13313.4804113892,13313.4804113892,3138.0483761101787,10.0,116.83199064478924,-14308.219178082192,0,1,0,0
100,20.2172,3233.650992532476,-659.6383298513203,5.0,7.05,2.0,-13336.040042270113,13336.040042270113,3138.0483761101777,10.0,116.83199064478923,-14308.219178082192,0,1,0,0
101,22.09,1998.2803283867454,-659.6383298513133,5.0,7.05,2.0,-14571.41070641551,14571.41070641551,3138.048376110146,10.0,116.83199064478798,-14308.219178082192,0,1,0,0
102,22.6412,1634.687680972646,-659.6383298513109,5.0,7.05,2.0,-14935.003353829501,14935.003353829501,3138.048376110135,10.0,116.83199064478758,-14308.219178082192,0,1,0,0
103,22.7402,1569.3834863173565,-659.6383298513106,5.0,7.05,2.0,-15000.307548484774,15000.307548484774,3138.048376110133,10.0,116.83199064478751,-14308.219178082192,0,1,0,0
104,21.706,2251.581447049689,-659.6383298513147,5.0,7.05,2.0,-14318.109587752635,14318.109587752635,3138.0483761101523,10.0,116.83199064478825,-14308.219178082192,0,1,0,0
105,20.2008,3244.469061142035,-659.6383298513203,5.0,7.05,2.0,-13325.221973660553,13325.221973660553,3138.048376110178,10.0,116.83199064478924,-14308.219178082192,0,1,0,0
106,21.2464,2554.7512234493956,-659.6383298513165,5.0,7.05,2.0,-14014.939811353011,14014.939811353011,3138.048376110161,10.0,116.83199064478856,-14308.219178082192,0,1,0,0
107,22.7603,1556.1247558873429,-659.6383298513105,5.0,7.05,2.0,-15013.566278914783,15013.566278914783,3138.0483761101327,10.0,116.8319906447875,-14308.219178082192,0,1,0,0
108,24.7638,234.53936203003744,-659.6383298513011,5.0,7.05,2.0,-16335.151672771652,16335.151672771652,3138.04837611009,10.0,116.83199064478585,-14308.219178082192,0,1,0,0
109,25.0306,58.54785562568163,-659.6383298512998,5.0,7.05,2.0,-16511.143179175942,16511.143179175942,3138.0483761100836,10.0,116.8319906447856,-14308.219178082192,0,1,0,0
110,23.4992,1068.7179939601358,-659.6383298513072,5.0,7.05,2.0,-15500.973040841836,15500.973040841836,3138.0483761101177,10.0,116.83199064478691,-14308.219178082192,0,1,0,0
111,22.8969,1466.0181600296405,-659.6383298513099,5.0,7.05,2.0,-15103.672874772457,15103.672874772457,3138.0483761101295,10.0,116.83199064478738,-14308.219178082192,0,1,0,0
112,23.0656,1354.737173783707,-659.6383298513091,5.0,7.05,2.0,-15214.953861018355,15214.953861018355,3138.0483761101264,10.0,116.83199064478725,-14308.219178082192,0,1,0,0
113,33.3633,-5438.0204555272,-659.6383298512303,5.0,7.05,2.0,-22007.711490325553,22007.711490325553,3138.048376109763,10.0,116.8319906447733,-14308.219178082192,0,1,0,0
114,32.4237,-4818.224280798807,-659.6383298512421,5.0,7.05,2.0,-21387.91531559772,21387.91531559772,3138.0483761098176,10.0,116.83199064477539,-14308.219178082192,0,1,0,0
115,28.9341,-2516.350364949317,-659.6383298512752,5.0,7.05,2.0,-19086.04139974978,19086.04139974978,3138.0483761099704,10.0,116.83199064478124,-14308.219178082192,0,1,0,0
116,24.6027,340.8070969690996,-659.6383298513019,5.0,7.05,2.0,-16228.883937832625,16228.883937832625,3138.0483761100936,10.0,116.83199064478599,-14308.219178082192,0,1,0,0
117,22.7797,1543.3277722882272,-659.6383298513103,5.0,7.05,2.0,-15026.363262513893,15026.363262513893,3138.0483761101323,10.0,116.83199064478748,-14308.219178082192,0,1,0,0
118,21.6968,2257.650119684322,-659.6383298513149,5.0,7.05,2.0,-14312.040915118008,14312.040915118008,3138.048376110153,10.0,116.83199064478826,-14308.219178082192,0,1,0,0
119,19.1184,3958.461589373208,-659.638329851324,5.0,7.05,2.0,-12611.229445429553,12611.229445429553,3138.048376110195,10.0,116.83199064478988,-14308.219178082192,0,1,0,0
120,21.5173,2376.055199892655,-659.6383298513155,5.0,7.05,2.0,-14193.63583490971,14193.63583490971,3138.048376110156,10.0,116.83199064478838,-14308.219178082192,0,1,0,0
121,20.3274,3160.9588485828467,-659.6383298513198,5.0,7.05,2.0,-13408.732186219719,13408.732186219719,3138.048376110176,10.0,116.83199064478916,-14308.219178082192,0,1,0,0
122,20.4612,3072.6992400487247,-659.6383298513194,5.0,7.05,2.0,-13496.991794753818,13496.991794753818,3138.048376110174,10.0,116.83199064478907,-14308.219178082192,0,1,0,0
123,22.2891,1866.9463369133296,-659.6383298513124,5.0,7.05,2.0,-14702.744697888887,14702.744697888887,3138.048376110142,10.0,116.83199064478784,-14308.219178082192,0,1,0,0
124,17.4462,5061.508804550741,-659.638329851329,5.0,7.05,2.0,-11508.182230252256,11508.182230252256,3138.048376110218,10.0,116.83199064479078,-14308.219178082192,0,1,0,0
125,20.8209,2835.427332801174,-659.6383298513181,5.0,7.05,2.0,-13734.26370200131,13734.26370200131,3138.048376110168,10.0,116.83199064478885,-14308.219178082192,0,1,0,0
126,22.71,1589.304563878871,-659.6383298513107,5.0,7.05,2.0,-14980.386470923266,14980.386470923266,3138.048376110134,10.0,116.83199064478752,-14308.219178082192,0,1,0,0
127,23.783,881.5126359483003,-659.6383298513059,5.0,7.05,2.0,-15688.17839885361,15688.17839885361,3138.048376110112,10.0,116.83199064478669,-14308.219178082192,0,1,0,0
128,22.7212,1581.9166145845343,-659.6383298513106,5.0,7.05,2.0,-14987.774420217598,14987.774420217598,3138.0483761101336,10.0,116.83199064478752,-14308.219178082192,0,1,0,0
129,22.4955,1730.796985631998,-659.6383298513116,5.0,7.05,2.0,-14838.89404917018,14838.89404917018,3138.0483761101377,10.0,116.8319906447877,-14308.219178082192,0,1,0,0
130,22.1392,1965.8261225580572,-659.6383298513131,5.0,7.05,2.0,-14603.86491224419,14603.86491224419,3138.0483761101445,10.0,116.83199064478795,-14308.219178082192,0,1,0,0
131,22.1344,1968.9923865413443,-659.6383298513131,5.0,7.05,2.0,-14600.698648260905,14600.698648260905,3138.0483761101445,10.0,116.83199064478795,-14308.219178082192,0,1,0,0
132,21.5967,2323.679916502451,-659.6383298513152,5.0,7.05,2.0,-14246.011118299899,14246.011118299899,3138.0483761101545,10.0,116.83199064478833,-14308.219178082192,0,1,0,0
133,22.7258,1578.8822782672164,-659.6383298513106,5.0,7.05,2.0,-14990.808756534914,14990.808756534914,3138.0483761101336,10.0,116.83199064478752,-14308.219178082192,0,1,0,0
134,22.6663,1618.1307588933767,-659.6383298513108,5.0,7.05,2.0,-14951.560275908765,14951.560275908765,3138.048376110134,10.0,116.83199064478757,-14308.219178082192,0,1,0,0
135,22.5228,1712.7888592270558,-659.6383298513115,5.0,7.05,2.0,-14856.902175575118,14856.902175575118,3138.0483761101373,10.0,116.83199064478767,-14308.219178082192,0,1,0,0
136,23.8397,844.1111426457288,-659.6383298513056,5.0,7.05,2.0,-15725.579892156169,15725.579892156169,3138.048376110111,10.0,116.83199064478664,-14308.219178082192,0,1,0,0
137,47.3944,-8098.891750396516,650.0,0,7.05,2.0,30806.359999999997,-30806.359999999997,15071.972982499263,0,556.894978412624,14308.219178082192,1,0,0,0
138,39.3117,-9361.813096815342,-659.6383298510896,5.0,7.05,2.0,-25931.50413160708,25931.50413160708,3138.048376109113,10.0,116.83199064474836,-14308.219178082192,0,1,0,0
139,40.277,-9998.561976620915,-659.6383298510432,5.0,7.05,2.0,-26568.253011410467,26568.253011410467,3138.0483761089,10.0,116.83199064474016,-14308.219178082192,0,1,0,0
140,37.4843,-8156.390012844869,-659.6383298511515,5.0,7.05,2.0,-24726.081047639516,24726.081047639516,3138.048376109399,10.0,116.83199064475933,-14308.219178082192,0,1,0,0
141,36.9625,-7812.1907323284,-659.638329851165,5.0,7.05,2.0,-24381.881767123687,24381.881767123687,3138.0483761094624,10.0,116.83199064476175,-14308.219178082192,0,1,0,0
142,30.3805,-3470.4512452463987,-659.6383298512632,5.0,7.05,2.0,-20040.1422800463,20040.1422800463,3138.0483761099144,10.0,116.83199064477911,-14308.219178082192,0,1,0,0
143,34.6293,-6273.122581119088,-659.6383298512117,5.0,7.05,2.0,-22842.813615916566,22842.813615916566,3138.048376109677,10.0,116.83199064476997,-14308.219178082192,0,1,0,0
144,34.7203,-6333.149669135566,-659.6383298512101,5.0,7.05,2.0,-22902.84070393297,22902.84070393297,3138.04837610967,10.0,116.83199064476972,-14308.219178082192,0,1,0,0
145,35.0135,-6526.555627447997,-659.6383298512053,5.0,7.05,2.0,-23096.246662245176,23096.246662245176,3138.048376109648,10.0,116.83199064476888,-14308.219178082192,0,1,0,0
146,37.2662,-8012.522893104276,-659.6383298511573,5.0,7.05,2.0,-24582.213927899196,24582.213927899196,3138.0483761094265,10.0,116.83199064476037,-14308.219178082192,0,1,0,0
147,43.5341,-10608.086775488466,650.0,0,7.05,2.0,28297.165,-28297.165,15071.9729824918,0,556.8949784123404,14308.219178082192,1,0,0,0
