,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off
0,25.9,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
1,25.87,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
2,27.51,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
3,25.14,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
4,29.28,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
5,28.43,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
6,24.94,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
7,22.9,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
8,23.88,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
9,22.28,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
10,31.02,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
11,34.56,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
12,32.98,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
13,33.23,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
14,32.4,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
15,31.32,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
16,38.94,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
17,41.89,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
18,37.3,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
19,33.45,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
20,31.44,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
21,30.85,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
22,27.92,-25278.538812785388,0,0,10.76,2.0,0,0,0,0,0,25278.538812785388,0,0,0,1
