,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off
0,18.57,-11482.769252895707,650.0,0,2.73,2.0,12070.5,-12070.5,15071.972982484476,0,556.894978412062,13687.214611872145,1,0,0,0
1,18.19,-11729.769255365707,650.0,0,2.73,2.0,11823.5,-11823.5,15071.972982480782,0,556.8949784119214,13687.214611872145,1,0,0,0
2,19.2,-11073.269248800709,650.0,0,2.73,2.0,12480.0,-12480.0,15071.97298248874,0,556.8949784122241,13687.214611872145,1,0,0,0
3,19.29,-11014.769248215709,650.0,0,2.73,2.0,12538.5,-12538.5,15071.972982489222,0,556.8949784122423,13687.214611872145,1,0,0,0
4,19.23,-11053.769248605708,650.0,0,2.73,2.0,12499.5,-12499.5,15071.972982488904,0,556.8949784122302,13687.214611872145,1,0,0,0
5,19.21,-11066.769248735707,650.0,0,2.73,2.0,12486.5,-12486.5,15071.972982488795,0,556.8949784122261,13687.214611872145,1,0,0,0
6,20.11,-10481.76924288571,650.0,0,2.73,2.0,13071.5,-13071.5,15071.972982492662,0,556.8949784123731,13687.214611872145,1,0,0,0
7,20.01,-10546.769243535704,650.0,0,2.73,2.0,13006.500000000002,-13006.500000000002,15071.972982492314,0,556.8949784123599,13687.214611872145,1,0,0,0
8,20.47,-10247.769240545707,650.0,0,2.73,2.0,13305.5,-13305.5,15071.972982493782,0,556.8949784124158,13687.214611872145,1,0,0,0
9,21.89,-9324.769231315704,650.0,0,2.73,2.0,14228.5,-14228.5,15071.9729824969,0,556.8949784125342,13687.214611872145,1,0,0,0
10,22.67,-8817.769226245704,650.0,0,2.73,2.0,14735.500000000002,-14735.500000000002,15071.972982498059,0,556.8949784125783,13687.214611872145,1,0,0,0
11,23.72,-8135.269219420709,650.0,0,2.73,2.0,15418.0,-15418.0,15071.972982499252,0,556.8949784126237,13687.214611872145,1,0,0,0
12,24.49,-7634.769214415707,650.0,0,2.73,2.0,15918.499999999998,-15918.499999999998,15071.972982499945,0,556.89497841265,13687.214611872145,1,0,0,0
13,26.4,-6393.269202000707,650.0,0,2.73,2.0,17160.0,-17160.0,15071.972982501222,0,556.8949784126985,13687.214611872145,1,0,0,0
14,26.27,-6477.769202845707,650.0,0,2.73,2.0,17075.5,-17075.5,15071.97298250115,0,556.8949784126958,13687.214611872145,1,0,0,0
15,27.25,-5840.769196475705,650.0,0,2.73,2.0,17712.5,-17712.5,15071.972982501653,0,556.8949784127149,13687.214611872145,1,0,0,0
16,28.44,-5067.269188740706,650.0,0,2.73,2.0,18486.0,-18486.0,15071.972982502159,0,556.8949784127341,13687.214611872145,1,0,0,0
17,34.49,-1134.7691494157075,650.0,0,2.73,2.0,22418.5,-22418.5,15071.972982503728,0,556.8949784127938,13687.214611872145,1,0,0,0
18,26.26,-6484.269202910704,650.0,0,2.73,2.0,17069.0,-17069.0,15071.972982501144,0,556.8949784126955,13687.214611872145,1,0,0,0
