,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off
0,89.85,18927.178292837336,650.0,0,2.26,2.0,58402.49999999999,-58402.49999999999,20595.57791704106,0,3666.0128692333187,25278.538812785388,1,0,0,0
1,89.85,18927.178292837332,650.0,0,2.26,2.0,58402.49999999999,-58402.49999999999,20595.57791704106,0,3666.0128692333187,25278.538812785388,1,0,0,0
2,89.85,18927.178292837336,650.0,0,2.26,2.0,58402.49999999999,-58402.49999999999,20595.57791704106,0,3666.0128692333187,25278.538812785388,1,0,0,0
3,89.84,18920.678292772336,650.0,0,2.26,2.0,58396.0,-58396.0,20595.57791704106,0,3666.0128692333187,25278.538812785388,1,0,0,0
4,89.81,18901.178292577337,650.0,0,2.26,2.0,58376.5,-58376.5,20595.57791704106,0,3666.0128692333187,25278.538812785388,1,0,0,0
5,89.01,18381.178287377337,650.0,0,2.26,2.0,57856.5,-57856.5,20595.577917041046,0,3666.0128692333165,25278.538812785388,1,0,0,0
6,88.75,18212.178285687332,650.0,0,2.26,2.0,57687.5,-57687.5,20595.577917041046,0,3666.0128692333155,25278.538812785388,1,0,0,0
7,88.74,18205.678285622325,650.0,0,2.26,2.0,57681.0,-57681.0,20595.577917041046,0,3666.0128692333155,25278.538812785388,1,0,0,0
8,89.06,18413.67828770234,650.0,0,2.26,2.0,57889.0,-57889.0,20595.57791704105,0,3666.0128692333165,25278.538812785388,1,0,0,0
9,89.28,18556.678289132335,650.0,0,2.26,2.0,58032.0,-58032.0,20595.577917041053,0,3666.0128692333174,25278.538812785388,1,0,0,0
10,88.26,17893.67828250234,650.0,0,2.26,2.0,57369.0,-57369.0,20595.57791704104,0,3666.0128692333146,25278.538812785388,1,0,0,0
11,0.06,-3648.9586154777353,-57.12649497634534,5.0,2.26,2.0,-3.42758969858072,3.42758969858072,20569.84681979724,10.0,3849.3785882065217,25278.538812785388,0,0,1,0
12,0.0,-3645.5310257791484,-57.126494976346144,5.0,2.26,2.0,-0.0,0.0,20569.84681979723,10.0,3849.3785882065185,25278.538812785388,0,0,1,0
13,0.06,-3648.9586154777385,-57.126494976345334,5.0,2.26,2.0,-3.42758969858072,3.42758969858072,20569.846819797243,10.0,3849.3785882065217,25278.538812785388,0,0,1,0
14,0.06,-3648.9586154777353,-57.12649497634532,5.0,2.26,2.0,-3.4275896985807193,3.4275896985807193,20569.846819797243,10.0,3849.3785882065217,25278.538812785388,0,0,1,0
15,0.06,-3648.9586154777376,-57.12649497634533,5.0,2.26,2.0,-3.4275896985807197,3.4275896985807197,20569.846819797243,10.0,3849.3785882065217,25278.538812785388,0,0,1,0
16,0.06,-3648.9586154777357,-57.126494976345334,5.0,2.26,2.0,-3.42758969858072,3.42758969858072,20569.846819797243,10.0,3849.3785882065217,25278.538812785388,0,0,1,0
17,0.06,-3648.958615477736,-57.12649497634532,5.0,2.26,2.0,-3.4275896985807193,3.4275896985807193,20569.846819797243,10.0,3849.3785882065217,25278.538812785388,0,0,1,0
18,0.06,-3648.958615477735,-57.12649497634533,5.0,2.26,2.0,-3.4275896985807197,3.4275896985807197,20569.846819797243,10.0,3849.3785882065217,25278.538812785388,0,0,1,0
19,91.15,19772.17830128733,650.0,0,2.26,2.0,59247.50000000001,-59247.50000000001,20595.57791704108,0,3666.0128692333215,25278.538812785388,1,0,0,0
20,93.89,21553.178319097333,650.0,0,2.26,2.0,61028.5,-61028.5,20595.57791704111,0,3666.012869233328,25278.538812785388,1,0,0,0
21,93.89,21553.17831909733,650.0,0,2.26,2.0,61028.5,-61028.5,20595.57791704111,0,3666.012869233328,25278.538812785388,1,0,0,0
22,93.89,21553.178319097333,650.0,0,2.26,2.0,61028.5,-61028.5,20595.57791704111,0,3666.012869233328,25278.538812785388,1,0,0,0
23,93.89,21553.17831909733,650.0,0,2.26,2.0,61028.5,-61028.5,20595.57791704111,0,3666.012869233328,25278.538812785388,1,0,0,0
24,88.72,18192.678285492333,650.0,0,2.26,2.0,57668.0,-57668.0,20595.577917041042,0,3666.0128692333155,25278.538812785388,1,0,0,0
