,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off
0,54.53,-1374.831119386572,650.0,0,1.69,2.0,35444.5,-35444.5,20595.577917040275,0,3666.012869233179,25278.538812785388,1,0,0,0
1,0.0,-992.8584720950748,-57.12649497630278,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
2,0.0,-992.8584720950745,-57.126494976302794,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
3,0.0,-992.8584720950732,-57.12649497630277,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
4,0.0,-992.8584720950738,-57.12649497630279,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
5,0.0,-992.8584720950737,-57.126494976302794,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
6,0.0,-992.8584720950724,-57.12649497630277,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
7,0.0,-992.858472095073,-57.12649497630279,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
8,0.0,-992.8584720950729,-57.126494976302794,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
9,0.0,-992.8584720950753,-57.12649497630277,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
10,0.0,-992.8584720950722,-57.12649497630279,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
11,0.0,-992.8584720950721,-57.126494976302794,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
12,0.0,-992.8584720950745,-57.12649497630277,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
13,0.0,-992.8584720950751,-57.12649497630279,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
14,0.0,-992.858472095075,-57.126494976302794,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
15,0.0,-992.8584720950737,-57.12649497630277,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
16,0.0,-992.8584720950743,-57.12649497630279,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
17,0.0,-992.8584720950741,-57.126494976302794,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
18,0.06,-996.2860617936658,-57.12649497630154,5.0,1.69,2.0,-3.427589698578092,3.427589698578092,20569.846819798313,10.0,3849.378588206714,25278.538812785388,0,0,1,0
19,0.06,-996.2860617936641,-57.126494976301544,5.0,1.69,2.0,-3.4275896985780925,3.4275896985780925,20569.84681979831,10.0,3849.378588206714,25278.538812785388,0,0,1,0
20,0.04,-995.1435318941332,-57.12649497630195,5.0,1.69,2.0,-2.285059799052078,2.285059799052078,20569.846819798302,10.0,3849.3785882067123,25278.538812785388,0,0,1,0
21,0.01,-993.4297370448401,-57.12649497630256,5.0,1.69,2.0,-0.5712649497630257,0.5712649497630257,20569.846819798295,10.0,3849.3785882067104,25278.538812785388,0,0,1,0
22,0.0,-992.8584720950735,-57.12649497630278,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
23,0.0,-992.8584720950731,-57.126494976302794,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
24,0.0,-992.8584720950755,-57.12649497630277,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
25,0.0,-992.8584720950724,-57.12649497630279,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
26,0.0,-992.8584720950723,-57.126494976302794,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
27,0.0,-992.8584720950747,-57.12649497630277,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
28,0.0,-992.8584720950716,-57.12649497630279,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
29,0.0,-992.8584720950753,-57.126494976302794,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
30,0.04,-995.1435318941341,-57.12649497630194,5.0,1.69,2.0,-2.285059799052078,2.285059799052078,20569.846819798302,10.0,3849.3785882067123,25278.538812785388,0,0,1,0
31,0.06,-996.2860617936634,-57.12649497630154,5.0,1.69,2.0,-3.427589698578092,3.427589698578092,20569.846819798313,10.0,3849.378588206714,25278.538812785388,0,0,1,0
32,0.09,-997.9998566429603,-57.126494976300904,5.0,1.69,2.0,-5.141384547867081,5.141384547867081,20569.846819798324,10.0,3849.3785882067164,25278.538812785388,0,0,1,0
33,0.0,-992.8584720950754,-57.12649497630278,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
34,0.0,-992.8584720950751,-57.126494976302794,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
35,0.0,-992.8584720950738,-57.12649497630277,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
36,0.0,-992.8584720950744,-57.12649497630279,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
37,0.0,-992.8584720950743,-57.126494976302794,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
38,0.0,-992.858472095073,-57.12649497630277,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
39,0.0,-992.8584720950736,-57.12649497630279,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
40,0.0,-992.8584720950735,-57.126494976302794,5.0,1.69,2.0,-0.0,0.0,20569.846819798284,10.0,3849.3785882067095,25278.538812785388,0,0,1,0
41,48.96,-3687.792450955383,-17.55257519606404,4.734241827345761,1.69,2.0,-859.3740815992954,859.3740815992954,20448.55676177767,9.468483654691521,3817.8548927804827,25278.538812785388,0,0,1,0
42,59.94,2141.6689157784253,650.0,0,1.69,2.0,38961.0,-38961.0,20595.57791704049,0,3666.0128692332164,25278.538812785388,1,0,0,0
43,58.97,1511.1689094734324,650.0,0,1.69,2.0,38330.5,-38330.5,20595.577917040453,0,3666.0128692332105,25278.538812785388,1,0,0,0
44,59.89,2109.168915453432,650.0,0,1.69,2.0,38928.5,-38928.5,20595.577917040486,0,3666.0128692332164,25278.538812785388,1,0,0,0
45,59.95,2148.1689158434388,650.0,0,1.69,2.0,38967.5,-38967.5,20595.577917040486,0,3666.012869233217,25278.538812785388,1,0,0,0
46,59.07,1576.1689101234278,650.0,0,1.69,2.0,38395.5,-38395.5,20595.577917040457,0,3666.0128692332114,25278.538812785388,1,0,0,0
47,59.59,1914.1689135034358,650.0,0,1.69,2.0,38733.5,-38733.5,20595.577917040475,0,3666.0128692332146,25278.538812785388,1,0,0,0
48,56.41,-152.8311071665724,650.0,0,1.69,2.0,36666.5,-36666.5,20595.57791704036,0,3666.0128692331928,25278.538812785388,1,0,0,0
49,54.76,-1225.3311178915733,650.0,0,1.69,2.0,35594.0,-35594.0,20595.577917040286,0,3666.0128692331805,25278.538812785388,1,0,0,0
50,54.06,-1680.3311224415693,650.0,0,1.69,2.0,35139.0,-35139.0,20595.577917040257,0,3666.012869233175,25278.538812785388,1,0,0,0
51,52.34,-2798.331133621564,650.0,0,1.69,2.0,34021.0,-34021.0,20595.577917040173,0,3666.01286923316,25278.538812785388,1,0,0,0
52,52.28,-2837.3311340115715,650.0,0,1.69,2.0,33982.0,-33982.0,20595.577917040166,0,3666.0128692331596,25278.538812785388,1,0,0,0
53,53.74,-1888.331124521567,650.0,0,1.69,2.0,34931.0,-34931.0,20595.57791704024,0,3666.0128692331723,25278.538812785388,1,0,0,0
54,53.17,-2258.8311282265677,650.0,0,1.69,2.0,34560.5,-34560.5,20595.57791704021,0,3666.0128692331673,25278.538812785388,1,0,0,0
55,58.01,887.1689032334315,650.0,0,1.69,2.0,37706.5,-37706.5,20595.57791704042,0,3666.012869233204,25278.538812785388,1,0,0,0
56,60.6,2570.6689200684305,650.0,0,1.69,2.0,39390.0,-39390.0,20595.57791704051,0,3666.0128692332205,25278.538812785388,1,0,0,0
57,47.18,-3613.712725504313,-55.06606661914107,5.0,1.69,2.0,-2598.0170230910758,2598.0170230910758,20610.59801428029,10.0,3856.63447917519,25278.538812785388,0,0,1,0
58,5.03,-1280.2047418269754,-57.126494976113065,5.0,1.69,2.0,-287.34626972984876,287.34626972984876,20569.846819802056,10.0,3849.378588207381,25278.538812785388,0,0,1,0
59,5.48,-1305.9116645664071,-57.1264949760794,5.0,1.69,2.0,-313.05319246891514,313.05319246891514,20569.84681980272,10.0,3849.3785882075,25278.538812785388,0,0,1,0
60,5.35,-1298.4852202194622,-57.126494976089674,5.0,1.69,2.0,-305.62674812207973,305.62674812207973,20569.84681980252,10.0,3849.3785882074635,25278.538812785388,0,0,1,0
61,5.3,-1295.6288954706365,-57.12649497609348,5.0,1.69,2.0,-302.77042337329544,302.77042337329544,20569.846819802442,10.0,3849.3785882074503,25278.538812785388,0,0,1,0
62,4.87,-1271.0645026307304,-57.126494976123844,5.0,1.69,2.0,-278.20603053372315,278.20603053372315,20569.84681980184,10.0,3849.3785882073435,25278.538812785388,0,0,1,0
63,4.46,-1247.6426396903582,-57.1264949761491,5.0,1.69,2.0,-254.78416759362497,254.78416759362497,20569.846819801343,10.0,3849.3785882072543,25278.538812785388,0,0,1,0
64,4.79,-1266.4943830326115,-57.126494976129024,5.0,1.69,2.0,-273.63591093565805,273.63591093565805,20569.84681980174,10.0,3849.378588207325,25278.538812785388,0,0,1,0
65,38.66,-3144.5498378619427,-55.066066624503094,5.0,1.69,2.0,-2128.8541357032896,2128.8541357032896,20610.598014309577,10.0,3856.6344791818165,25278.538812785388,0,0,1,0
66,47.51,-3631.884527490451,-55.06606660307767,5.0,1.69,2.0,-2616.1888243122203,2616.1888243122203,20610.598014190935,10.0,3856.634479155034,25278.538812785388,0,0,1,0
67,48.16,-3664.0251858109114,-41.192438402446456,4.901714589550766,1.69,2.0,-1983.8278334618212,1983.8278334618212,20540.139633474035,9.803429179101531,3840.420783295025,25278.538812785388,0,0,1,0
68,46.58,-3580.6730855294977,-55.066066622366485,5.0,1.69,2.0,-2564.9773832698306,2564.9773832698306,20610.598014298204,10.0,3856.634479179232,25278.538812785388,0,0,1,0
69,40.99,-3272.8537730974717,-55.06606662439783,5.0,1.69,2.0,-2257.158070934067,2257.158070934067,20610.598014309173,10.0,3856.6344791817182,25278.538812785388,0,0,1,0
70,40.03,-3219.9903491377722,-55.06606662444847,5.0,1.69,2.0,-2204.294646976672,2204.294646976672,20610.59801430938,10.0,3856.6344791817673,25278.538812785388,0,0,1,0
71,34.56,-2918.7789647007075,-55.066066624606705,5.0,1.69,2.0,-1903.083262546408,1903.083262546408,20610.59801430975,10.0,3856.6344791818697,25278.538812785388,0,0,1,0
72,6.37,-1356.7542450955127,-57.126494975993744,5.0,1.69,2.0,-363.89577299708014,363.89577299708014,20569.846819804414,10.0,3849.3785882078014,25278.538812785388,0,0,1,0
