,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off
0,13.19,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
1,7.45,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
2,7.38,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
3,7.36,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
4,7.25,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
5,7.2,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
6,7.06,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
7,7.08,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
8,6.84,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
9,0.0,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
10,0.0,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
11,0.0,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
12,0.0,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
13,5.12,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
14,5.67,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
15,0.0,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
16,0.0,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
17,6.87,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
18,7.5,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
19,7.55,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
20,7.67,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
21,7.78,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
22,7.8,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
23,7.7,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
24,7.3,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
25,7.16,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
26,7.07,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
27,7.21,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
28,7.4,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
29,7.39,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
30,7.47,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
31,7.57,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
32,7.1,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
33,6.66,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
34,6.97,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
35,9.49,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
36,8.77,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
37,8.32,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
38,7.5,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
39,8.01,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
40,49.38,2117.9615414448176,650.0,0,1.42,2.0,32097.0,-32097.0,20595.577917040104,0,3666.012869233148,19696.34703196347,1,0,0,0
41,74.7,18575.96170602482,650.0,0,1.42,2.0,48555.0,-48555.0,20595.577917040904,0,3666.01286923329,19696.34703196347,1,0,0,0
42,76.51,19752.461717789825,650.0,0,1.42,2.0,49731.5,-49731.5,20595.577917040937,0,3666.012869233296,19696.34703196347,1,0,0,0
43,76.52,19758.961717854814,650.0,0,1.42,2.0,49738.0,-49738.0,20595.577917040937,0,3666.0128692332964,19696.34703196347,1,0,0,0
44,76.52,19758.961717854814,650.0,0,1.42,2.0,49738.0,-49738.0,20595.577917040937,0,3666.0128692332964,19696.34703196347,1,0,0,0
45,76.45,19713.46171739982,650.0,0,1.42,2.0,49692.5,-49692.5,20595.577917040933,0,3666.012869233296,19696.34703196347,1,0,0,0
46,76.45,19713.46171739982,650.0,0,1.42,2.0,49692.5,-49692.5,20595.577917040933,0,3666.012869233296,19696.34703196347,1,0,0,0
47,76.28,19602.96171629482,650.0,0,1.42,2.0,49582.0,-49582.0,20595.57791704093,0,3666.0128692332955,19696.34703196347,1,0,0,0
48,72.05,16853.461688799816,650.0,0,1.42,2.0,46832.5,-46832.5,20595.577917040853,0,3666.0128692332814,19696.34703196347,1,0,0,0
49,72.03,16840.461688669817,650.0,0,1.42,2.0,46819.5,-46819.5,20595.577917040853,0,3666.0128692332814,19696.34703196347,1,0,0,0
50,72.1,16885.96168912481,650.0,0,1.42,2.0,46864.99999999999,-46864.99999999999,20595.577917040853,0,3666.0128692332814,19696.34703196347,1,0,0,0
51,73.21,17607.461696339815,650.0,0,1.42,2.0,47586.49999999999,-47586.49999999999,20595.577917040875,0,3666.012869233285,19696.34703196347,1,0,0,0
52,73.21,17607.461696339815,650.0,0,1.42,2.0,47586.49999999999,-47586.49999999999,20595.577917040875,0,3666.012869233285,19696.34703196347,1,0,0,0
53,73.56,17834.961698614818,650.0,0,1.42,2.0,47814.0,-47814.0,20595.577917040882,0,3666.012869233287,19696.34703196347,1,0,0,0
54,73.56,17834.961698614818,650.0,0,1.42,2.0,47814.0,-47814.0,20595.577917040882,0,3666.012869233287,19696.34703196347,1,0,0,0
55,73.87,18036.461700629818,650.0,0,1.42,2.0,48015.5,-48015.5,20595.577917040886,0,3666.0128692332873,19696.34703196347,1,0,0,0
56,74.2,18250.961702774817,650.0,0,1.42,2.0,48230.0,-48230.0,20595.577917040893,0,3666.0128692332887,19696.34703196347,1,0,0,0
57,41.38,-3082.0385105551804,650.0,0,1.42,2.0,26897.0,-26897.0,20595.577917039547,0,3666.0128692330495,19696.34703196347,1,0,0,0
58,1.86,-19696.34703196347,0,0,1.42,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
59,57.48,7382.961594094813,650.0,0,1.42,2.0,37362.0,-37362.0,20595.57791704046,0,3666.012869233212,19696.34703196347,1,0,0,0
60,57.66,7499.961595264816,650.0,0,1.42,2.0,37479.0,-37479.0,20595.577917040468,0,3666.0128692332128,19696.34703196347,1,0,0,0
61,58.95,8338.46160364982,650.0,0,1.42,2.0,38317.5,-38317.5,20595.577917040508,0,3666.012869233221,19696.34703196347,1,0,0,0
62,35.06,-7190.038551635183,650.0,0,1.42,2.0,22789.0,-22789.0,20595.577917038816,0,3666.012869232919,19696.34703196347,1,0,0,0
63,50.52,2858.9615488548206,650.0,0,1.42,2.0,32838.0,-32838.0,20595.577917040166,0,3666.012869233159,19696.34703196347,1,0,0,0
64,67.13,13655.461656819816,650.0,0,1.42,2.0,43634.5,-43634.5,20595.577917040744,0,3666.0128692332623,19696.34703196347,1,0,0,0
65,82.35,23548.461755749813,650.0,0,1.42,2.0,53527.49999999999,-53527.49999999999,20595.577917041028,0,3666.012869233313,19696.34703196347,1,0,0,0
66,82.65,23743.46175769982,650.0,0,1.42,2.0,53722.50000000001,-53722.50000000001,20595.57791704103,0,3666.0128692333137,19696.34703196347,1,0,0,0
67,82.11,23392.461754189815,650.0,0,1.42,2.0,53371.5,-53371.5,20595.577917041028,0,3666.0128692333124,19696.34703196347,1,0,0,0
68,81.45,22963.461749899823,650.0,0,1.42,2.0,52942.5,-52942.5,20595.577917041017,0,3666.01286923331,19696.34703196347,1,0,0,0
69,81.4,22930.961749574824,650.0,0,1.42,2.0,52910.00000000001,-52910.00000000001,20595.577917041013,0,3666.0128692333105,19696.34703196347,1,0,0,0
70,81.42,22943.96174970482,650.0,0,1.42,2.0,52923.0,-52923.0,20595.577917041013,0,3666.01286923331,19696.34703196347,1,0,0,0
71,81.21,22807.46174833981,650.0,0,1.42,2.0,52786.49999999999,-52786.49999999999,20595.57791704101,0,3666.0128692333096,19696.34703196347,1,0,0,0
72,78.2,20850.96172877482,650.0,0,1.42,2.0,50830.0,-50830.0,20595.577917040962,0,3666.012869233301,19696.34703196347,1,0,0,0
73,77.76,20564.96172591482,650.0,0,1.42,2.0,50544.0,-50544.0,20595.577917040955,0,3666.0128692333,19696.34703196347,1,0,0,0
74,77.16,20174.961722014814,650.0,0,1.42,2.0,50154.0,-50154.0,20595.577917040944,0,3666.0128692332983,19696.34703196347,1,0,0,0
75,77.07,20116.461721429812,650.0,0,1.42,2.0,50095.49999999999,-50095.49999999999,20595.577917040944,0,3666.012869233298,19696.34703196347,1,0,0,0
76,77.42,20343.96172370482,650.0,0,1.42,2.0,50323.0,-50323.0,20595.57791704095,0,3666.012869233299,19696.34703196347,1,0,0,0
77,78.32,20928.961729554812,650.0,0,1.42,2.0,50907.99999999999,-50907.99999999999,20595.577917040966,0,3666.012869233302,19696.34703196347,1,0,0,0
78,78.56,21084.96173111482,650.0,0,1.42,2.0,51064.0,-51064.0,20595.57791704097,0,3666.0128692333024,19696.34703196347,1,0,0,0
79,78.43,21000.461730269824,650.0,0,1.42,2.0,50979.50000000001,-50979.50000000001,20595.577917040966,0,3666.0128692333024,19696.34703196347,1,0,0,0
80,76.69,19869.461718959818,650.0,0,1.42,2.0,49848.5,-49848.5,20595.577917040937,0,3666.0128692332964,19696.34703196347,1,0,0,0
81,63.06,11009.96163036482,650.0,0,1.42,2.0,40989.0,-40989.0,20595.57791704064,0,3666.0128692332432,19696.34703196347,1,0,0,0
82,61.49,9989.46162015982,650.0,0,1.42,2.0,39968.5,-39968.5,20595.57791704059,0,3666.012869233235,19696.34703196347,1,0,0,0
83,61.43,9950.461619769818,650.0,0,1.42,2.0,39929.5,-39929.5,20595.577917040588,0,3666.012869233235,19696.34703196347,1,0,0,0
84,61.42,9943.961619704822,650.0,0,1.42,2.0,39923.0,-39923.0,20595.57791704059,0,3666.0128692332346,19696.34703196347,1,0,0,0
85,61.16,9774.961618014817,650.0,0,1.42,2.0,39754.0,-39754.0,20595.577917040584,0,3666.0128692332332,19696.34703196347,1,0,0,0
86,49.01,1877.461539039816,650.0,0,1.42,2.0,31856.5,-31856.5,20595.577917040086,0,3666.0128692331446,19696.34703196347,1,0,0,0
87,55.34,5991.961580184819,650.0,0,1.42,2.0,35971.0,-35971.0,20595.57791704038,0,3666.0128692331973,19696.34703196347,1,0,0,0
88,61.99,10314.461623409821,650.0,0,1.42,2.0,40293.5,-40293.5,20595.577917040606,0,3666.012869233238,19696.34703196347,1,0,0,0
89,76.58,19797.961718244816,650.0,0,1.42,2.0,49777.0,-49777.0,20595.577917040937,0,3666.012869233297,19696.34703196347,1,0,0,0
90,77.17,20181.461722079817,650.0,0,1.42,2.0,50160.5,-50160.5,20595.577917040948,0,3666.0128692332987,19696.34703196347,1,0,0,0
91,77.16,20174.961722014814,650.0,0,1.42,2.0,50154.0,-50154.0,20595.577917040944,0,3666.0128692332983,19696.34703196347,1,0,0,0
92,77.15,20168.461721949825,650.0,0,1.42,2.0,50147.50000000001,-50147.50000000001,20595.577917040944,0,3666.0128692332983,19696.34703196347,1,0,0,0
93,77.01,20077.46172103982,650.0,0,1.42,2.0,50056.5,-50056.5,20595.577917040944,0,3666.0128692332974,19696.34703196347,1,0,0,0
94,76.16,19524.961715514815,650.0,0,1.42,2.0,49504.0,-49504.0,20595.577917040926,0,3666.012869233295,19696.34703196347,1,0,0,0
95,73.57,17841.461698679814,650.0,0,1.42,2.0,47820.49999999999,-47820.49999999999,20595.577917040882,0,3666.012869233287,19696.34703196347,1,0,0,0
96,73.56,17834.961698614818,650.0,0,1.42,2.0,47814.0,-47814.0,20595.577917040882,0,3666.012869233287,19696.34703196347,1,0,0,0
97,74.78,18627.961706544822,650.0,0,1.42,2.0,48607.0,-48607.0,20595.577917040904,0,3666.0128692332905,19696.34703196347,1,0,0,0
98,76.33,19635.461716619815,650.0,0,1.42,2.0,49614.5,-49614.5,20595.57791704093,0,3666.0128692332955,19696.34703196347,1,0,0,0
99,76.34,19641.961716684822,650.0,0,1.42,2.0,49621.0,-49621.0,20595.57791704093,0,3666.0128692332955,19696.34703196347,1,0,0,0
100,76.79,19934.461719609826,650.0,0,1.42,2.0,49913.50000000001,-49913.50000000001,20595.57791704094,0,3666.012869233297,19696.34703196347,1,0,0,0
101,77.59,20454.461724809822,650.0,0,1.42,2.0,50433.5,-50433.5,20595.577917040955,0,3666.0128692332996,19696.34703196347,1,0,0,0
102,77.61,20467.461724939818,650.0,0,1.42,2.0,50446.5,-50446.5,20595.57791704095,0,3666.0128692332996,19696.34703196347,1,0,0,0
103,78.0,20720.961727474816,650.0,0,1.42,2.0,50700.0,-50700.0,20595.57791704096,0,3666.0128692333005,19696.34703196347,1,0,0,0
104,77.17,20181.461722079817,650.0,0,1.42,2.0,50160.5,-50160.5,20595.577917040948,0,3666.0128692332987,19696.34703196347,1,0,0,0
105,45.97,-98.53848072018071,650.0,0,1.42,2.0,29880.5,-29880.5,20595.5779170399,0,3666.0128692331123,19696.34703196347,1,0,0,0
106,26.73,-12604.538605780186,650.0,0,1.42,2.0,17374.5,-17374.5,20595.577917036764,0,3666.012869232554,19696.34703196347,1,0,0,0
107,24.45,-14086.538620600182,650.0,0,1.42,2.0,15892.5,-15892.5,20595.577917035647,0,3666.012869232355,19696.34703196347,1,0,0,0
108,29.16,-11025.038589985186,650.0,0,1.42,2.0,18954.0,-18954.0,20595.57791703759,0,3666.012869232701,19696.34703196347,1,0,0,0
