,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off
0,1.8,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
1,11.61,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
2,11.88,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
3,1.44,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
4,6.42,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
5,19.0,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
6,12.2,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
7,-1.6,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
8,2.18,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
9,1.43,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
10,9.07,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
11,8.54,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
12,12.82,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
13,3.72,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
14,3.28,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
15,9.28,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
16,15.64,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
17,22.35,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
18,25.87,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
19,22.66,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
20,22.07,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
21,14.64,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
22,11.6,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
23,10.67,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
24,9.0,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
25,11.68,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
26,4.87,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
27,6.15,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
28,5.5,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
29,9.3,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
30,19.13,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
31,24.76,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
32,27.22,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
33,22.92,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
34,23.32,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
35,19.63,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
36,19.73,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
37,22.58,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
38,25.97,-19696.34703196347,0,0,3.05,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1
39,27.73,-19549.740410316044,650.0,0,3.05,2.0,18024.5,-18024.5,20595.57791702458,0,3666.012869230385,19696.34703196347,1,0,0,0
