,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off
0,18.1313,7889.632100070673,-659.6383298513394,5.0,2.43,2.0,-11960.100450033591,11960.100450033591,3138.048376110266,10.0,116.83199064479261,-14308.219178082192,0,1,0,0
1,17.8247,8091.877212003115,-659.63832985134,5.0,2.43,2.0,-11757.85533810118,11757.85533810118,3138.048376110269,10.0,116.83199064479274,-14308.219178082192,0,1,0,0
2,16.3759,9047.561224291841,-659.6383298513431,5.0,2.43,2.0,-10802.171325812611,10802.171325812611,3138.0483761102832,10.0,116.83199064479327,-14308.219178082192,0,1,0,0
3,12.261,11761.906987797425,-659.6383298513504,5.0,2.43,2.0,-8087.8255623074065,8087.8255623074065,3138.048376110317,10.0,116.83199064479457,-14308.219178082192,0,1,0,0
4,6.211,15752.71888339848,-659.6383298513589,5.0,2.43,2.0,-4097.01366670679,4097.01366670679,3138.048376110356,10.0,116.83199064479605,-14308.219178082192,0,1,0,0
5,9.2233,13765.690342387066,-659.638329851355,5.0,2.43,2.0,-6084.042207718003,6084.042207718003,3138.048376110338,10.0,116.83199064479537,-14308.219178082192,0,1,0,0
6,16.2213,9149.541310086872,-659.6383298513433,5.0,2.43,2.0,-10700.191240017595,10700.191240017595,3138.0483761102846,10.0,116.83199064479332,-14308.219178082192,0,1,0,0
7,11.5538,12228.403214668346,-659.6383298513516,5.0,2.43,2.0,-7621.329335436547,7621.329335436547,3138.0483761103224,10.0,116.83199064479477,-14308.219178082192,0,1,0,0
8,17.6834,8185.084108011119,-659.6383298513405,5.0,2.43,2.0,-11664.648442093194,11664.648442093194,3138.048376110271,10.0,116.8319906447928,-14308.219178082192,0,1,0,0
9,18.8835,7393.452148356437,-659.6383298513377,5.0,2.43,2.0,-12456.280401747737,12456.280401747737,3138.0483761102582,10.0,116.83199064479231,-14308.219178082192,0,1,0,0
10,19.6739,6872.074012441883,-659.6383298513358,5.0,2.43,2.0,-12977.658537662195,12977.658537662195,3138.0483761102496,10.0,116.83199064479199,-14308.219178082192,0,1,0,0
11,20.0755,6607.163259173553,-659.6383298513349,5.0,2.43,2.0,-13242.569290930474,13242.569290930474,3138.048376110245,10.0,116.83199064479182,-14308.219178082192,0,1,0,0
12,20.0908,6597.070792726826,-659.6383298513349,5.0,2.43,2.0,-13252.6617573772,13252.6617573772,3138.048376110245,10.0,116.8319906447918,-14308.219178082192,0,1,0,0
13,19.831,6768.4448308222245,-659.6383298513355,5.0,2.43,2.0,-13081.287719281834,13081.287719281834,3138.048376110248,10.0,116.83199064479192,-14308.219178082192,0,1,0,0
14,20.0882,6598.785852384441,-659.6383298513349,5.0,2.43,2.0,-13250.946697719586,13250.946697719586,3138.048376110245,10.0,116.8319906447918,-14308.219178082192,0,1,0,0
15,20.5182,6315.141370548333,-659.6383298513338,5.0,2.43,2.0,-13534.591179555637,13534.591179555637,3138.04837611024,10.0,116.83199064479162,-14308.219178082192,0,1,0,0
16,23.5043,4345.395353779025,-659.6383298513252,5.0,2.43,2.0,-15504.337196324504,15504.337196324504,3138.0483761102014,10.0,116.83199064479012,-14308.219178082192,0,1,0,0
17,27.567,1665.4827110916901,-659.6383298513105,5.0,2.43,2.0,-18184.249839011074,18184.249839011074,3138.048376110133,10.0,116.8319906447875,-14308.219178082192,0,1,0,0
18,28.359,1143.0491538493684,-659.638329851307,5.0,2.43,2.0,-18706.68339625322,18706.68339625322,3138.0483761101173,10.0,116.83199064478688,-14308.219178082192,0,1,0,0
19,22.3664,5095.997809316951,-659.6383298513288,5.0,2.43,2.0,-14753.734740786758,14753.734740786758,3138.0483761102173,10.0,116.83199064479072,-14308.219178082192,0,1,0,0
20,23.7469,4185.367094957072,-659.6383298513246,5.0,2.43,2.0,-15664.365455146419,15664.365455146419,3138.0483761101978,10.0,116.83199064478998,-14308.219178082192,0,1,0,0
21,29.2671,544.0315865113021,-659.6383298513027,5.0,2.43,2.0,-19305.70096359106,19305.70096359106,3138.0483761100973,10.0,116.83199064478613,-14308.219178082192,0,1,0,0
22,23.627,4264.457730706257,-659.6383298513249,5.0,2.43,2.0,-15585.274819397253,15585.274819397253,3138.0483761101996,10.0,116.83199064479005,-14308.219178082192,0,1,0,0
23,19.2006,7184.280833960557,-659.6383298513371,5.0,2.43,2.0,-12665.451716143583,12665.451716143583,3138.048376110255,10.0,116.83199064479219,-14308.219178082192,0,1,0,0
24,21.3026,5797.721064612879,-659.6383298513317,5.0,2.43,2.0,-14052.01148549098,14052.01148549098,3138.0483761102305,10.0,116.83199064479125,-14308.219178082192,0,1,0,0
25,21.1168,5920.281866299275,-659.6383298513322,5.0,2.43,2.0,-13929.450683804613,13929.450683804613,3138.0483761102328,10.0,116.83199064479133,-14308.219178082192,0,1,0,0
