,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off
0,-3.4688,29416.56846604498,738.1978274433201,5.0,8.21,2.0,2560.660623835389,-2560.660623835389,0.0,10.0,91.58110226306782,-9052.511415525114,0,1,0,0
1,1.5267,25728.90121905164,738.1978274433152,5.0,8.21,2.0,-1127.0066231577093,1127.0066231577093,0.0,10.0,91.58110226308047,-9052.511415525114,0,1,0,0
2,-7.8184,32627.433736292645,738.1978274433236,5.0,8.21,2.0,5771.525894082881,-5771.525894082881,0.0,10.0,91.58110226305912,-9052.511415525114,0,1,0,0
3,-3.3089,29298.530633436785,738.19782744332,5.0,8.21,2.0,2442.6227912272016,-2442.6227912272016,0.0,10.0,91.58110226306832,-9052.511415525114,0,1,0,0
4,-7.5716,32445.24651247962,738.1978274433235,5.0,8.21,2.0,5589.338670269868,-5589.338670269868,0.0,10.0,91.58110226305953,-9052.511415525114,0,1,0,0
5,-6.9102,31957.00246940858,738.1978274433228,5.0,8.21,2.0,5101.094627198849,-5101.094627198849,0.0,10.0,91.58110226306086,-9052.511415525114,0,1,0,0
6,-18.4314,40461.9272789491,738.1978274433302,5.0,8.21,2.0,13606.019436738996,-13606.019436738996,0.0,10.0,91.58110226304198,-9052.511415525114,0,1,0,0
7,-0.1212,26945.37741889556,738.1978274433169,5.0,8.21,2.0,89.46957668613001,-89.46957668613001,0.0,10.0,91.5811022630761,-9052.511415525114,0,1,0,0
8,0.1883,26716.90519130184,738.1978274433167,5.0,8.21,2.0,-139.00265090757654,139.00265090757654,0.0,10.0,91.58110226307684,-9052.511415525114,0,1,0,0
9,-6.1886,31424.31891712545,738.1978274433224,5.0,8.21,2.0,4568.411074915744,-4568.411074915744,0.0,10.0,91.58110226306233,-9052.511415525114,0,1,0,0
10,9.9633,19501.02142804293,738.1978274433044,5.0,8.21,2.0,-7354.886414165875,7354.886414165875,0.0,10.0,91.58110226310801,-9052.511415525114,0,1,0,0
11,6.9093,21755.477593054977,738.1978274433088,5.0,8.21,2.0,-5100.430249154054,5100.430249154054,0.0,10.0,91.58110226309672,-9052.511415525114,0,1,0,0
12,14.4972,16154.10629819745,738.1978274432965,5.0,8.21,2.0,-10701.801544010958,10701.801544010958,0.0,10.0,91.58110226312817,-9052.511415525114,0,1,0,0
13,8.7413,20403.099173178725,738.1978274433062,5.0,8.21,2.0,-6452.808669030173,6452.808669030173,0.0,10.0,91.58110226310312,-9052.511415525114,0,1,0,0
14,6.1514,22314.957726474302,738.1978274433098,5.0,8.21,2.0,-4540.950115734776,4540.950115734776,0.0,10.0,91.58110226309388,-9052.511415525114,0,1,0,0
15,-3.4066,29370.652561178,738.1978274433201,5.0,8.21,2.0,2514.7447189684144,-2514.7447189684144,0.0,10.0,91.58110226306837,-9052.511415525114,0,1,0,0
16,8.53,20559.080374117508,738.1978274433066,5.0,8.21,2.0,-6296.827468091405,6296.827468091405,0.0,10.0,91.58110226310248,-9052.511415525114,0,1,0,0
17,12.4073,17696.86593777134,738.1978274433004,5.0,8.21,2.0,-9159.041904437261,9159.041904437261,0.0,10.0,91.58110226311821,-9052.511415525114,0,1,0,0
18,6.5869,21993.472572622715,738.1978274433093,5.0,8.21,2.0,-4862.435269586334,4862.435269586334,0.0,10.0,91.58110226309518,-9052.511415525114,0,1,0,0
19,11.136,18635.336835800095,738.1978274433026,5.0,8.21,2.0,-8220.571006408616,8220.571006408616,0.0,10.0,91.58110226311268,-9052.511415525114,0,1,0,0
20,14.5801,16092.909698302396,738.1978274432963,5.0,8.21,2.0,-10762.998143906005,10762.998143906005,0.0,10.0,91.58110226312874,-9052.511415525114,0,1,0,0
21,17.9141,13631.75814160621,738.197827443289,5.0,8.21,2.0,-13224.149700601825,13224.149700601825,0.0,10.0,91.58110226314696,-9052.511415525114,0,1,0,0
22,19.2913,12615.112093651205,738.1978274432855,5.0,8.21,2.0,-14240.795748556653,14240.795748556653,0.0,10.0,91.58110226315578,-9052.511415525114,0,1,0,0
23,16.6781,14544.17065632621,738.1978274432919,5.0,8.21,2.0,-12311.737185881966,12311.737185881966,0.0,10.0,91.58110226313983,-9052.511415525114,0,1,0,0
24,13.5357,16863.883509284246,738.1978274432984,5.0,8.21,2.0,-9992.024332924253,9992.024332924253,0.0,10.0,91.58110226312306,-9052.511415525114,0,1,0,0
25,15.8932,15123.582131086509,738.1978274432936,5.0,8.21,2.0,-11732.325711121754,11732.325711121754,0.0,10.0,91.58110226313532,-9052.511415525114,0,1,0,0
26,17.7744,13734.884378100049,738.1978274432893,5.0,8.21,2.0,-13121.023464108,13121.023464108,0.0,10.0,91.58110226314601,-9052.511415525114,0,1,0,0
27,24.9403,8445.032566423624,738.1978274432672,5.0,8.21,2.0,-18410.875275783317,18410.875275783317,0.0,10.0,91.58110226320235,-9052.511415525114,0,1,0,0
28,24.3473,8882.783878097536,738.1978274432695,5.0,8.21,2.0,-17973.123964109516,17973.123964109516,0.0,10.0,91.58110226319629,-9052.511415525114,0,1,0,0
29,26.9059,6994.030916800947,738.1978274432587,5.0,8.21,2.0,-19861.876925405573,19861.876925405573,0.0,10.0,91.58110226322391,-9052.511415525114,0,1,0,0
30,29.539,5050.282217359811,738.1978274432448,5.0,8.21,2.0,-21805.62562484601,21805.62562484601,0.0,10.0,91.5811022632594,-9052.511415525114,0,1,0,0
31,34.7438,1208.1101650825728,738.1978274432036,5.0,8.21,2.0,-25647.797677121176,25647.797677121176,0.0,10.0,91.58110226336488,-9052.511415525114,0,1,0,0
32,32.9125,2559.9718464796138,738.1978274432208,5.0,8.21,2.0,-24295.935995725005,24295.935995725005,0.0,10.0,91.58110226332003,-9052.511415525114,0,1,0,0
33,49.6361,-9052.511415525114,0,0,8.21,2.0,0,0,0,0,0,9052.511415525114,0,0,0,1
34,49.4708,-9052.511415525114,0,0,8.21,2.0,0,0,0,0,0,9052.511415525114,0,0,0,1
35,45.7055,-6883.792960003377,738.1978274427948,5.0,8.21,2.0,-33739.70080218666,33739.70080218666,0.0,10.0,91.58110226440202,-9052.511415525114,0,1,0,0
36,47.6402,-8311.984296758055,738.1978274423424,5.0,8.21,2.0,-35167.89213891868,35167.89213891868,0.0,10.0,91.58110226555155,-9052.511415525114,0,1,0,0
37,46.5154,-7481.659380449764,738.1978274426652,5.0,8.21,2.0,-34337.56722262655,34337.56722262655,0.0,10.0,91.58110226473183,-9052.511415525114,0,1,0,0
38,35.9357,328.2521745528318,738.1978274431896,5.0,8.21,2.0,-26527.655667650226,26527.655667650226,0.0,10.0,91.5811022633999,-9052.511415525114,0,1,0,0
39,128.9263,-9052.511415525114,0,0,8.21,2.0,0,0,0,0,0,9052.511415525114,0,0,0,1
40,39.7838,-2512.4068852319915,738.1978274431236,5.0,8.21,2.0,-29368.31472743174,29368.31472743174,0.0,10.0,91.58110226356725,-9052.511415525114,0,1,0,0
41,59.1743,-9052.511415525114,0,0,8.21,2.0,0,0,0,0,0,9052.511415525114,0,0,0,1
42,37.9568,-1163.719454492961,738.1978274431601,5.0,8.21,2.0,-28019.62729669454,28019.62729669454,0.0,10.0,91.58110226347486,-9052.511415525114,0,1,0,0
43,22.1041,10538.709244618503,738.1978274432773,5.0,8.21,2.0,-16317.198597588946,16317.198597588946,0.0,10.0,91.58110226317687,-9052.511415525114,0,1,0,0
44,22.3257,10375.12460605705,738.1978274432765,5.0,8.21,2.0,-16480.78323615036,16480.78323615036,0.0,10.0,91.58110226317861,-9052.511415525114,0,1,0,0
45,20.0168,12079.549569841041,738.1978274432836,5.0,8.21,2.0,-14776.358272366719,14776.358272366719,0.0,10.0,91.58110226316079,-9052.511415525114,0,1,0,0
46,18.9851,12841.148268414367,738.1978274432862,5.0,8.21,2.0,-14014.759573793532,14014.759573793532,0.0,10.0,91.58110226315371,-9052.511415525114,0,1,0,0
47,20.7149,11564.213666502825,738.1978274432817,5.0,8.21,2.0,-15291.694175704835,15291.694175704835,0.0,10.0,91.58110226316603,-9052.511415525114,0,1,0,0
48,13.3909,16970.774554698048,738.1978274432986,5.0,8.21,2.0,-9885.133287510467,9885.133287510467,0.0,10.0,91.58110226312236,-9052.511415525114,0,1,0,0
49,20.7129,11565.690062157713,738.1978274432815,5.0,8.21,2.0,-15290.217780049947,15290.217780049947,0.0,10.0,91.581102263166,-9052.511415525114,0,1,0,0
50,107.9439,-9052.511415525114,0,0,8.21,2.0,0,0,0,0,0,9052.511415525114,0,0,0,1
51,31.2215,3808.26437268635,738.1978274432339,5.0,8.21,2.0,-23047.643469518927,23047.643469518927,0.0,10.0,91.58110226328728,-9052.511415525114,0,1,0,0
52,81.5581,-9052.511415525114,0,0,8.21,2.0,0,0,0,0,0,9052.511415525114,0,0,0,1
53,108.6451,-9052.511415525114,0,0,8.21,2.0,0,0,0,0,0,9052.511415525114,0,0,0,1
54,32.485,2875.5514177116556,738.1978274432244,5.0,8.21,2.0,-23980.356424493144,23980.356424493144,0.0,10.0,91.5811022633113,-9052.511415525114,0,1,0,0
55,55.7748,-9052.511415525114,0,0,8.21,2.0,0,0,0,0,0,9052.511415525114,0,0,0,1
56,31.7519,3416.7242450103836,738.1978274432302,5.0,8.21,2.0,-23439.1835971947,23439.1835971947,0.0,10.0,91.58110226329659,-9052.511415525114,0,1,0,0
57,34.6793,1255.7239249526726,738.1978274432041,5.0,8.21,2.0,-25600.183917251106,25600.183917251106,0.0,10.0,91.58110226336292,-9052.511415525114,0,1,0,0
58,31.2653,3775.9313078443265,738.1978274432337,5.0,8.21,2.0,-23079.976534360932,23079.976534360932,0.0,10.0,91.58110226328739,-9052.511415525114,0,1,0,0
59,24.9334,8450.126131432988,738.1978274432672,5.0,8.21,2.0,-18405.781710773957,18405.781710773957,0.0,10.0,91.5811022632025,-9052.511415525114,0,1,0,0
60,10.9457,18775.815882362567,738.1978274433028,5.0,8.21,2.0,-8080.09195984616,8080.09195984616,0.0,10.0,91.58110226311162,-9052.511415525114,0,1,0,0
61,15.1731,15655.158386628478,738.1978274432951,5.0,8.21,2.0,-11200.74945557986,11200.74945557986,0.0,10.0,91.5811022631316,-9052.511415525114,0,1,0,0
62,2.3215,25142.18158579965,738.1978274433145,5.0,8.21,2.0,-1713.7262564096545,1713.7262564096545,0.0,10.0,91.5811022630825,-9052.511415525114,0,1,0,0
63,16.4601,14705.097782708866,738.1978274432922,5.0,8.21,2.0,-12150.810059499336,12150.810059499336,0.0,10.0,91.58110226313875,-9052.511415525114,0,1,0,0
64,13.5116,16881.674076925632,738.1978274432984,5.0,8.21,2.0,-9974.23376528287,9974.23376528287,0.0,10.0,91.58110226312333,-9052.511415525114,0,1,0,0
65,11.629,18271.405306870514,738.1978274433018,5.0,8.21,2.0,-8584.502535338155,8584.502535338155,0.0,10.0,91.58110226311494,-9052.511415525114,0,1,0,0
66,7.1871,21550.406236591207,738.1978274433084,5.0,8.21,2.0,-5305.501605617802,5305.501605617802,0.0,10.0,91.58110226309762,-9052.511415525114,0,1,0,0
67,9.3326,19966.602797811465,738.1978274433053,5.0,8.21,2.0,-6889.305044397391,6889.305044397391,0.0,10.0,91.58110226310565,-9052.511415525114,0,1,0,0
