,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off
0,-3.9503,12625.356150938494,-369.01459818240534,5.0,2.83,2.0,1457.7183671999558,-1457.7183671999558,11201.246330256592,10.0,778.1037712185022,16882.420091324202,0,0,1,0
1,4.2377,9956.228203017348,-279.49682976302773,5.0,2.83,2.0,-1184.4237154867826,1184.4237154867826,11417.710872337873,10.0,666.4935608665463,16882.420091324202,0,0,1,0
2,2.8798,10346.974209952958,-295.8905616922228,5.0,2.83,2.0,-852.1056395612632,852.1056395612632,11305.895458984493,10.0,679.6578515284937,16882.420091324202,0,0,1,0
3,-0.5862,11440.906135257306,-334.6822823046204,5.0,2.83,2.0,196.1907538869685,-196.1907538869685,11166.310277308681,10.0,723.3947323744751,16882.420091324202,0,0,1,0
4,12.7452,8087.334597972754,-149.74551242438602,5.0,2.83,2.0,-1908.5365049512848,1908.5365049512848,13224.464973273936,10.0,654.4612303715783,16882.420091324202,0,0,1,0
5,17.0301,7666.21903319724,-31.695655732769843,5.0,2.83,2.0,-539.7801866946437,539.7801866946437,15881.552651701302,10.0,743.0756179395514,16882.420091324202,0,0,1,0
6,16.7163,7678.269380806191,-44.82321102306723,5.0,2.83,2.0,-749.2782424248987,749.2782424248987,15555.459122747967,10.0,730.3156053103361,16882.420091324202,0,0,1,0
7,18.0384,7656.853072746894,1.4935128975837602,5.0,2.83,2.0,26.940583051774897,-26.940583051774897,16727.85857711232,10.0,777.2967895585105,16882.420091324202,0,0,1,0
8,19.4183,7658.913971202878,1.493512902497943,5.0,2.83,2.0,29.001481594575804,-29.001481594575804,16727.858577239444,10.0,777.2967895637393,16882.420091324202,0,0,1,0
9,22.6797,7663.784914187414,1.4935129034216745,5.0,2.83,2.0,33.872424595732554,-33.872424595732554,16727.858577263065,10.0,777.2967895647105,16882.420091324202,0,0,1,0
10,32.7687,7678.852965874095,1.4935129038123676,5.0,2.83,2.0,48.94047629115633,-48.94047629115633,16727.858577271516,10.0,777.2967895650556,16882.420091324202,0,0,1,0
11,91.8244,37315.908234131355,712.0,0,2.83,2.0,65378.972799999996,-65378.972799999996,16509.60732852991,0,610.0141917384266,16882.420091324202,1,0,0,0
12,30.4758,7675.428490136913,1.4935129037638024,5.0,2.83,2.0,45.516000552524886,-45.516000552524886,16727.8585772708,10.0,777.2967895650266,16882.420091324202,0,0,1,0
13,32.1834,7677.978812771488,1.4935129038002943,5.0,2.83,2.0,48.06632318816639,-48.06632318816639,16727.858577271356,10.0,777.2967895650492,16882.420091324202,0,0,1,0
14,28.8595,7673.014525230463,1.4935129037247998,5.0,2.83,2.0,43.10203564504586,-43.10203564504586,16727.858577270094,10.0,777.2967895649982,16882.420091324202,0,0,1,0
