model3, CAISO_NP15_2019, 1.1342309991518655, 7.12062775293986, 8.254858752091724, optimal
model4, CAISO_NP15_2019, 0.4313596685727437, 5.519443853696187, 5.950803522268931, optimal
model5, CAISO_NP15_2019, 32.13400246302287, 15.084231730302175, 47.218234193325046, optimal
model6, CAISO_NP15_2019, 0.3103421370188395, 2.9121337374051413, 3.2224758744239805, optimal
model3, CAISO_NP15_2022, 0.8263343294461568, 4.430585420131683, 5.25691974957784, optimal
model4, CAISO_NP15_2022, 0.5474307378133138, 2.3052306532859803, 2.852661391099294, optimal
model5, CAISO_NP15_2022, 1.4739697138468424, 6.7840630133946735, 8.258032727241517, optimal
model6, CAISO_NP15_2022, 0.34872681299845376, 0.9312964995702108, 1.2800233125686646, optimal
model3, CAISO_ZP26_2019, 1.1415337006251016, 10.351971181233724, 11.493504881858826, optimal
model4, CAISO_ZP26_2019, 0.4488861004511515, 3.4376767317454022, 3.886562832196554, optimal
model5, CAISO_ZP26_2019, 24.54336013396581, 18.269368402163188, 42.812728536129, optimal
model6, CAISO_ZP26_2019, 0.2969982067743937, 3.4013022502263386, 3.698300457000732, optimal
model3, CAISO_ZP26_2022, 0.8655966679255168, 4.570294666290283, 5.4358913342158, optimal
model4, CAISO_ZP26_2022, 0.5200699687004089, 2.4275873859723407, 2.9476573546727494, optimal
model5, CAISO_ZP26_2022, 2.028212853272756, 7.214798863728841, 9.243011717001597, optimal
model6, CAISO_ZP26_2022, 0.34791772762934364, 1.1270171324412028, 1.4749348600705465, optimal
model3, CAISO_SP15_2019, 0.8269120852152506, 11.665452086925507, 12.492364172140757, optimal
model4, CAISO_SP15_2019, 0.44896778265635173, 3.3933845202128095, 3.8423523028691613, optimal
model5, CAISO_SP15_2019, 28.96757208108902, 23.61377944946289, 52.58135153055191, optimal
model6, CAISO_SP15_2019, 0.3008392850557963, 3.1684457023938495, 3.4692849874496456, optimal
model3, CAISO_SP15_2022, 0.8167317827542623, 4.505095620950063, 5.321827403704325, optimal
model4, CAISO_SP15_2022, 0.5200804789861043, 2.4684794505437213, 2.9885599295298255, optimal
model5, CAISO_SP15_2022, 1.9232113321622213, 7.560836219787598, 9.48404755194982, optimal
model6, CAISO_SP15_2022, 0.2926715016365051, 1.055351467927297, 1.3480229695638022, optimal
model3, ERCOT_NORTH_2019, 1.6779743472735087, 8.52894534667333, 10.206919693946839, optimal
model4, ERCOT_NORTH_2019, 0.29744110107421873, 5.460531687736511, 5.757972788810729, optimal
model5, ERCOT_NORTH_2019, 3.861392398675283, 10.884832449754079, 14.746224848429362, optimal
model6, ERCOT_NORTH_2019, 0.324164883295695, 3.739123531182607, 4.063288414478302, optimal
model3, ERCOT_NORTH_2022, 0.9196362495422363, 5.863469934463501, 6.783106184005737, optimal
model4, ERCOT_NORTH_2022, 0.5848591327667236, 4.553509449958801, 5.1383685827255245, optimal
model5, ERCOT_NORTH_2022, 2.402871000766754, 10.414487632115682, 12.817358632882435, optimal
model6, ERCOT_NORTH_2022, 0.3036874492963155, 1.9399051149686177, 2.243592564264933, optimal
model3, ERCOT_SOUTH_2019, 1.6922621806462605, 9.247003014882406, 10.939265195528666, optimal
model4, ERCOT_SOUTH_2019, 0.2936851700146993, 5.443523716926575, 5.737208886941274, optimal
model5, ERCOT_SOUTH_2019, 3.559959618250529, 10.122782345612844, 13.682741963863373, optimal
model6, ERCOT_SOUTH_2019, 0.31128623088200885, 3.1879703323046367, 3.4992565631866457, optimal
model3, ERCOT_SOUTH_2022, 0.8946878353754679, 3.9180199980735777, 4.812707833449045, optimal
model4, ERCOT_SOUTH_2022, 0.5597788691520691, 4.651433300971985, 5.211212170124054, optimal
model5, ERCOT_SOUTH_2022, 2.0657337506612143, 12.673543214797974, 14.739276965459188, optimal
model6, ERCOT_SOUTH_2022, 0.3200864990552266, 1.6548064510027567, 1.9748929500579833, optimal
model3, ERCOT_WEST_2019, 1.4995820641517639, 8.64998095035553, 10.149563014507294, optimal
model4, ERCOT_WEST_2019, 0.3365491509437561, 5.547805281480153, 5.884354432423909, optimal
model5, ERCOT_WEST_2019, 5.715553013483683, 14.338261234760285, 20.053814248243967, optimal
model6, ERCOT_WEST_2019, 0.29244165420532225, 2.7408162156740823, 3.0332578698794044, optimal
model3, ERCOT_WEST_2022, 0.9526199499766032, 5.576171882947286, 6.52879183292389, optimal
model4, ERCOT_WEST_2022, 0.48012733459472656, 4.436438250541687, 4.916565585136413, optimal
model5, ERCOT_WEST_2022, 3.857879364490509, 9.624839766820271, 13.48271913131078, optimal
model6, ERCOT_WEST_2022, 0.2934339165687561, 1.4296123027801513, 1.7230462193489073, optimal
model3, ERCOT_HOUSTON_2019, 1.6809260328610738, 12.13743016719818, 13.818356200059254, optimal
model4, ERCOT_HOUSTON_2019, 0.29812846581141156, 5.452681318918864, 5.750809784730276, optimal
model5, ERCOT_HOUSTON_2019, 3.431817662715912, 9.563452116648357, 12.995269779364268, optimal
model6, ERCOT_HOUSTON_2019, 0.34056381781895956, 3.611708982785543, 3.9522728006045025, optimal
model3, ERCOT_HOUSTON_2022, 0.8541179656982422, 5.749855868021647, 6.6039738337198886, optimal
model4, ERCOT_HOUSTON_2022, 0.5741336663564046, 2.8224729180335997, 3.396606584390004, optimal
model5, ERCOT_HOUSTON_2022, 1.5889115492502848, 9.113676385084789, 10.702587934335074, optimal
model6, ERCOT_HOUSTON_2022, 0.30293476581573486, 1.3893624305725099, 1.6922971963882447, optimal
model3, ISO_NE_2019, 1.1621964693069458, 2.6620519518852235, 3.824248421192169, optimal
model4, ISO_NE_2019, 1.0433064142862956, 4.8548516472180685, 5.898158061504364, optimal
model5, ISO_NE_2019, 79.90588901440303, 17.96914786497752, 97.87503687938054, optimal
model6, ISO_NE_2019, 0.3248656153678894, 2.991649834314982, 3.3165154496828717, optimal
model3, ISO_NE_2022, 0.9497551480929057, 2.873661454518636, 3.8234166026115415, optimal
model4, ISO_NE_2022, 0.6540138840675354, 4.8281717499097185, 5.482185633977254, optimal
model5, ISO_NE_2022, 1.4632261355717977, 7.691788347562154, 9.155014483133952, optimal
model6, ISO_NE_2022, 0.3520849029223124, 0.7197211821873982, 1.0718060851097106, optimal
model3, NYISO_2019, 1.5261931816736858, 18.259195033709208, 19.785388215382895, optimal
model4, NYISO_2019, 0.30813413063685097, 3.379028364022573, 3.687162494659424, optimal
model5, NYISO_2019, 3.4182133197784426, 26.02121391693751, 29.43942723671595, optimal
model6, NYISO_2019, 0.2541181842486064, 2.191420845190684, 2.4455390294392902, optimal
model3, NYISO_2022, 0.9200641314188639, 3.4919475317001343, 4.4120116631189985, optimal
model4, NYISO_2022, 0.5139967004458109, 4.462602599461873, 4.976599299907685, optimal
model5, NYISO_2022, 3.8185153007507324, 11.40241113503774, 15.220926435788472, optimal
model6, NYISO_2022, 0.2911766807238261, 1.4632377783457438, 1.7544144590695698, optimal
model3, MISO_INDIANA_2019, 16.483495763937633, 48.68375241756439, 65.16724818150203, optimal
model4, MISO_INDIANA_2019, 0.324548614025116, 3.0737940351168316, 3.3983426491419477, optimal
model5, MISO_INDIANA_2019, 1.3982710321744283, 12.020653200149535, 13.418924232323963, optimal
model6, MISO_INDIANA_2019, 0.2927964687347412, 4.165163850784301, 4.457960319519042, optimal
model3, MISO_INDIANA_2022, 0.8401115338007609, 4.1123935659726465, 4.952505099773408, optimal
model4, MISO_INDIANA_2022, 0.5847910682360331, 2.530312498410543, 3.1151035666465763, optimal
model5, MISO_INDIANA_2022, 0.8843252698580424, 10.262196850776672, 11.146522120634714, optimal
model6, MISO_INDIANA_2022, 0.36868684689203896, 0.8853642145792643, 1.2540510614713032, optimal
model3, MISO_LOUISIANA_2019, 23.548429318269093, 20.187394682566325, 43.73582400083542, optimal
model4, MISO_LOUISIANA_2019, 0.30328018267949425, 3.1744292537371317, 3.477709436416626, optimal
model5, MISO_LOUISIANA_2019, 1.3142018477121988, 18.051614598433176, 19.365816446145374, optimal
model6, MISO_LOUISIANA_2019, 0.31780333518981935, 4.369511294364929, 4.6873146295547485, optimal
model3, MISO_LOUISIANA_2022, 0.8863378286361694, 4.071444773674012, 4.957782602310181, optimal
model4, MISO_LOUISIANA_2022, 0.6175961017608642, 2.8669562141100564, 3.4845523158709204, optimal
model5, MISO_LOUISIANA_2022, 0.7284846663475036, 9.608013117313385, 10.336497783660889, optimal
model6, MISO_LOUISIANA_2022, 0.35172055164972943, 1.1077986677487692, 1.4595192193984987, optimal
model3, MISO_MINNESOTA_2019, 0.9617053985595703, 45.569960900147755, 46.53166629870733, optimal
model4, MISO_MINNESOTA_2019, 0.3613632361094157, 4.482296137015025, 4.84365937312444, optimal
model5, MISO_MINNESOTA_2019, 12.55829594930013, 40.262345862388614, 52.820641811688745, optimal
model6, MISO_MINNESOTA_2019, 0.2523446798324585, 1.8900420467058818, 2.1423867265383403, optimal
model3, MISO_MINNESOTA_2022, 1.0017433365186055, 3.1435410618782043, 4.14528439839681, optimal
model4, MISO_MINNESOTA_2022, 0.5870165665944417, 4.873191765944163, 5.460208332538604, optimal
model5, MISO_MINNESOTA_2022, 1.346390418211619, 14.029109632968902, 15.375500051180522, optimal
model6, MISO_MINNESOTA_2022, 0.2610939979553223, 2.3363718032836913, 2.5974658012390135, optimal
model3, PJM_WEST_2019, 2.0968745311101276, 32.35165696938832, 34.44853150049845, optimal
model4, PJM_WEST_2019, 0.31419984896977743, 5.376389785607656, 5.690589634577433, optimal
