,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,14.3768,-7605.357410203853,-659.6383232550305,5.0,2.39,1.0,-9483.488245772922,9483.488245772922,3138.0483456800653,5.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
1,15.1677,-8127.065360066257,-659.6383232550305,5.0,2.39,1.0,-10005.196195635326,10005.196195635326,3138.0483456800653,5.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
2,15.5406,-8373.044490808057,-659.6383232550305,5.0,2.39,1.0,-10251.175326377126,10251.175326377126,3138.0483456800653,5.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
3,16.0872,-8733.602798299256,-659.6383232550305,5.0,2.39,1.0,-10611.733633868327,10611.733633868327,3138.0483456800653,5.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
4,16.0891,-8734.85611111344,-659.6383232550305,5.0,2.39,1.0,-10612.986946682511,10612.986946682511,3138.0483456800653,5.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
5,17.0293,-9355.048062637821,-659.6383232550305,5.0,2.39,1.0,-11233.17889820689,11233.17889820689,3138.0483456800653,5.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
6,17.9819,-9983.419529370565,-659.6383232550305,5.0,2.39,1.0,-11861.550364939632,11861.550364939632,3138.0483456800653,5.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
7,18.1232,-10076.6264244465,-659.6383232550305,5.0,2.39,1.0,-11954.757260015569,11954.757260015569,3138.0483456800653,5.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
8,18.9722,-10636.65936089002,-659.6383232550305,5.0,2.39,1.0,-12514.790196459091,12514.790196459091,3138.0483456800653,5.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
9,20.1501,-9917.326311612167,650.0,0,2.39,1.0,13097.564999999999,-13097.564999999999,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
10,21.1117,-9292.286311612166,650.0,0,2.39,1.0,13722.605,-13722.605,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
11,21.5465,-9009.666311612167,650.0,0,2.39,1.0,14005.225,-14005.225,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
12,21.7985,-8845.866311612168,650.0,0,2.39,1.0,14169.025,-14169.025,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
13,21.866,-8801.991311612168,650.0,0,2.39,1.0,14212.9,-14212.9,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
14,22.2025,-8583.266311612166,650.0,0,2.39,1.0,14431.625,-14431.625,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
15,22.5699,-8344.456311612166,650.0,0,2.39,1.0,14670.435,-14670.435,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
16,23.66,-7635.891311612166,650.0,0,2.39,1.0,15379.0,-15379.0,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
17,31.1426,-2772.2013116121634,650.0,0,2.39,1.0,20242.690000000002,-20242.690000000002,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
18,32.0784,-2163.931311612163,650.0,0,2.39,1.0,20850.960000000003,-20850.960000000003,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
19,31.4373,-2580.6463116121668,650.0,0,2.39,1.0,20434.245,-20434.245,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
20,28.9857,-4174.186311612164,650.0,0,2.39,1.0,18840.705,-18840.705,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
21,26.9196,-5517.151311612168,650.0,0,2.39,1.0,17497.739999999998,-17497.739999999998,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
22,25.0723,-6717.896311612167,650.0,0,2.39,1.0,16296.994999999999,-16296.994999999999,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
23,22.5108,-8382.871311612165,650.0,0,2.39,1.0,14632.02,-14632.02,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
24,22.2335,-8563.116311612166,650.0,0,2.39,1.0,14451.775,-14451.775,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
25,21.5791,-8988.476311612165,650.0,0,2.39,1.0,14026.415,-14026.415,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
26,20.9937,-9368.986311612167,650.0,0,2.39,1.0,13645.905,-13645.905,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
27,20.8931,-9434.376311612166,650.0,0,2.39,1.0,13580.515,-13580.515,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
28,21.2096,-9228.651311612168,650.0,0,2.39,1.0,13786.239999999998,-13786.239999999998,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
29,22.0867,-8658.536311612166,650.0,0,2.39,1.0,14356.355,-14356.355,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
30,24.308,-7214.691311612165,650.0,0,2.39,1.0,15800.2,-15800.2,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
31,30.4524,-3220.8313116121644,650.0,0,2.39,1.0,19794.06,-19794.06,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
32,37.0994,1099.7186883878348,650.0,0,2.39,1.0,24114.61,-24114.61,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
33,45.424,6510.708688387833,650.0,0,2.39,1.0,29525.6,-29525.6,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
34,44.6503,6007.803688387834,650.0,0,2.39,1.0,29022.695,-29022.695,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
35,83.5184,31272.06868838783,650.0,0,2.39,1.0,54286.96,-54286.96,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
36,39.7981,2853.8736883878337,650.0,0,2.39,1.0,25868.765,-25868.765,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
37,39.5088,2665.8286883878354,650.0,0,2.39,1.0,25680.72,-25680.72,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
38,33.5167,-1229.0363116121662,650.0,0,2.39,1.0,21785.855,-21785.855,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
39,34.0587,-876.7363116121634,650.0,0,2.39,1.0,22138.155000000002,-22138.155000000002,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
40,36.8734,952.8186883878333,650.0,0,2.39,1.0,23967.71,-23967.71,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
41,74.1212,25163.888688387837,650.0,0,2.39,1.0,48178.78,-48178.78,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
42,56.6431,13803.123688387834,650.0,0,2.39,1.0,36818.015,-36818.015,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
43,41.2429,3792.9936883878327,650.0,0,2.39,1.0,26807.885,-26807.885,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
44,38.0848,1740.2286883878369,650.0,0,2.39,1.0,24755.120000000003,-24755.120000000003,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
45,32.0323,-2193.8963116121668,650.0,0,2.39,1.0,20820.995,-20820.995,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
46,28.686,-4368.991311612164,650.0,0,2.39,1.0,18645.9,-18645.9,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
47,25.9953,-6117.946311612166,650.0,0,2.39,1.0,16896.945,-16896.945,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
48,24.6134,-7016.181311612167,650.0,0,2.39,1.0,15998.71,-15998.71,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
49,22.3607,-8480.436311612164,650.0,0,2.39,1.0,14534.455000000002,-14534.455000000002,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
50,21.5113,-9032.546311612168,650.0,0,2.39,1.0,13982.345,-13982.345,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
51,21.4666,-9061.601311612169,650.0,0,2.39,1.0,13953.289999999999,-13953.289999999999,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
52,22.2755,-8535.816311612165,650.0,0,2.39,1.0,14479.075,-14479.075,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
53,23.625,-7658.641311612166,650.0,0,2.39,1.0,15356.25,-15356.25,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
54,25.3051,-6566.576311612167,650.0,0,2.39,1.0,16448.315,-16448.315,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
55,30.4126,-3246.7013116121634,650.0,0,2.39,1.0,19768.190000000002,-19768.190000000002,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
56,29.4335,-3883.116311612168,650.0,0,2.39,1.0,19131.774999999998,-19131.774999999998,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
