,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,54.53,15020.42886967124,712.0,0,1.69,1.0,38825.36,-38825.36,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
1,0.0,-3845.9773366733434,-325.4506850069712,5.0,1.69,1.0,-0.0,0.0,11121.255023691974,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
2,0.0,-3845.9773366733434,-325.4506850069712,5.0,1.69,1.0,-0.0,0.0,11121.255023691974,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
3,0.0,-3845.9773366733443,-325.45068500697124,5.0,1.69,1.0,-0.0,0.0,11121.255023691976,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
4,0.0,-3845.9773366733434,-325.4506850069712,5.0,1.69,1.0,-0.0,0.0,11121.255023691974,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
5,0.0,-3845.9773366733434,-325.4506850069712,5.0,1.69,1.0,-0.0,0.0,11121.255023691974,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
6,0.0,-3845.9773366733434,-325.4506850069712,5.0,1.69,1.0,-0.0,0.0,11121.255023691974,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
7,0.0,-3845.9773366733434,-325.4506850069712,5.0,1.69,1.0,-0.0,0.0,11121.255023691974,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
8,0.0,-3845.9773366733434,-325.4506850069712,5.0,1.69,1.0,-0.0,0.0,11121.255023691974,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
9,0.0,-3845.9773366733443,-325.45068500697124,5.0,1.69,1.0,-0.0,0.0,11121.255023691976,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
10,0.0,-3845.9773366733434,-325.4506850069712,5.0,1.69,1.0,-0.0,0.0,11121.255023691974,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
11,0.0,-3845.9773366733434,-325.4506850069712,5.0,1.69,1.0,-0.0,0.0,11121.255023691974,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
12,0.0,-3845.9773366733434,-325.4506850069712,5.0,1.69,1.0,-0.0,0.0,11121.255023691974,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
13,0.0,-3845.9773366733434,-325.4506850069712,5.0,1.69,1.0,-0.0,0.0,11121.255023691974,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
14,0.0,-3845.9773366733434,-325.4506850069712,5.0,1.69,1.0,-0.0,0.0,11121.255023691974,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
15,0.0,-3845.9773366733434,-325.4506850069712,5.0,1.69,1.0,-0.0,0.0,11121.255023691974,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
16,0.0,-3845.9773366733434,-325.4506850069712,5.0,1.69,1.0,-0.0,0.0,11121.255023691974,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
17,0.0,-3845.9773366733434,-325.4506850069712,5.0,1.69,1.0,-0.0,0.0,11121.255023691974,5.0,711.312677466916,16882.420091324202,0,0,1,0,0,0
18,0.06,-3865.4728370417424,-324.39883771574387,5.0,1.69,1.0,-19.463930262944633,19.463930262944633,11124.76005923673,5.0,710.0040869229049,16882.420091324202,0,0,1,0,0,0
19,0.06,-3865.47283704174,-324.39883771574375,5.0,1.69,1.0,-19.463930262944626,19.463930262944626,11124.760059236727,5.0,710.0040869229047,16882.420091324202,0,0,1,0,0,0
