,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,46.6840001,4765.070392188896,712.0,0,2.94,1.0,33239.0080712,-33239.0080712,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
1,54.20200003,10117.886342348898,712.0,0,2.94,1.0,38591.82402136,-38591.82402136,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
2,147.7686507,76737.34161938888,712.0,0,2.94,1.0,105211.2792984,-105211.2792984,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
3,54.20200125,10117.887210988902,712.0,0,2.94,1.0,38591.82489,-38591.82489,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
4,54.20200009,10117.886385068898,712.0,0,2.94,1.0,38591.82406408,-38591.82406408,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
5,54.20199989,10117.886242668897,712.0,0,2.94,1.0,38591.82392168,-38591.82392168,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
6,54.20199993,10117.886271148895,712.0,0,2.94,1.0,38591.82395016,-38591.82395016,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
7,54.202,10117.886320988899,712.0,0,2.94,1.0,38591.824,-38591.824,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
8,54.20200001,10117.886328108896,712.0,0,2.94,1.0,38591.82400712,-38591.82400712,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
9,54.20200055,10117.886712588897,712.0,0,2.94,1.0,38591.8243916,-38591.8243916,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
10,46.68400085,4765.070926188895,712.0,0,2.94,1.0,33239.0086052,-33239.0086052,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
11,40.64911376,468.2313181088971,712.0,0,2.94,1.0,28942.16899712,-28942.16899712,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
12,9.193999851,-9565.719253785815,-218.56337070868574,5.0,2.94,1.0,-2009.4715977297142,2009.4715977297142,12074.683208110802,5.0,642.2509511921344,16882.420091324202,0,0,1,0,0,0
13,9.194000064,-9565.719300339817,-218.5633674109131,5.0,2.94,1.0,-2009.4716139639906,2009.4716139639906,12074.683254211972,5.0,642.2509508472788,16882.420091324202,0,0,1,0,0,0
14,9.194000064,-9565.719300339817,-218.5633674109131,5.0,2.94,1.0,-2009.4716139639906,2009.4716139639906,12074.683254211972,5.0,642.2509508472788,16882.420091324202,0,0,1,0,0,0
15,39.3156887,-481.16732461109905,712.0,0,2.94,1.0,27992.770354400003,-27992.770354400003,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
16,46.68399992,4765.070264028898,712.0,0,2.94,1.0,33239.00794304,-33239.00794304,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
17,46.68400009,4765.070385068899,712.0,0,2.94,1.0,33239.00806408,-33239.00806408,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
18,54.20200005,10117.8863565889,712.0,0,2.94,1.0,38591.8240356,-38591.8240356,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
19,55.9800003,11383.822534588897,712.0,0,2.94,1.0,39857.7602136,-39857.7602136,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
20,55.98000038,11383.822591548898,712.0,0,2.94,1.0,39857.76027056,-39857.76027056,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
21,55.98000048,11383.822662748902,712.0,0,2.94,1.0,39857.760341760004,-39857.760341760004,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
22,166.3443755,89963.25767698891,712.0,0,2.94,1.0,118437.19535600001,-118437.19535600001,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
23,55.98000056,11383.822719708896,712.0,0,2.94,1.0,39857.76039872,-39857.76039872,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
24,55.98000014,11383.822420668901,712.0,0,2.94,1.0,39857.76009968,-39857.76009968,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
25,55.98000021,11383.822470508898,712.0,0,2.94,1.0,39857.76014952,-39857.76014952,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
26,55.98000032,11383.822548828899,712.0,0,2.94,1.0,39857.76022784,-39857.76022784,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
27,55.98000024,11383.822491868897,712.0,0,2.94,1.0,39857.76017088,-39857.76017088,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
