,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,61.7929,-1397.8726114359092,712.0,0,7.47,1.5,43996.5448,-43996.5448,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
1,58.1359,-4001.656611435916,712.0,0,7.47,1.5,41392.7608,-41392.7608,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
2,61.494,-1610.6894114359097,712.0,0,7.47,1.5,43783.728,-43783.728,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
3,68.3642,3280.8929885640823,712.0,0,7.47,1.5,48675.310399999995,-48675.310399999995,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
4,67.8964,2947.8193885640862,712.0,0,7.47,1.5,48342.2368,-48342.2368,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
5,80.9742,12259.212988564082,712.0,0,7.47,1.5,57653.630399999995,-57653.630399999995,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
6,91.5417,19783.272988564095,712.0,0,7.47,1.5,65177.69040000001,-65177.69040000001,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
7,88.9712,17953.076988564084,712.0,0,7.47,1.5,63347.494399999996,-63347.494399999996,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
8,56.8312,-4930.603011435909,712.0,0,7.47,1.5,40463.8144,-40463.8144,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
9,50.901,-9152.90541143591,712.0,0,7.47,1.5,36241.512,-36241.512,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
10,51.5764,-8672.02061143591,712.0,0,7.47,1.5,36722.3968,-36722.3968,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
11,28.2196,-17022.668817676986,-185.25396859253215,5.0,7.47,1.5,-5227.79289209382,5227.79289209382,12584.825384858947,7.5,643.5314847349061,16882.420091324202,0,0,1,0,0,0
