,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,26.81243075,-8249.606375560365,-659.6383232550305,5.0,4.42,1.5,-17686.50686232162,17686.50686232162,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
1,26.74570229,-8205.589726092574,-659.6383232550305,5.0,4.42,1.5,-17642.49021285383,17642.49021285383,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
2,29.75779866,-10192.483925081935,-659.6383232550305,5.0,4.42,1.5,-19629.38441184319,19629.38441184319,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
3,29.80724006,-10225.097367277318,-659.6383232550305,5.0,4.42,1.5,-19661.997854038575,19661.997854038575,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
4,30.05785597,-10390.413225930752,-659.6383232550305,5.0,4.42,1.5,-19827.31371269201,19827.31371269201,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
5,30.41020048,-10170.456663641777,650.0,0,4.42,1.5,19766.630312,-19766.630312,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
6,30.73743074,-9957.756994641779,650.0,0,4.42,1.5,19979.329981,-19979.329981,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
7,30.97004283,-9806.55913614178,650.0,0,4.42,1.5,20130.5278395,-20130.5278395,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
8,30.82803651,-9898.863244141776,650.0,0,4.42,1.5,20038.223731500002,-20038.223731500002,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
9,27.7023539,-8836.633790052198,-659.6383232550305,5.0,4.42,1.5,-18273.534276813454,18273.534276813454,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
10,19.06684783,-3140.323045578761,-659.6383232550305,5.0,4.42,1.5,-12577.223532340018,12577.223532340018,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
