,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,18.42199959,-1664.2072139707266,-659.6383232550305,5.0,2.94,1.5,-12151.856920552458,12151.856920552458,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
1,26.69300035,-7120.076286938209,-659.6383232550305,5.0,2.94,1.5,-17607.72599351994,17607.72599351994,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
2,26.69299951,-7120.075732842019,-659.6383232550305,5.0,2.94,1.5,-17607.72543942375,17607.72543942375,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
3,26.6930004,-7120.076319920125,-659.6383232550305,5.0,2.94,1.5,-17607.72602650186,17607.72602650186,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
4,26.6929991,-7120.0754623903085,-659.6383232550305,5.0,2.94,1.5,-17607.72516897204,17607.72516897204,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
5,26.69300044,-7120.076346305657,-659.6383232550305,5.0,2.94,1.5,-17607.726052887392,17607.726052887392,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
6,26.69299939,-7120.075653685421,-659.6383232550305,5.0,2.94,1.5,-17607.72536026715,17607.72536026715,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
7,26.69300054,-7120.076412269493,-659.6383232550305,5.0,2.94,1.5,-17607.726118851224,17607.726118851224,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
8,26.69300001,-7120.076062661181,-659.6383232550305,5.0,2.94,1.5,-17607.725769242912,17607.725769242912,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
9,26.6930005,-7120.07638588396,-659.6383232550305,5.0,2.94,1.5,-17607.72609246569,17607.72609246569,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
10,26.6929999,-7120.075990100966,-659.6383232550305,5.0,2.94,1.5,-17607.725696682697,17607.725696682697,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
11,26.69300021,-7120.076194588848,-659.6383232550305,5.0,2.94,1.5,-17607.72590117058,17607.72590117058,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
12,26.69300041,-7120.0763265165115,-659.6383232550305,5.0,2.94,1.5,-17607.726033098243,17607.726033098243,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
13,26.69300027,-7120.076234167143,-659.6383232550305,5.0,2.94,1.5,-17607.725940748875,17607.725940748875,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
14,26.69300052,-7120.076399076726,-659.6383232550305,5.0,2.94,1.5,-17607.726105658458,17607.726105658458,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
15,26.69300048,-7120.07637269119,-659.6383232550305,5.0,2.94,1.5,-17607.726079272925,17607.726079272925,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
16,26.69300046,-7120.076359498427,-659.6383232550305,5.0,2.94,1.5,-17607.72606608016,17607.72606608016,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
17,26.69300038,-7120.076306727362,-659.6383232550305,5.0,2.94,1.5,-17607.726013309093,17607.726013309093,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
18,26.69300062,-7120.076465040558,-659.6383232550305,5.0,2.94,1.5,-17607.72617162229,17607.72617162229,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
19,26.6930006,-7120.076451847792,-659.6383232550305,5.0,2.94,1.5,-17607.726158429523,17607.726158429523,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
20,26.69299764,-7120.074499318358,-659.6383232550305,5.0,2.94,1.5,-17607.72420590009,17607.72420590009,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
21,26.69300047,-7120.0763660948105,-659.6383232550305,5.0,2.94,1.5,-17607.72607267654,17607.72607267654,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
22,26.69299782,-7120.0746180532515,-659.6383232550305,5.0,2.94,1.5,-17607.724324634983,17607.724324634983,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
23,26.69300042,-7120.076333112895,-659.6383232550305,5.0,2.94,1.5,-17607.726039694626,17607.726039694626,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
24,26.6929981,-7120.074802751984,-659.6383232550305,5.0,2.94,1.5,-17607.724509333715,17607.724509333715,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
25,26.69300048,-7120.07637269119,-659.6383232550305,5.0,2.94,1.5,-17607.726079272925,17607.726079272925,3138.0483456800653,7.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
