,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,1.25e-07,19202.758824130964,-719.926451735275,5.0,2.94,1.5,-8.999080646690938e-05,8.999080646690938e-05,0.0,7.5,130.57441921156305,7666.666666666666,0,1,0,0,0,0
1,3.3e-07,19202.758676546044,-719.926451735275,5.0,2.94,1.5,-0.00023757572907264076,0.00023757572907264076,0.0,7.5,130.57441921156305,7666.666666666666,0,1,0,0,0,0
2,4.91e-06,19202.755379282895,-719.926451735275,5.0,2.94,1.5,-0.0035348388780202,0.0035348388780202,0.0,7.5,130.57441921156305,7666.666666666666,0,1,0,0,0,0
3,18.38799459,5964.755214415638,-719.926451735275,5.0,2.94,1.5,-13238.003699706134,13238.003699706134,0.0,7.5,130.57441921156305,7666.666666666666,0,1,0,0,0,0
4,35.37373905,-6263.731524754265,-719.926451735275,5.0,2.94,1.5,-25466.490438876037,25466.490438876037,0.0,7.5,130.57441921156305,7666.666666666666,0,1,0,0,0,0
5,46.68399429,-9144.270131796602,-139.1597779405625,1.0,2.94,1.5,-6496.534278774888,6496.534278774888,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
6,46.68399967,-9144.270880476208,-139.1597779405625,1.0,2.94,1.5,-6496.535027454493,6496.535027454493,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
7,46.68399998,-9144.270923615739,-139.1597779405625,1.0,2.94,1.5,-6496.535070594025,6496.535070594025,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
8,46.68400084,-9144.271043293149,-139.1597779405625,1.0,2.94,1.5,-6496.535190271433,6496.535190271433,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
9,46.68400037,-9144.270977888053,-139.1597779405625,1.0,2.94,1.5,-6496.535124866337,6496.535124866337,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
10,46.68400144,-9144.271126789015,-139.1597779405625,1.0,2.94,1.5,-6496.5352737673,6496.5352737673,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
11,46.68399981,-9144.270899958578,-139.1597779405625,1.0,2.94,1.5,-6496.535046936862,6496.535046936862,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
12,46.68400223,-9144.271236725239,-139.1597779405625,1.0,2.94,1.5,-6496.535383703524,6496.535383703524,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
13,46.68400031,-9144.270969538466,-139.1597779405625,1.0,2.94,1.5,-6496.53511651675,6496.53511651675,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
14,46.68400067,-9144.271019635988,-139.1597779405625,1.0,2.94,1.5,-6496.5351666142715,6496.5351666142715,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
15,46.68400054,-9144.271001545214,-139.1597779405625,1.0,2.94,1.5,-6496.5351485235,6496.5351485235,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
16,46.68400224,-9144.271238116839,-139.1597779405625,1.0,2.94,1.5,-6496.5353850951215,6496.5353850951215,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
17,46.68399998,-9144.270923615739,-139.1597779405625,1.0,2.94,1.5,-6496.535070594025,6496.535070594025,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
18,46.68400154,-9144.271140704992,-139.1597779405625,1.0,2.94,1.5,-6496.535287683277,6496.535287683277,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
19,46.683999,-9144.270787239157,-139.1597779405625,1.0,2.94,1.5,-6496.534934217441,6496.534934217441,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
20,46.68400214,-9144.27122420086,-139.1597779405625,1.0,2.94,1.5,-6496.535371179144,6496.535371179144,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
21,46.68400008,-9144.270937531717,-139.1597779405625,1.0,2.94,1.5,-6496.535084510001,6496.535084510001,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
22,46.68400126,-9144.271101740254,-139.1597779405625,1.0,2.94,1.5,-6496.53524871854,6496.53524871854,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
23,46.68400038,-9144.27097927965,-139.1597779405625,1.0,2.94,1.5,-6496.535126257935,6496.535126257935,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
24,46.68400021,-9144.270955622487,-139.1597779405625,1.0,2.94,1.5,-6496.535102600773,6496.535102600773,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
25,46.68399998,-9144.270923615739,-139.1597779405625,1.0,2.94,1.5,-6496.535070594025,6496.535070594025,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
26,46.68400009,-9144.270938923313,-139.1597779405625,1.0,2.94,1.5,-6496.535085901599,6496.535085901599,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
27,46.68400018,-9144.270951447696,-139.1597779405625,1.0,2.94,1.5,-6496.535098425979,6496.535098425979,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
28,46.68400357,-9144.271423199341,-139.1597779405625,1.0,2.94,1.5,-6496.535570177627,6496.535570177627,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
29,46.68400032,-9144.270970930063,-139.1597779405625,1.0,2.94,1.5,-6496.535117908349,6496.535117908349,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
30,46.68400129,-9144.271105915048,-139.1597779405625,1.0,2.94,1.5,-6496.535252893333,6496.535252893333,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
31,46.68400073,-9144.271027985573,-139.1597779405625,1.0,2.94,1.5,-6496.535174963858,6496.535174963858,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
32,46.68400274,-9144.271307696727,-139.1597779405625,1.0,2.94,1.5,-6496.53545467501,6496.53545467501,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
33,46.68400027,-9144.270963972074,-139.1597779405625,1.0,2.94,1.5,-6496.535110950359,6496.535110950359,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
34,54.20200132,-10190.47432064699,-139.1597779405625,1.0,2.94,1.5,-7542.738467625275,7542.738467625275,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
35,54.20200045,-10190.474199577984,-139.1597779405625,1.0,2.94,1.5,-7542.738346556268,7542.738346556268,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
36,54.20200459,-10190.474775699464,-139.1597779405625,1.0,2.94,1.5,-7542.7389226777495,7542.7389226777495,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
37,111.7883305,-18204.175101747922,-139.1597779405625,1.0,2.94,1.5,-15556.439248726208,15556.439248726208,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
38,98.01565782,-16287.573029951072,-139.1597779405625,1.0,2.94,1.5,-13639.837176929357,13639.837176929357,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
39,54.20200419,-10190.474720035552,-139.1597779405625,1.0,2.94,1.5,-7542.738867013837,7542.738867013837,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
40,54.20200181,-10190.474388835282,-139.1597779405625,1.0,2.94,1.5,-7542.738535813566,7542.738535813566,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
41,54.20200064,-10190.474226018341,-139.1597779405625,1.0,2.94,1.5,-7542.738372996626,7542.738372996626,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
42,46.68400212,-9144.271221417664,-139.1597779405625,1.0,2.94,1.5,-6496.535368395949,6496.535368395949,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
43,46.68400025,-9144.270961188879,-139.1597779405625,1.0,2.94,1.5,-6496.535108167163,6496.535108167163,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
44,46.68400171,-9144.271164362155,-139.1597779405625,1.0,2.94,1.5,-6496.535311340439,6496.535311340439,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
45,40.64911542,-8304.45772834921,-139.1597779405625,1.0,2.94,1.5,-5656.721875327495,5656.721875327495,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
46,40.64911781,-8304.458060941079,-139.1597779405625,1.0,2.94,1.5,-5656.722207919364,5656.722207919364,0.0,1.5,381.0691863550488,7666.666666666666,0,1,0,0,0,0
