,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,17.62399956,-1692.5374698619034,1.493512888888857,5.0,2.94,1.5,26.321670496631544,-26.321670496631544,16626.32953221508,7.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
1,21.22599997,-1687.1578358237875,1.493512888888857,5.0,2.94,1.5,31.70130453474949,-31.70130453474949,16626.32953221508,7.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
2,26.693,-1678.9928008154257,1.493512888888857,5.0,2.94,1.5,39.86633954311026,-39.86633954311026,16626.32953221508,7.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
3,26.693,-1678.9928008154257,1.493512888888857,5.0,2.94,1.5,39.86633954311026,-39.86633954311026,16626.32953221508,7.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
4,26.693,-1678.9928008154257,1.493512888888857,5.0,2.94,1.5,39.86633954311026,-39.86633954311026,16626.32953221508,7.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
5,26.693,-1678.9928008154257,1.493512888888857,5.0,2.94,1.5,39.86633954311026,-39.86633954311026,16626.32953221508,7.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
6,26.693,-1678.9928008154257,1.493512888888857,5.0,2.94,1.5,39.86633954311026,-39.86633954311026,16626.32953221508,7.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
7,26.693,-1678.9928008154257,1.493512888888857,5.0,2.94,1.5,39.86633954311026,-39.86633954311026,16626.32953221508,7.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
8,26.693,-1678.9928008154257,1.493512888888857,5.0,2.94,1.5,39.86633954311026,-39.86633954311026,16626.32953221508,7.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
9,26.693,-1678.9928008154257,1.493512888888857,5.0,2.94,1.5,39.86633954311026,-39.86633954311026,16626.32953221508,7.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
10,26.693,-1678.9928008154257,1.493512888888857,5.0,2.94,1.5,39.86633954311026,-39.86633954311026,16626.32953221508,7.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
11,26.69300001,-1678.9928008004918,1.493512888888857,5.0,2.94,1.5,39.86633955804538,-39.86633955804538,16626.32953221508,7.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
