,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,3.0,-19658.01359687561,-57.12649440525639,5.0,3.73,1.5,-171.37948321576917,171.37948321576917,20569.84665163058,7.5,3849.3785563988736,25278.538812785388,0,0,1,0,0,0
1,19.06,-20575.46509702403,-57.12649440525639,5.0,3.73,1.5,-1088.8309833641867,1088.8309833641867,20569.84665163058,7.5,3849.3785563988736,25278.538812785388,0,0,1,0,0,0
2,8.45,-19969.352991384258,-57.12649440525639,5.0,3.73,1.5,-482.7188777244164,482.7188777244164,20569.84665163058,7.5,3849.3785563988736,25278.538812785388,0,0,1,0,0,0
3,12.41,-20195.573909229075,-57.12649440525639,5.0,3.73,1.5,-708.9397955692318,708.9397955692318,20569.84665163058,7.5,3849.3785563988736,25278.538812785388,0,0,1,0,0,0
4,18.34,-20534.334021052244,-57.12649440525639,5.0,3.73,1.5,-1047.699907392402,1047.699907392402,20569.84665163058,7.5,3849.3785563988736,25278.538812785388,0,0,1,0,0,0
5,18.67,-20553.18576420598,-57.12649440525639,5.0,3.73,1.5,-1066.551650546137,1066.551650546137,20569.84665163058,7.5,3849.3785563988736,25278.538812785388,0,0,1,0,0,0
6,19.7,-20612.02605344339,-57.12649440525639,5.0,3.73,1.5,-1125.3919397835507,1125.3919397835507,20569.84665163058,7.5,3849.3785563988736,25278.538812785388,0,0,1,0,0,0
7,19.71,-20612.597318387445,-57.12649440525639,5.0,3.73,1.5,-1125.9632047276034,1125.9632047276034,20569.84665163058,7.5,3849.3785563988736,25278.538812785388,0,0,1,0,0,0
8,20.25,-20643.361816372075,-55.48952796035376,5.0,3.73,1.5,-1123.6629411971637,1123.6629411971637,20602.201388496986,7.5,3855.1394336352805,25278.538812785388,0,0,1,0,0,0
9,21.39,-20706.14274044885,-55.06606607403103,5.0,3.73,1.5,-1177.8631533235236,1177.8631533235236,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
10,22.12,-20746.340968682893,-55.06606607403103,5.0,3.73,1.5,-1218.0613815575664,1218.0613815575664,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
11,23.23,-20807.464302025066,-55.06606607403103,5.0,3.73,1.5,-1279.1847148997408,1279.1847148997408,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
12,23.95,-20847.111869598368,-55.06606607403103,5.0,3.73,1.5,-1318.832282473043,1318.832282473043,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
13,25.56,-20935.768235977557,-55.06606607403103,5.0,3.73,1.5,-1407.488648852233,1407.488648852233,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
14,25.26,-20919.24841615535,-55.06606607403103,5.0,3.73,1.5,-1390.968829030024,1390.968829030024,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
15,26.1,-20965.503911657535,-55.06606607403103,5.0,3.73,1.5,-1437.22432453221,1437.22432453221,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
16,27.15,-21023.323281035267,-55.06606607403103,5.0,3.73,1.5,-1495.0436939099422,1495.0436939099422,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
17,33.41,-21359.46318723522,-39.258363775817735,4.888012906636387,3.73,1.5,-1311.6219337500704,1311.6219337500704,20531.348363819317,7.332019359954581,3838.3437661638427,25278.538812785388,0,0,1,0,0,0
18,26.58,-20991.93562337307,-55.06606607403103,5.0,3.73,1.5,-1463.6560362477446,1463.6560362477446,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
19,33.92,-21377.48329003413,-31.334886724700834,4.831880323446978,3.73,1.5,-1062.8793577018523,1062.8793577018523,20497.827772748617,7.247820485170466,3830.2782344066513,25278.538812785388,0,0,1,0,0,0
20,37.33,-21374.603358512988,40.179836391828744,4.325245910460282,3.73,1.5,1499.9132925069669,-1499.9132925069669,20344.25892950021,6.487868865690423,3783.9605495083742,25278.538812785388,0,0,1,0,0,0
21,23.14,-20802.508356078404,-55.06606607403103,5.0,3.73,1.5,-1274.228768953078,1274.228768953078,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
22,22.59,-20772.22201973769,-55.06606607403103,5.0,3.73,1.5,-1243.942432612361,1243.942432612361,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
23,23.51,-20822.882800525796,-55.06606607403103,5.0,3.73,1.5,-1294.6032134004695,1294.6032134004695,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
