,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,22.12593441,-17062.87311567361,-55.06606607403103,5.0,2.94,1.5,-1218.3881661707367,1218.3881661707367,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
1,31.69199969,-17589.638698450584,-55.06606607403103,5.0,2.94,1.5,-1745.1537489477107,1745.1537489477107,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
2,31.79585084,-17595.35737273835,-55.06606607403103,5.0,2.94,1.5,-1750.872423235475,1750.872423235475,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
3,31.79585082,-17595.357371637027,-55.06606607403103,5.0,2.94,1.5,-1750.8724221341536,1750.8724221341536,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
4,31.69200004,-17589.638717723705,-55.06606607403103,5.0,2.94,1.5,-1745.153768220834,1745.153768220834,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
5,31.58815024,-17583.92011777513,-55.06606607403103,5.0,2.94,1.5,-1739.435168272259,1739.435168272259,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
6,23.84548936,-17157.562242168235,-55.06606607403103,5.0,2.94,1.5,-1313.0772926653638,1313.0772926653638,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
7,23.84549003,-17157.562279062502,-55.06606607403103,5.0,2.94,1.5,-1313.0773295596282,1313.0773295596282,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
8,23.84548952,-17157.562250978808,-55.06606607403103,5.0,2.94,1.5,-1313.0773014759345,1313.0773014759345,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
9,31.69200127,-17589.63878545497,-55.06606607403103,5.0,2.94,1.5,-1745.1538359520953,1745.1538359520953,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
10,21.79449062,-17044.62181003364,-55.06606607403103,5.0,2.94,1.5,-1200.1368605307696,1200.1368605307696,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
11,20.10100052,-16951.367972291326,-55.06606607403103,5.0,2.94,1.5,-1106.883022788452,1106.883022788452,20610.59784593826,7.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
