,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,35.1101,2926.0692010510907,-719.926451735275,5.0,3.87,2.0,-25276.689713070682,25276.689713070682,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
1,31.8735,5256.183154737486,-719.926451735275,5.0,3.87,2.0,-22946.575759384286,22946.575759384286,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
2,34.1083,3647.2915203994894,-719.926451735275,5.0,3.87,2.0,-24555.46739372228,24555.46739372228,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
3,34.5634,3319.652992214768,-719.926451735275,5.0,3.87,2.0,-24883.105921907005,24883.105921907005,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
4,34.852,3111.8822182439694,-719.926451735275,5.0,3.87,2.0,-25090.876695877803,25090.876695877803,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
5,34.734,3196.8335395487306,-719.926451735275,5.0,3.87,2.0,-25005.925374573042,25005.925374573042,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
6,36.928,1617.3149044415409,-719.926451735275,5.0,3.87,2.0,-26585.444009680232,26585.444009680232,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
7,33.1018,4371.897494071047,-719.926451735275,5.0,3.87,2.0,-23830.861420050725,23830.861420050725,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
8,27.7826,8201.330276141322,-719.926451735275,5.0,3.87,2.0,-20001.42863798045,20001.42863798045,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
9,18.0928,15177.273608165788,-719.926451735275,5.0,3.87,2.0,-13025.485305955985,13025.485305955985,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
10,19.4796,14178.879604899308,-719.926451735275,5.0,3.87,2.0,-14023.879309222464,14023.879309222464,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
11,16.8287,16087.33263580435,-719.926451735275,5.0,3.87,2.0,-12115.426278317424,12115.426278317424,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
12,3.591,25617.5030259404,-719.926451735275,5.0,3.87,2.0,-2585.2558881813725,2585.2558881813725,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
13,13.5661,18436.164677235858,-719.926451735275,5.0,3.87,2.0,-9766.594236885914,9766.594236885914,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
14,12.9089,18909.300341316284,-719.926451735275,5.0,3.87,2.0,-9293.458572805492,9293.458572805492,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
15,29.3415,7079.0369305312015,-719.926451735275,5.0,3.87,2.0,-21123.72198359057,21123.72198359057,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
16,53.509,-8294.036410843273,-139.1597779405625,1.0,3.87,2.0,-7446.300557821559,7446.300557821559,0.0,2.0,381.0691863550488,7666.666666666666,0,1,0,0,0,0
17,53.9529,-8355.809436271089,-139.1597779405625,1.0,3.87,2.0,-7508.073583249374,7508.073583249374,0.0,2.0,381.0691863550488,7666.666666666666,0,1,0,0,0,0
18,45.3967,-4479.5262373689875,-719.926451735275,5.0,3.87,2.0,-32682.28515149076,32682.28515149076,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
19,43.0923,-2820.5277219902196,-719.926451735275,5.0,3.87,2.0,-31023.286636111992,31023.286636111992,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
20,48.3129,-6578.975755919393,-719.926451735275,5.0,3.87,2.0,-34781.734670041165,34781.734670041165,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
21,55.3448,-8549.505931186557,-139.1597779405625,1.0,3.87,2.0,-7701.770078164843,7701.770078164843,0.0,2.0,381.0691863550488,7666.666666666666,0,1,0,0,0,0
22,44.7682,-4027.0524624533678,-719.926451735275,5.0,3.87,2.0,-32229.81137657514,32229.81137657514,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
23,43.7788,-3314.757231106479,-719.926451735275,5.0,3.87,2.0,-31517.516145228255,31517.516145228255,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
24,37.7413,1031.7987212452358,-719.926451735275,5.0,3.87,2.0,-27170.960192876537,27170.960192876537,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
25,35.3932,2722.2580225648385,-719.926451735275,5.0,3.87,2.0,-25480.500891556934,25480.500891556934,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
26,41.5151,-1685.0597223133404,-719.926451735275,5.0,3.87,2.0,-29887.818636435113,29887.818636435113,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
27,40.628,-1046.4129669789831,-719.926451735275,5.0,3.87,2.0,-29249.171881100752,29249.171881100752,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
28,43.3189,-2983.663055953431,-719.926451735275,5.0,3.87,2.0,-31186.421970075204,31186.421970075204,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
29,51.0544,-7952.454819910369,-139.1597779405625,1.0,3.87,2.0,-7104.718966888654,7104.718966888654,0.0,2.0,381.0691863550488,7666.666666666666,0,1,0,0,0,0
30,58.278,-8957.689391841815,-139.1597779405625,1.0,3.87,2.0,-8109.953538820101,8109.953538820101,0.0,2.0,381.0691863550488,7666.666666666666,0,1,0,0,0,0
31,43.2256,-2916.49391800653,-719.926451735275,5.0,3.87,2.0,-31119.252832128303,31119.252832128303,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
32,35.277,2805.913476256476,-719.926451735275,5.0,3.87,2.0,-25396.845437865297,25396.845437865297,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
33,32.3201,4934.66400139251,-719.926451735275,5.0,3.87,2.0,-23268.09491272926,23268.09491272926,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
