,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,59.9948,-24755.389955599614,650.0,0,7.47,2.0,38996.619999999995,-38996.619999999995,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
1,58.1359,-25963.67495559961,650.0,0,7.47,2.0,37788.335,-37788.335,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
2,59.9581,-24779.24495559961,650.0,0,7.47,2.0,38972.765,-38972.765,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
3,65.8373,-20957.764955599607,650.0,0,7.47,2.0,42794.245,-42794.245,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
4,65.1528,-21402.68995559961,650.0,0,7.47,2.0,42349.32,-42349.32,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
5,78.1992,-12922.529955599606,650.0,0,7.47,2.0,50829.48,-50829.48,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
6,88.8268,-6014.589955599604,650.0,0,7.47,2.0,57737.420000000006,-57737.420000000006,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
7,83.5508,-9443.989955599613,650.0,0,7.47,2.0,54308.02,-54308.02,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
8,52.1768,-29837.08995559961,650.0,0,7.47,2.0,33914.92,-33914.92,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
9,38.6778,-30097.850516394312,-55.06606607403103,5.0,7.47,2.0,-2129.834290398157,2129.834290398157,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
10,17.5206,-28920.139473824092,-74.2,3.959128130782077,7.47,2.0,-1300.02852,1300.02852,16433.4545980057,7.918256261564154,3074.0128168093474,25278.538812785388,0,0,1,0,0,0
11,12.9024,-28577.469033824094,-74.2,3.959128130782077,7.47,2.0,-957.3580800000001,957.3580800000001,16433.4545980057,7.918256261564154,3074.0128168093474,25278.538812785388,0,0,1,0,0,0
12,14.2873,-28680.228613824092,-74.2,3.959128130782077,7.47,2.0,-1060.1176600000001,1060.1176600000001,16433.4545980057,7.918256261564154,3074.0128168093474,25278.538812785388,0,0,1,0,0,0
13,13.5103,-28622.575213824093,-74.2,3.959128130782077,7.47,2.0,-1002.4642600000001,1002.4642600000001,16433.4545980057,7.918256261564154,3074.0128168093474,25278.538812785388,0,0,1,0,0,0
14,14.2468,-28677.223513824094,-74.2,3.959128130782077,7.47,2.0,-1057.11256,1057.11256,16433.4545980057,7.918256261564154,3074.0128168093474,25278.538812785388,0,0,1,0,0,0
15,35.3584,-29911.79041251069,-57.12649440525638,5.0,7.47,2.0,-2019.9014397788173,2019.9014397788173,20569.84665163058,10.0,3849.3785563988736,25278.538812785388,0,0,1,0,0,0
16,76.6469,-13931.524955599609,650.0,0,7.47,2.0,49820.485,-49820.485,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
17,102.4949,2869.675044400388,650.0,0,7.47,2.0,66621.685,-66621.685,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
18,90.9726,-4619.819955599607,650.0,0,7.47,2.0,59132.19,-59132.19,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
19,90.0788,-5200.789955599608,650.0,0,7.47,2.0,58551.22,-58551.22,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
20,79.5431,-12048.99495559961,650.0,0,7.47,2.0,51703.015,-51703.015,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
21,79.4965,-12079.28495559961,650.0,0,7.47,2.0,51672.725,-51672.725,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
22,78.1829,-12933.124955599607,650.0,0,7.47,2.0,50818.885,-50818.885,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
23,74.0849,-15596.824955599604,650.0,0,7.47,2.0,48155.185000000005,-48155.185000000005,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
24,64.6341,-21739.84495559961,650.0,0,7.47,2.0,42012.165,-42012.165,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
25,67.32,-19994.009955599617,650.0,0,7.47,2.0,43757.99999999999,-43757.99999999999,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
26,63.667,-22368.459955599606,650.0,0,7.47,2.0,41383.55,-41383.55,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
27,61.6601,-23672.944955599607,650.0,0,7.47,2.0,40079.065,-40079.065,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
28,62.3995,-23192.334955599606,650.0,0,7.47,2.0,40559.675,-40559.675,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
29,64.2659,-21979.17495559961,650.0,0,7.47,2.0,41772.835,-41772.835,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
30,98.9338,554.9600444003913,650.0,0,7.47,2.0,64306.97,-64306.97,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
31,78.543,-12699.059955599605,650.0,0,7.47,2.0,51052.950000000004,-51052.950000000004,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
32,56.9413,-26740.16495559961,650.0,0,7.47,2.0,37011.845,-37011.845,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
33,32.1359,-29727.700284289753,-57.12649440525638,5.0,7.47,2.0,-1835.8113115578785,1835.8113115578785,20569.84665163058,10.0,3849.3785563988736,25278.538812785388,0,0,1,0,0,0
34,20.6605,-29153.120053824092,-74.2,3.959128130782077,7.47,2.0,-1533.0091,1533.0091,16433.4545980057,7.918256261564154,3074.0128168093474,25278.538812785388,0,0,1,0,0,0
35,19.5825,-29073.13245382409,-74.2,3.959128130782077,7.47,2.0,-1453.0215,1453.0215,16433.4545980057,7.918256261564154,3074.0128168093474,25278.538812785388,0,0,1,0,0,0
36,22.0419,-29151.065449763093,-57.12649440525638,5.0,7.47,2.0,-1259.1764770312204,1259.1764770312204,20569.84665163058,10.0,3849.3785563988736,25278.538812785388,0,0,1,0,0,0
37,16.2937,-28829.103493824092,-74.2,3.959128130782077,7.47,2.0,-1208.9925400000002,1208.9925400000002,16433.4545980057,7.918256261564154,3074.0128168093474,25278.538812785388,0,0,1,0,0,0
38,26.8922,-29428.146085576907,-57.12649440525638,5.0,7.47,2.0,-1536.2571128450356,1536.2571128450356,20569.84665163058,10.0,3849.3785563988736,25278.538812785388,0,0,1,0,0,0
39,57.9298,-26097.639955599607,650.0,0,7.47,2.0,37654.37,-37654.37,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
40,96.405,-1088.7599555996098,650.0,0,7.47,2.0,62663.25,-62663.25,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
41,98.8957,530.1950444003919,650.0,0,7.47,2.0,64282.205,-64282.205,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
42,94.5999,-2262.074955599605,650.0,0,7.47,2.0,61489.935000000005,-61489.935000000005,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
43,90.6416,-4834.9699555996085,650.0,0,7.47,2.0,58917.04,-58917.04,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
44,83.7042,-9344.279955599606,650.0,0,7.47,2.0,54407.73,-54407.73,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
