,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,15.1222,-12564.45674540212,650.0,0,2.39,2.0,9829.43,-9829.43,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
1,15.7781,-12138.12174540212,650.0,0,2.39,2.0,10255.765,-10255.765,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
2,15.8206,-12110.496745402117,650.0,0,2.39,2.0,10283.390000000001,-10283.390000000001,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
3,16.1697,-11883.58174540212,650.0,0,2.39,2.0,10510.304999999998,-10510.304999999998,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
4,16.0891,-11935.97174540212,650.0,0,2.39,2.0,10457.914999999999,-10457.914999999999,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
5,17.0293,-11324.841745402118,650.0,0,2.39,2.0,11069.045,-11069.045,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
6,17.9819,-10705.65174540212,650.0,0,2.39,2.0,11688.235,-11688.235,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
7,18.1232,-10613.806745402118,650.0,0,2.39,2.0,11780.08,-11780.08,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
8,18.9722,-10061.95674540212,650.0,0,2.39,2.0,12331.93,-12331.93,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
9,20.1501,-9296.321745402121,650.0,0,2.39,2.0,13097.564999999999,-13097.564999999999,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
10,21.1117,-8671.281745402119,650.0,0,2.39,2.0,13722.605,-13722.605,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
11,21.5465,-8388.661745402118,650.0,0,2.39,2.0,14005.225,-14005.225,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
12,21.7985,-8224.861745402119,650.0,0,2.39,2.0,14169.025,-14169.025,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
13,21.7602,-8249.756745402117,650.0,0,2.39,2.0,14144.130000000001,-14144.130000000001,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
14,21.6704,-8308.126745402118,650.0,0,2.39,2.0,14085.76,-14085.76,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
15,21.5519,-8385.151745402118,650.0,0,2.39,2.0,14008.735,-14008.735,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
16,22.4283,-7815.491745402118,650.0,0,2.39,2.0,14578.395,-14578.395,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
17,29.9139,-2949.8517454021185,650.0,0,2.39,2.0,19444.035,-19444.035,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
18,30.8585,-2335.8617454021205,650.0,0,2.39,2.0,20058.024999999998,-20058.024999999998,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
19,30.1999,-2763.951745402117,650.0,0,2.39,2.0,19629.935,-19629.935,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
20,27.715,-4379.136745402118,650.0,0,2.39,2.0,18014.75,-18014.75,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
21,25.6262,-5736.8567454021195,650.0,0,2.39,2.0,16657.03,-16657.03,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
22,23.7691,-6943.971745402117,650.0,0,2.39,2.0,15449.915,-15449.915,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
23,21.161,-8639.236745402117,650.0,0,2.39,2.0,13754.650000000001,-13754.650000000001,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
24,20.8801,-8821.821745402121,650.0,0,2.39,2.0,13572.064999999999,-13572.064999999999,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
25,20.215,-9254.13674540212,650.0,0,2.39,2.0,13139.75,-13139.75,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
26,18.2865,-10507.661745402118,650.0,0,2.39,2.0,11886.225,-11886.225,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
