,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,35.2891,3835.5454801341784,1.493512888888891,5.0,3.87,2.0,52.70472568728896,-52.70472568728896,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
1,31.9794,3830.602400525824,1.493512888888891,5.0,3.87,2.0,47.7616460789334,-47.7616460789334,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
2,34.181,3833.8905185019994,1.493512888888891,5.0,3.87,2.0,51.04976405511118,-51.04976405511118,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
3,34.6328,3834.5652876252007,1.493512888888891,5.0,3.87,2.0,51.72453317831119,-51.72453317831119,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
4,34.838,3834.87175647,1.493512888888891,5.0,3.87,2.0,52.03100202311119,-52.03100202311119,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
5,34.8072,3834.825756273023,1.493512888888891,5.0,3.87,2.0,51.98500182613341,-51.98500182613341,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
6,37.3273,3838.5895581043096,1.493512888888891,5.0,3.87,2.0,55.74880365742231,-55.74880365742231,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
7,32.9227,3832.0112312339133,1.493512888888891,5.0,3.87,2.0,49.170476787022295,-49.170476787022295,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
8,26.8612,3822.958302857909,1.493512888888891,5.0,3.87,2.0,40.117548411022284,-40.117548411022284,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
9,16.5937,4406.929403771543,-157.39545602374656,5.0,3.87,2.0,-2611.772978621243,2611.772978621243,13074.443717602984,10.0,651.3442260288155,16882.420091324202,0,0,1,0,0,0
10,17.5939,4257.578456691341,-141.02440533909203,5.0,3.87,2.0,-2481.1692850954514,2481.1692850954514,13386.023240249506,10.0,658.4905515574264,16882.420091324202,0,0,1,0,0,0
11,14.547,4760.489773983081,-187.42691200362495,5.0,3.87,2.0,-2726.4992889167324,2726.4992889167324,12548.941665465703,10.0,643.1690708094063,16882.420091324202,0,0,1,0,0,0
12,3.3767,7583.675981776276,-309.7487330813339,5.0,3.87,2.0,-1045.9285469957401,1045.9285469957401,11186.805242641563,10.0,693.1934140615081,16882.420091324202,0,0,1,0,0,0
13,12.8095,5106.257298587363,-210.2328374701551,5.0,3.87,2.0,-2692.9775315739516,2692.9775315739516,12194.012209902005,10.0,641.687329120645,16882.420091324202,0,0,1,0,0,0
14,12.2489,5226.069232723941,-217.17865521499368,5.0,3.87,2.0,-2660.1996298629365,2660.1996298629365,12094.120870290202,10.0,642.1147184818856,16882.420091324202,0,0,1,0,0,0
15,28.4365,3825.311033711778,1.493512888888891,5.0,3.87,2.0,42.47027926488895,-42.47027926488895,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
16,53.3913,6066.927048769237,712.0,0,3.87,2.0,38014.6056,-38014.6056,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
17,54.3196,6727.876648769237,712.0,0,3.87,2.0,38675.5552,-38675.5552,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
18,45.4809,3850.7670647951545,1.493512888888891,5.0,3.87,2.0,67.92631034826677,-67.92631034826677,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
19,43.1387,3847.2689589067977,1.493512888888891,5.0,3.87,2.0,64.42820445991121,-64.42820445991121,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
20,48.6264,3855.464909587152,1.493512888888891,5.0,3.87,2.0,72.62415514026677,-72.62415514026677,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
21,55.5633,7613.39104876923,712.0,0,3.87,2.0,39561.069599999995,-39561.069599999995,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
22,44.9393,3849.958178214534,1.493512888888891,5.0,3.87,2.0,67.11742376764455,-67.11742376764455,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
23,43.6519,3848.03542972138,1.493512888888891,5.0,3.87,2.0,65.19467527448899,-65.19467527448899,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
24,37.6964,3839.140813711596,1.493512888888891,5.0,3.87,2.0,56.30005926471119,-56.30005926471119,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
25,35.3525,3835.6401688513306,1.493512888888891,5.0,3.87,2.0,52.79941440444452,-52.79941440444452,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
26,41.3899,3844.6571035667093,1.493512888888891,5.0,3.87,2.0,61.81634911982231,-61.81634911982231,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
27,40.6142,3843.4985856188014,1.493512888888891,5.0,3.87,2.0,60.6578311719112,-60.6578311719112,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
28,43.0596,3847.150822037287,1.493512888888891,5.0,3.87,2.0,64.3100675904001,-64.3100675904001,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
29,51.2969,4575.714248769236,712.0,0,3.87,2.0,36523.3928,-36523.3928,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
30,59.1966,10200.30064876923,712.0,0,3.87,2.0,42147.979199999994,-42147.979199999994,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
31,43.3911,3847.6459215599552,1.493512888888891,5.0,3.87,2.0,64.80516711306676,-64.80516711306676,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
32,34.2992,3834.067051725464,1.493512888888891,5.0,3.87,2.0,51.22629727857785,-51.22629727857785,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
33,30.5549,3828.4748914156025,1.493512888888891,5.0,3.87,2.0,45.63413696871118,-45.63413696871118,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
34,27.3606,3823.7041631946213,1.493512888888891,5.0,3.87,2.0,40.863408747733395,-40.863408747733395,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
35,31.1262,3829.328135329024,1.493512888888891,5.0,3.87,2.0,46.4873808821334,-46.4873808821334,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
36,30.7107,3828.707580723685,1.493512888888891,5.0,3.87,2.0,45.86682627680007,-45.86682627680007,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
37,25.5383,3820.982534657198,1.493512888888891,5.0,3.87,2.0,38.14178021031117,-38.14178021031117,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
38,27.1599,3823.404415157822,1.493512888888891,5.0,3.87,2.0,40.56366071093339,-40.56366071093339,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
39,34.092,3833.757595854886,1.493512888888891,5.0,3.87,2.0,50.916841408000074,-50.916841408000074,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
40,41.2568,3844.4583170011992,1.493512888888891,5.0,3.87,2.0,61.6175625543112,-61.6175625543112,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
41,69.8619,17793.994248769242,712.0,0,3.87,2.0,49741.67280000001,-49741.67280000001,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
42,63.3497,13157.307848769236,712.0,0,3.87,2.0,45104.9864,-45104.9864,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
43,44.1479,3848.7762121142678,1.493512888888891,5.0,3.87,2.0,65.93545766737788,-65.93545766737788,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
44,41.1438,3844.2895500447576,1.493512888888891,5.0,3.87,2.0,61.448795597866756,-61.448795597866756,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
45,44.9297,3849.9438404908014,1.493512888888891,5.0,3.87,2.0,67.1030860439112,-67.1030860439112,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
46,41.3907,3844.658298377022,1.493512888888891,5.0,3.87,2.0,61.81754393013343,-61.81754393013343,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
47,40.2915,3843.016629009553,1.493512888888891,5.0,3.87,2.0,60.175874562666756,-60.175874562666756,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
48,38.8919,3840.9263083702626,1.493512888888891,5.0,3.87,2.0,58.085553923377866,-58.085553923377866,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
49,42.533,3846.3643381500024,1.493512888888891,5.0,3.87,2.0,63.52358370311121,-63.52358370311121,16626.32953221508,10.0,777.2967809998684,16882.420091324202,0,0,1,0,0,0
