,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,46.68400242,6075.243095964247,650.0,0,2.94,2.0,30344.601573,-30344.601573,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
1,46.6840001,6075.241587964246,650.0,0,2.94,2.0,30344.600065,-30344.600065,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
2,46.68400284,6075.243368964245,650.0,0,2.94,2.0,30344.601845999998,-30344.601845999998,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
3,46.68400012,6075.241600964243,650.0,0,2.94,2.0,30344.600078,-30344.600078,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
4,46.6840036,6075.243862964245,650.0,0,2.94,2.0,30344.602339999998,-30344.602339999998,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
5,46.68400075,6075.242010464247,650.0,0,2.94,2.0,30344.600487500004,-30344.600487500004,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
6,46.68400369,6075.243921464246,650.0,0,2.94,2.0,30344.6023985,-30344.6023985,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
7,46.68400082,6075.242055964244,650.0,0,2.94,2.0,30344.600533,-30344.600533,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
8,46.68400331,6075.243674464243,650.0,0,2.94,2.0,30344.6021515,-30344.6021515,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
9,50.68487714,8675.811663964241,650.0,0,2.94,2.0,32945.170140999995,-32945.170140999995,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
10,46.68399999,6075.24151646424,650.0,0,2.94,2.0,30344.599993499996,-30344.599993499996,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
11,46.68400009,6075.241581464247,650.0,0,2.94,2.0,30344.6000585,-30344.6000585,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
12,9.288413186,-15032.075338691691,200.0,0,2.94,2.0,1857.6826372,-1857.6826372,4557.685749187209,0,170.96053537466148,13687.214611872145,1,0,0,0,0,0
13,9.19400133,-15050.95770989169,200.0,0,2.94,2.0,1838.8002660000002,-1838.8002660000002,4557.685749187209,0,170.96053537466148,13687.214611872145,1,0,0,0,0,0
14,9.193999218,-15050.958132291691,200.0,0,2.94,2.0,1838.7998436,-1838.7998436,4557.685749187209,0,170.96053537466148,13687.214611872145,1,0,0,0,0,0
15,7.15e-06,-16889.756545891694,200.0,0,2.94,2.0,0.00143,-0.00143,4557.685749187209,0,170.96053537466148,13687.214611872145,1,0,0,0,0,0
16,9.193998145,-15050.958346891692,200.0,0,2.94,2.0,1838.799629,-1838.799629,4557.685749187209,0,170.96053537466148,13687.214611872145,1,0,0,0,0,0
17,9.194001016,-15050.95777269169,200.0,0,2.94,2.0,1838.8002032,-1838.8002032,4557.685749187209,0,170.96053537466148,13687.214611872145,1,0,0,0,0,0
18,46.68400251,6075.243154464241,650.0,0,2.94,2.0,30344.601631499998,-30344.601631499998,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
19,46.68400016,6075.2416269642445,650.0,0,2.94,2.0,30344.600103999997,-30344.600103999997,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
20,46.68400143,6075.242452464244,650.0,0,2.94,2.0,30344.6009295,-30344.6009295,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
21,46.68400018,6075.241639964242,650.0,0,2.94,2.0,30344.600116999998,-30344.600116999998,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
22,46.68400133,6075.242387464244,650.0,0,2.94,2.0,30344.6008645,-30344.6008645,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
23,46.68399993,6075.241477464241,650.0,0,2.94,2.0,30344.599954499998,-30344.599954499998,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
24,46.68400246,6075.2431219642485,650.0,0,2.94,2.0,30344.601599,-30344.601599,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
25,54.20200011,10961.941594464248,650.0,0,2.94,2.0,35231.3000715,-35231.3000715,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
26,54.20200629,10961.945611464247,650.0,0,2.94,2.0,35231.3040885,-35231.3040885,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
27,61.39901251,15639.999654464244,650.0,0,2.94,2.0,39909.3581315,-39909.3581315,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
28,61.399012,15639.999322964244,650.0,0,2.94,2.0,39909.3578,-39909.3578,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
29,61.39901227,15639.999498464249,650.0,0,2.94,2.0,39909.3579755,-39909.3579755,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
30,61.43566778,15663.825579964245,650.0,0,2.94,2.0,39933.184057,-39933.184057,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
31,62.24898438,16192.481369964251,650.0,0,2.94,2.0,40461.839847,-40461.839847,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
32,62.24898488,16192.481694964252,650.0,0,2.94,2.0,40461.840172000004,-40461.840172000004,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
33,62.24898528,16192.481954964245,650.0,0,2.94,2.0,40461.840432,-40461.840432,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
34,46.68400055,6075.241880464247,650.0,0,2.94,2.0,30344.6003575,-30344.6003575,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
35,46.6840001,6075.241587964246,650.0,0,2.94,2.0,30344.600065,-30344.600065,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
36,46.68400005,6075.241555464246,650.0,0,2.94,2.0,30344.600032500002,-30344.600032500002,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
37,46.68399977,6075.241373464242,650.0,0,2.94,2.0,30344.5998505,-30344.5998505,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
38,46.68399944,6075.241158964246,650.0,0,2.94,2.0,30344.599636,-30344.599636,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
39,46.68399844,6075.240508964244,650.0,0,2.94,2.0,30344.598986,-30344.598986,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
40,46.63647857,6044.3525934642485,650.0,0,2.94,2.0,30313.7110705,-30313.7110705,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
41,46.6839995,6075.241197964245,650.0,0,2.94,2.0,30344.599674999998,-30344.599674999998,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
42,46.68399877,6075.240723464248,650.0,0,2.94,2.0,30344.5992005,-30344.5992005,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
43,46.68400016,6075.2416269642445,650.0,0,2.94,2.0,30344.600103999997,-30344.600103999997,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
44,46.68399811,6075.240294464241,650.0,0,2.94,2.0,30344.598771499997,-30344.598771499997,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
45,46.68400004,6075.241548964247,650.0,0,2.94,2.0,30344.600026,-30344.600026,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
46,46.68399866,6075.240651964249,650.0,0,2.94,2.0,30344.599129000002,-30344.599129000002,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
47,46.68400009,6075.241581464247,650.0,0,2.94,2.0,30344.6000585,-30344.6000585,15071.972825128516,0,556.8949724310688,13687.214611872145,1,0,0,0,0,0
