,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,46.68400008,-6717.080756916461,650.0,0,2.94,2.0,30344.600051999998,-30344.600051999998,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
1,46.68400012,-6717.080730916459,650.0,0,2.94,2.0,30344.600078,-30344.600078,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
2,62.24898433,3400.1590055835436,650.0,0,2.94,2.0,40461.8398145,-40461.8398145,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
3,62.24898633,3400.16030558354,650.0,0,2.94,2.0,40461.8411145,-40461.8411145,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
4,62.24898683,3400.1606305835408,650.0,0,2.94,2.0,40461.8414395,-40461.8414395,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
5,62.24898762,3400.1611440835436,650.0,0,2.94,2.0,40461.841953,-40461.841953,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
6,62.2489875,3400.161066083539,650.0,0,2.94,2.0,40461.841875,-40461.841875,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
7,62.24898748,3400.161053083542,650.0,0,2.94,2.0,40461.841862,-40461.841862,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
8,62.24898708,3400.160793083541,650.0,0,2.94,2.0,40461.841602,-40461.841602,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
9,98.07858205,26689.39752358354,650.0,0,2.94,2.0,63751.078332499994,-63751.078332499994,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
10,46.68400012,-6717.080730916459,650.0,0,2.94,2.0,30344.600078,-30344.600078,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
11,46.68400011,-6717.080737416458,650.0,0,2.94,2.0,30344.6000715,-30344.6000715,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
12,46.68399884,-6717.081562916457,650.0,0,2.94,2.0,30344.599246,-30344.599246,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
13,9.194000476,-19696.34703196347,0,0,2.94,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,176
14,9.193999796,-19696.34703196347,0,0,2.94,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
15,1.177767435,-19696.34703196347,0,0,2.94,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
16,6.66e-06,-19696.34703196347,0,0,2.94,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
17,18.38799351,-19696.34703196347,0,0,2.94,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
18,46.68400008,-6717.080756916461,650.0,0,2.94,2.0,30344.600051999998,-30344.600051999998,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,2898,0
19,54.20200011,-1830.3807374164576,650.0,0,2.94,2.0,35231.3000715,-35231.3000715,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
20,54.20200038,-1830.38056191646,650.0,0,2.94,2.0,35231.300247,-35231.300247,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
21,54.20200019,-1830.3806854164618,650.0,0,2.94,2.0,35231.3001235,-35231.3001235,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
22,54.20200007,-1830.380763416459,650.0,0,2.94,2.0,35231.3000455,-35231.3000455,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
23,54.20200011,-1830.3807374164576,650.0,0,2.94,2.0,35231.3000715,-35231.3000715,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
24,54.20200019,-1830.3806854164618,650.0,0,2.94,2.0,35231.3001235,-35231.3001235,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
25,54.20200035,-1830.380581416463,650.0,0,2.94,2.0,35231.300227499996,-35231.300227499996,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
26,62.2489857,3400.159896083543,650.0,0,2.94,2.0,40461.840705,-40461.840705,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
27,67.04407659,6516.968974583546,650.0,0,2.94,2.0,43578.649783500005,-43578.649783500005,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
28,67.04407668,6516.96903308354,650.0,0,2.94,2.0,43578.649842,-43578.649842,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
29,67.04407633,6516.9688055835395,650.0,0,2.94,2.0,43578.6496145,-43578.6496145,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
30,67.04407457,6516.967661583545,650.0,0,2.94,2.0,43578.648470500004,-43578.648470500004,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
31,62.24898849,3400.1617095835422,650.0,0,2.94,2.0,40461.8425185,-40461.8425185,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
32,66.52153839,6177.319144583544,650.0,0,2.94,2.0,43238.9999535,-43238.9999535,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
33,88.25709379,20305.430154583548,650.0,0,2.94,2.0,57367.1109635,-57367.1109635,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
34,46.68400024,-6717.080652916458,650.0,0,2.94,2.0,30344.600156,-30344.600156,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
35,46.68400011,-6717.080737416458,650.0,0,2.94,2.0,30344.6000715,-30344.6000715,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
36,46.68400016,-6717.080704916461,650.0,0,2.94,2.0,30344.600103999997,-30344.600103999997,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
37,46.68399996,-6717.080834916458,650.0,0,2.94,2.0,30344.599974,-30344.599974,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
38,25.32555526,-19696.34703196347,0,0,2.94,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,176
39,9.19400011,-19696.34703196347,0,0,2.94,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
40,9.194000066,-19696.34703196347,0,0,2.94,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
41,46.68399995,-6717.080841416457,650.0,0,2.94,2.0,30344.599967500002,-30344.599967500002,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,2898,0
42,46.68399946,-6717.081159916455,650.0,0,2.94,2.0,30344.599649000003,-30344.599649000003,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
43,46.68400012,-6717.080730916459,650.0,0,2.94,2.0,30344.600078,-30344.600078,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
44,46.6840001,-6717.08074391646,650.0,0,2.94,2.0,30344.600065,-30344.600065,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
45,46.6840001,-6717.08074391646,650.0,0,2.94,2.0,30344.600065,-30344.600065,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
46,46.6840001,-6717.08074391646,650.0,0,2.94,2.0,30344.600065,-30344.600065,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
47,46.68400013,-6717.080724416457,650.0,0,2.94,2.0,30344.6000845,-30344.6000845,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
48,54.20200033,-1830.38059441646,650.0,0,2.94,2.0,35231.3002145,-35231.3002145,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
49,57.75799915,481.01863858354363,650.0,0,2.94,2.0,37542.6994475,-37542.6994475,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
50,62.24898518,3400.159558083538,650.0,0,2.94,2.0,40461.840367,-40461.840367,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
51,124.8971549,44121.46987608354,650.0,0,2.94,2.0,81183.150685,-81183.150685,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
52,62.24898608,3400.1601430835394,650.0,0,2.94,2.0,40461.840952,-40461.840952,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
53,62.24898529,3400.159629583544,650.0,0,2.94,2.0,40461.8404385,-40461.8404385,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
54,62.24898514,3400.1595320835436,650.0,0,2.94,2.0,40461.840341,-40461.840341,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
55,62.24898475,3400.1592785835414,650.0,0,2.94,2.0,40461.8400875,-40461.8400875,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
56,55.98000038,-674.6805619164629,650.0,0,2.94,2.0,36387.000246999996,-36387.000246999996,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
57,55.9800003,-674.6806139164587,650.0,0,2.94,2.0,36387.000195,-36387.000195,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
58,46.68400019,-6717.080685416458,650.0,0,2.94,2.0,30344.6001235,-30344.6001235,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
59,46.68400011,-6717.080737416458,650.0,0,2.94,2.0,30344.6000715,-30344.6000715,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
60,46.6840001,-6717.08074391646,650.0,0,2.94,2.0,30344.600065,-30344.600065,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
61,46.68400001,-6717.080802416462,650.0,0,2.94,2.0,30344.600006499997,-30344.600006499997,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
62,46.6839999,-6717.080873916457,650.0,0,2.94,2.0,30344.599935000002,-30344.599935000002,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
63,46.68399975,-6717.080971416461,650.0,0,2.94,2.0,30344.599837499998,-30344.599837499998,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
64,46.64801576,-6740.470564916457,650.0,0,2.94,2.0,30321.210244,-30321.210244,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
65,46.68399992,-6717.08086091646,650.0,0,2.94,2.0,30344.599948,-30344.599948,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
