,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,18.27600034,15045.382837432891,-719.926451735275,5.0,2.94,2.0,-13157.376076688879,13157.376076688879,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
1,26.69300006,8985.76209475649,-719.926451735275,5.0,2.94,2.0,-19216.996819365282,19216.996819365282,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
2,26.693,8985.762137952075,-719.926451735275,5.0,2.94,2.0,-19216.996776169697,19216.996776169697,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
3,26.69300006,8985.76209475649,-719.926451735275,5.0,2.94,2.0,-19216.996819365282,19216.996819365282,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
4,26.69300014,8985.762037162374,-719.926451735275,5.0,2.94,2.0,-19216.996876959398,19216.996876959398,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
5,26.69300007,8985.762087557225,-719.926451735275,5.0,2.94,2.0,-19216.996826564548,19216.996826564548,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
6,26.69300034,8985.761893177085,-719.926451735275,5.0,2.94,2.0,-19216.99702094469,19216.99702094469,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
7,26.69300014,8985.762037162374,-719.926451735275,5.0,2.94,2.0,-19216.996876959398,19216.996876959398,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
8,26.69299944,8985.76254111089,-719.926451735275,5.0,2.94,2.0,-19216.996373010883,19216.996373010883,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
9,26.69300034,8985.761893177085,-719.926451735275,5.0,2.94,2.0,-19216.99702094469,19216.99702094469,0.0,10.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
