,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,0.11,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,176
1,0.08,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
2,0.06,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
3,0.06,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
4,0.06,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
5,0.06,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
6,0.06,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
7,0.06,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
8,0.0,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
9,0.0,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
10,0.0,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
11,0.0,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
12,0.0,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
13,0.0,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
14,0.0,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
15,0.0,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
16,0.0,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
17,8.88,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
18,9.65,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
19,9.68,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
20,10.16,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
21,10.04,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
22,10.15,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
23,10.18,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
24,9.78,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
25,11.13,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
26,9.61,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
27,9.36,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
28,9.53,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
29,9.48,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
30,9.6,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
31,9.95,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
32,12.89,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
33,8.39,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
34,8.41,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
35,0.0,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
36,9.25,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
37,8.88,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
38,9.66,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
39,10.88,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
40,8.49,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
41,10.18,-19696.34703196347,0,0,1.43,2.0,0,0,0,0,0,19696.34703196347,0,0,0,1,0,0
42,25.07,-13730.135020296048,650.0,0,1.43,2.0,16295.5,-16295.5,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,2898,0
43,25.18,-13658.635020296048,650.0,0,1.43,2.0,16367.0,-16367.0,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
44,25.4,-13515.635020296048,650.0,0,1.43,2.0,16510.0,-16510.0,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
45,25.75,-13288.135020296048,650.0,0,1.43,2.0,16737.5,-16737.5,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
46,25.78,-13268.635020296048,650.0,0,1.43,2.0,16757.0,-16757.0,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
47,25.57,-13405.135020296048,650.0,0,1.43,2.0,16620.5,-16620.5,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
48,26.67,-12690.135020296048,650.0,0,1.43,2.0,17335.5,-17335.5,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
49,26.21,-12989.135020296048,650.0,0,1.43,2.0,17036.5,-17036.5,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
50,26.08,-13073.635020296048,650.0,0,1.43,2.0,16952.0,-16952.0,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
51,25.68,-13333.635020296048,650.0,0,1.43,2.0,16692.0,-16692.0,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
52,25.24,-13619.635020296048,650.0,0,1.43,2.0,16406.0,-16406.0,20595.57773887564,0,3666.0128375198733,19696.34703196347,1,0,0,0,0,0
