,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,8.4483,-6408.52064589174,-57.12649440525637,5.0,2.75,2.0,-482.6217626839274,482.6217626839274,20569.84665163058,10.0,3849.3785563988736,25278.538812785388,0,0,1,0,0,0
1,14.5892,-6759.3287353849755,-57.12649440525637,5.0,2.75,2.0,-833.4298521771663,833.4298521771663,20569.84665163058,10.0,3849.3785563988736,25278.538812785388,0,0,1,0,0,0
2,13.8392,-6716.48386458104,-57.12649440525637,5.0,2.75,2.0,-790.584981373224,790.584981373224,20569.84665163058,10.0,3849.3785563988736,25278.538812785388,0,0,1,0,0,0
3,11.529,-6584.5102372060155,-57.12649440525637,5.0,2.75,2.0,-658.6113539982007,658.6113539982007,20569.84665163058,10.0,3849.3785563988736,25278.538812785388,0,0,1,0,0,0
4,16.3593,-6859.351318723639,-55.066066074031,5.0,2.75,2.0,-900.8422947248954,900.8422947248954,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
5,17.7588,-6936.416278194244,-55.066066074031,5.0,2.75,2.0,-977.9072541955018,977.9072541955018,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
6,16.8673,-6887.324880289242,-55.066066074031,5.0,2.75,2.0,-928.8158562905031,928.8158562905031,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
7,18.223,-6961.977946065811,-55.066066074031,5.0,2.75,2.0,-1003.4689220670668,1003.4689220670668,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
8,18.9679,-7002.996658684352,-55.066066074031,5.0,2.75,2.0,-1044.4876346856126,1044.4876346856126,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
9,21.7277,-7154.967987835466,-55.066066074031,5.0,2.75,2.0,-1196.4589638367233,1196.4589638367233,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
10,31.4045,-7687.831296020647,-55.066066074031,5.0,2.75,2.0,-1729.3222720219064,1729.3222720219064,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
11,89.5646,16458.44767505492,650.0,0,2.75,2.0,58216.99,-58216.99,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
12,29.8512,-7602.297175587854,-55.066066074031,5.0,2.75,2.0,-1643.788151589114,1643.788151589114,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
13,31.4601,-7690.892969294365,-55.066066074031,5.0,2.75,2.0,-1732.3839452956227,1732.3839452956227,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
14,27.9164,-7495.7553509478175,-55.066066074031,5.0,2.75,2.0,-1537.246326949079,1537.246326949079,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
15,29.2492,-7569.147403811287,-55.066066074031,5.0,2.75,2.0,-1610.6383798125473,1610.6383798125473,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
16,30.659,-7646.77954376246,-55.066066074031,5.0,2.75,2.0,-1688.2705197637163,1688.2705197637163,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
17,36.8964,-7990.248624292618,-55.066066074031,5.0,2.75,2.0,-2031.7396002938774,2031.7396002938774,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
18,35.9355,-7937.335641402083,-55.066066074031,5.0,2.75,2.0,-1978.8266174033408,1978.8266174033408,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
19,32.5868,-7752.935905939973,-55.066066074031,5.0,2.75,2.0,-1794.4268819412332,1794.4268819412332,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
20,30.3598,-7630.30377679311,-55.066066074031,5.0,2.75,2.0,-1671.7947527943663,1671.7947527943663,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
21,27.2807,-7460.749852744558,-55.066066074031,5.0,2.75,2.0,-1502.2408287458175,1502.2408287458175,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
22,27.3866,-7466.581349141802,-55.066066074031,5.0,2.75,2.0,-1508.0723251430575,1508.0723251430575,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
23,25.1976,-7346.041730505743,-55.066066074031,5.0,2.75,2.0,-1387.5327065070035,1387.5327065070035,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
24,27.0959,-7450.573643734076,-55.066066074031,5.0,2.75,2.0,-1492.0646197353365,1492.0646197353365,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
25,23.7248,-7264.940428391915,-55.066066074031,5.0,2.75,2.0,-1306.4314043931706,1306.4314043931706,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
26,22.5765,-7201.708064719104,-55.066066074031,5.0,2.75,2.0,-1243.199040720361,1243.199040720361,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
27,20.432,-7083.618886023346,-55.066066074031,5.0,2.75,2.0,-1125.1098620246014,1125.1098620246014,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
28,20.869,-7107.682756897696,-55.066066074031,5.0,2.75,2.0,-1149.173732898953,1149.173732898953,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
29,21.9701,-7168.316002251807,-55.066066074031,5.0,2.75,2.0,-1209.8069782530683,1209.8069782530683,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
30,19.5261,-7033.734536766876,-55.066066074031,5.0,2.75,2.0,-1075.2255127681367,1075.2255127681367,20610.59784593826,10.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
