model3, CAISO_NP15_2019,0.954523317,6.784241919,7.738765236, optimal
model4, CAISO_NP15_2019,0.241508555,3.122433933,3.363942488, optimal
model5, CAISO_NP15_2019,1.750299637,5.209541969,6.959841605, optimal
model6, CAISO_NP15_2019,0.172768966,0.662154619,0.834923585, optimal
model3, CAISO_NP15_2022,1.078492717,5.220758688,6.299251405, optimal
model4, CAISO_NP15_2022,0.333183932,3.769111435,4.102295367, optimal
model5, CAISO_NP15_2022,1.401787965,11.38431664,12.78610461, optimal
model6, CAISO_NP15_2022,0.352543283,1.753337236,2.105880519, optimal
model3, CAISO_ZP26_2019,0.949728016,4.591645837,5.541373853, optimal
model4, CAISO_ZP26_2019,0.251345249,3.091365683,3.342710932, optimal
model5, CAISO_ZP26_2019,1.573670487,8.244822701,9.818493187, optimal
model6, CAISO_ZP26_2019,0.197106282,0.67403278,0.871139061, optimal
model3, CAISO_ZP26_2022,0.960665699,9.082407916,10.04307361, optimal
model4, CAISO_ZP26_2022,0.293322714,2.108021299,2.401344013, optimal
model5, CAISO_ZP26_2022,1.786206349,12.7085945,14.49480085, optimal
model6, CAISO_ZP26_2022,0.223874334,1.29328115,1.517155484, optimal
model3, CAISO_SP15_2019,0.954197367,4.317915603,5.27211297, optimal
model4, CAISO_SP15_2019,0.253010412,3.094421581,3.347431993, optimal
model5, CAISO_SP15_2019,1.801078618,5.2440515,7.045130118, optimal
model6, CAISO_SP15_2019,0.173504686,0.732416487,0.905921173, optimal
model3, CAISO_SP15_2022,0.901751701,9.664330284,10.56608198, optimal
model4, CAISO_SP15_2022,0.295196732,2.138102067,2.433298798, optimal
model5, CAISO_SP15_2022,1.995542451,9.022525481,11.01806793, optimal
model6, CAISO_SP15_2022,0.231162262,1.200560919,1.431723181, optimal
model3, ERCOT_NORTH_2019,1.074789119,3.764990215,4.839779333, optimal
model4, ERCOT_NORTH_2019,0.254327118,5.21478167,5.469108788, optimal
model5, ERCOT_NORTH_2019,1.882598201,3.639339618,5.521937819, optimal
model6, ERCOT_NORTH_2019,0.192585548,0.444365601,0.636951149, optimal
model3, ERCOT_NORTH_2022,0.871670183,6.009398162,6.881068345, optimal
model4, ERCOT_NORTH_2022,0.260828328,2.132321997,2.393150326, optimal
model5, ERCOT_NORTH_2022,2.003970098,9.711227783,11.71519788, optimal
model6, ERCOT_NORTH_2022,0.207114935,1.206885846,1.414000781, optimal
model3, ERCOT_SOUTH_2019,1.083081496,3.559348635,4.642430131, optimal
model4, ERCOT_SOUTH_2019,0.247001199,3.009868368,3.256869566, optimal
model5, ERCOT_SOUTH_2019,2.111317333,3.898695254,6.010012587, optimal
model6, ERCOT_SOUTH_2019,0.170525865,0.451488948,0.622014813, optimal
model3, ERCOT_SOUTH_2022,0.863282116,6.367869929,7.231152046, optimal
model4, ERCOT_SOUTH_2022,0.270322116,2.132813867,2.403135983, optimal
model5, ERCOT_SOUTH_2022,1.729419768,9.657492002,11.38691177, optimal
model6, ERCOT_SOUTH_2022,0.191070032,1.218628263,1.409698296, optimal
model3, ERCOT_WEST_2019,1.047867417,3.571498768,4.619366185, optimal
model4, ERCOT_WEST_2019,0.279545081,2.98754398,3.267089061, optimal
model5, ERCOT_WEST_2019,1.542966636,4.171107916,5.714074552, optimal
model6, ERCOT_WEST_2019,0.192295055,0.469653149,0.661948204, optimal
model3, ERCOT_WEST_2022,0.801281647,4.015037298,4.816318945, optimal
model4, ERCOT_WEST_2022,0.268692398,2.118275313,2.386967711, optimal
model5, ERCOT_WEST_2022,1.79769938,8.907416717,10.7051161, optimal
model6, ERCOT_WEST_2022,0.193760117,1.154711036,1.348471153, optimal
model3, ERCOT_HOUSTON_2019,1.076157701,5.703602699,6.7797604, optimal
model4, ERCOT_HOUSTON_2019,0.256221104,2.998371899,3.254593003, optimal
model5, ERCOT_HOUSTON_2019,1.873501964,3.685280534,5.558782498, optimal
model6, ERCOT_HOUSTON_2019,0.175593654,0.444729547,0.620323201, optimal
model3, ERCOT_HOUSTON_2022,0.868198586,5.774272517,6.642471103, optimal
model4, ERCOT_HOUSTON_2022,0.273645182,2.126319849,2.399965032, optimal
model5, ERCOT_HOUSTON_2022,1.988860484,8.893378369,10.88223885, optimal
model6, ERCOT_HOUSTON_2022,0.206535168,1.355977817,1.562512986, optimal
model3, ISO_NE_2019,0.946848786,4.364786998,5.311635784, optimal
model4, ISO_NE_2019,0.251301014,2.893270218,3.144571233, optimal
model5, ISO_NE_2019,1.309225416,5.157773972,6.466999388, optimal
model6, ISO_NE_2019,0.1503678,0.58951867,0.739886471, optimal
model3, ISO_NE_2022,0.935659369,2.840094419,3.775753788, optimal
model4, ISO_NE_2022,0.488722897,6.732267582,7.220990479, optimal
