,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,18.27600038,1149.1276060030314,-55.06606607403103,5.0,2.94,2.5,-1006.3874444940961,1006.3874444940961,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
1,26.69299999,685.6365493336807,-55.06606607403103,5.0,2.94,2.5,-1469.8785011634495,1469.8785011634495,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
2,26.69300031,685.6365317125337,-55.06606607403103,5.0,2.94,2.5,-1469.8785187845906,1469.8785187845906,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
3,26.69299996,685.6365509856578,-55.06606607403103,5.0,2.94,2.5,-1469.8784995114677,1469.8784995114677,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
4,26.69300024,685.6365355671614,-55.06606607403103,5.0,2.94,2.5,-1469.878514929966,1469.878514929966,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
5,26.69299996,685.6365509856578,-55.06606607403103,5.0,2.94,2.5,-1469.8784995114677,1469.8784995114677,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
6,26.69299993,685.6365526376421,-55.06606607403103,5.0,2.94,2.5,-1469.8784978594856,1469.8784978594856,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
7,26.69299999,685.6365493336807,-55.06606607403103,5.0,2.94,2.5,-1469.8785011634495,1469.8785011634495,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
8,26.69300006,685.636545479053,-55.06606607403103,5.0,2.94,2.5,-1469.878505018074,1469.878505018074,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
9,26.69299993,685.6365526376421,-55.06606607403103,5.0,2.94,2.5,-1469.8784978594856,1469.8784978594856,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
10,26.69300002,685.6365476816964,-55.06606607403103,5.0,2.94,2.5,-1469.8785028154316,1469.8785028154316,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
11,26.69300002,685.6365476816964,-55.06606607403103,5.0,2.94,2.5,-1469.8785028154316,1469.8785028154316,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
12,26.69300006,685.636545479053,-55.06606607403103,5.0,2.94,2.5,-1469.878505018074,1469.878505018074,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
13,26.69299995,685.6365515363168,-55.06606607403103,5.0,2.94,2.5,-1469.878498960807,1469.878498960807,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
14,26.69300004,685.636546580371,-55.06606607403103,5.0,2.94,2.5,-1469.8785039167528,1469.8785039167528,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
15,26.69299995,685.6365515363168,-55.06606607403103,5.0,2.94,2.5,-1469.878498960807,1469.878498960807,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
16,26.69300025,685.6365350165024,-55.06606607403103,5.0,2.94,2.5,-1469.8785154806267,1469.8785154806267,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
17,26.69300012,685.6365421750916,-55.06606607403103,5.0,2.94,2.5,-1469.8785083220382,1469.8785083220382,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
18,26.69299999,685.6365493336807,-55.06606607403103,5.0,2.94,2.5,-1469.8785011634495,1469.8785011634495,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
19,26.69300007,685.636544928394,-55.06606607403103,5.0,2.94,2.5,-1469.878505568735,1469.878505568735,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
20,26.69300011,685.6365427257506,-55.06606607403103,5.0,2.94,2.5,-1469.8785077713774,1469.8785077713774,20610.59784593826,12.5,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
