,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,29.33884933,16324.958809260987,1.493512888888858,5.0,2.94,2.5,43.81794961952323,-43.81794961952323,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
1,46.68399991,16350.864015211935,1.493512888888858,5.0,2.94,2.5,69.72315557047128,-69.72315557047128,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
2,46.68400204,16350.864018393115,1.493512888888858,5.0,2.94,2.5,69.72315875165374,-69.72315875165374,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
3,46.68399971,16350.864014913235,1.493512888888858,5.0,2.94,2.5,69.72315527176872,-69.72315527176872,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
4,46.68400216,16350.864018572336,1.493512888888858,5.0,2.94,2.5,69.72315893087529,-69.72315893087529,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
5,46.68399972,16350.864014928165,1.493512888888858,5.0,2.94,2.5,69.72315528670384,-69.72315528670384,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
6,46.68402115,16350.86404693415,1.493512888888858,5.0,2.94,2.5,69.72318729268505,-69.72318729268505,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
7,46.68400021,16350.864015659989,1.493512888888858,5.0,2.94,2.5,69.72315601852516,-69.72315601852516,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
8,46.684024,16350.864051190658,1.493512888888858,5.0,2.94,2.5,69.72319154919678,-69.72319154919678,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
9,46.68400463,16350.86402226132,1.493512888888858,5.0,2.94,2.5,69.72316261985212,-69.72316261985212,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
10,46.68399914,16350.864014061934,1.493512888888858,5.0,2.94,2.5,69.72315442046636,-69.72315442046636,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
11,46.68399814,16350.86401256842,1.493512888888858,5.0,2.94,2.5,69.72315292695347,-69.72315292695347,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
12,46.68400008,16350.86401546583,1.493512888888858,5.0,2.94,2.5,69.72315582436848,-69.72315582436848,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
13,46.68399893,16350.864013748296,1.493512888888858,5.0,2.94,2.5,69.72315410682866,-69.72315410682866,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
14,46.68400177,16350.864017989867,1.493512888888858,5.0,2.94,2.5,69.72315834840526,-69.72315834840526,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
15,46.68399949,16350.86401458466,1.493512888888858,5.0,2.94,2.5,69.72315494319587,-69.72315494319587,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
16,46.68400149,16350.864017571688,1.493512888888858,5.0,2.94,2.5,69.72315793022165,-69.72315793022165,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
17,46.68400011,16350.864015510635,1.493512888888858,5.0,2.94,2.5,69.72315586917387,-69.72315586917387,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
18,46.6840017,16350.864017885326,1.493512888888858,5.0,2.94,2.5,69.72315824385936,-69.72315824385936,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
19,46.68399974,16350.86401495804,1.493512888888858,5.0,2.94,2.5,69.7231553165741,-69.7231553165741,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
20,46.6840011,16350.864016989219,1.493512888888858,5.0,2.94,2.5,69.72315734775164,-69.72315734775164,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
21,46.6840002,16350.864015645051,1.493512888888858,5.0,2.94,2.5,69.72315600359002,-69.72315600359002,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
22,46.68399863,16350.864013300235,1.493512888888858,5.0,2.94,2.5,69.72315365877479,-69.72315365877479,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
23,46.68400004,16350.864015406094,1.493512888888858,5.0,2.94,2.5,69.72315576462796,-69.72315576462796,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
24,46.68400162,16350.86401776584,1.493512888888858,5.0,2.94,2.5,69.72315812437833,-69.72315812437833,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
25,46.68400023,16350.864015689856,1.493512888888858,5.0,2.94,2.5,69.72315604839541,-69.72315604839541,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
26,61.71997552,16373.320438582488,1.493512888888858,5.0,2.94,2.5,92.1795789410248,-92.1795789410248,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
27,61.93044878,16373.634783109062,1.493512888888858,5.0,2.94,2.5,92.49392346760125,-92.49392346760125,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
28,62.24897995,16374.110513516973,1.493512888888858,5.0,2.94,2.5,92.9696538755091,-92.9696538755091,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
29,62.2489793,16374.110512546193,1.493512888888858,5.0,2.94,2.5,92.96965290472572,-92.96965290472572,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
30,62.24898223,16374.11051692218,1.493512888888858,5.0,2.94,2.5,92.9696572807185,-92.9696572807185,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
31,59.7007151,16370.304647119194,1.493512888888858,5.0,2.94,2.5,89.16378747773166,-89.16378747773166,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
32,60.69872024,16371.795180658964,1.493512888888858,5.0,2.94,2.5,90.654321017499,-90.654321017499,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
33,62.2489819,16374.11051642932,1.493512888888858,5.0,2.94,2.5,92.96965678785924,-92.96965678785924,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
34,46.68400209,16350.864018467795,1.493512888888858,5.0,2.94,2.5,69.72315882632938,-69.72315882632938,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
35,46.68400001,16350.864015361289,1.493512888888858,5.0,2.94,2.5,69.72315571982257,-69.72315571982257,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
36,46.68399995,16350.864015271678,1.493512888888858,5.0,2.94,2.5,69.7231556302118,-69.7231556302118,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
37,46.68399937,16350.864014405439,1.493512888888858,5.0,2.94,2.5,69.72315476397434,-69.72315476397434,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
38,46.68399969,16350.86401488336,1.493512888888858,5.0,2.94,2.5,69.72315524189845,-69.72315524189845,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
39,46.68400004,16350.864015406094,1.493512888888858,5.0,2.94,2.5,69.72315576462796,-69.72315576462796,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
40,46.68399826,16350.864012747641,1.493512888888858,5.0,2.94,2.5,69.72315310617502,-69.72315310617502,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
41,46.68399996,16350.864015286608,1.493512888888858,5.0,2.94,2.5,69.72315564514693,-69.72315564514693,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
42,46.68399847,16350.864013061278,1.493512888888858,5.0,2.94,2.5,69.72315341981273,-69.72315341981273,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
43,46.68400007,16350.8640154509,1.493512888888858,5.0,2.94,2.5,69.72315580943335,-69.72315580943335,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
44,46.68400009,16350.864015480767,1.493512888888858,5.0,2.94,2.5,69.7231558393036,-69.7231558393036,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
45,46.68399995,16350.864015271678,1.493512888888858,5.0,2.94,2.5,69.7231556302118,-69.7231556302118,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
46,46.68399832,16350.864012837252,1.493512888888858,5.0,2.94,2.5,69.7231531957858,-69.7231531957858,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
47,46.6840001,16350.864015495705,1.493512888888858,5.0,2.94,2.5,69.72315585423874,-69.72315585423874,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
48,46.68399873,16350.864013449589,1.493512888888858,5.0,2.94,2.5,69.72315380812607,-69.72315380812607,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
49,54.20200064,16362.09224620087,1.493512888888858,5.0,2.94,2.5,80.95138655940214,-80.95138655940214,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
50,62.24898535,16374.110521581943,1.493512888888858,5.0,2.94,2.5,92.9696619404787,-92.9696619404787,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
51,88.02177446,34197.56573650891,712.0,0,2.94,2.5,62671.503415520005,-62671.503415520005,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
52,62.248983,16374.110518072188,1.493512888888858,5.0,2.94,2.5,92.96965843072341,-92.96965843072341,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
53,62.24898219,16374.110516862444,1.493512888888858,5.0,2.94,2.5,92.96965722097796,-92.96965722097796,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
54,54.20200067,16362.092246245675,1.493512888888858,5.0,2.94,2.5,80.95138660420751,-80.95138660420751,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
55,54.20199988,16362.092245065798,1.493512888888858,5.0,2.94,2.5,80.95138542433234,-80.95138542433234,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
56,54.20200042,16362.092245872294,1.493512888888858,5.0,2.94,2.5,80.95138623082929,-80.95138623082929,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
57,54.20200048,16362.092245961905,1.493512888888858,5.0,2.94,2.5,80.95138632044008,-80.95138632044008,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
58,46.68399768,16350.864011881402,1.493512888888858,5.0,2.94,2.5,69.72315223993755,-69.72315223993755,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
59,46.68400001,16350.864015361289,1.493512888888858,5.0,2.94,2.5,69.72315571982257,-69.72315571982257,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
60,46.6839981,16350.864012508677,1.493512888888858,5.0,2.94,2.5,69.72315286721296,-69.72315286721296,16626.32953221508,12.5,777.2967809998681,16882.420091324202,0,0,1,0,0,0
