,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,89.85,29971.158567349,712.0,0,4.42,2.5,63973.2,-63973.2,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
1,89.85,29971.158567349,712.0,0,4.42,2.5,63973.2,-63973.2,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
2,89.85,29971.158567349,712.0,0,4.42,2.5,63973.2,-63973.2,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
3,89.84,29964.038567349005,712.0,0,4.42,2.5,63966.08,-63966.08,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
4,89.81,29942.678567349005,712.0,0,4.42,2.5,63944.72,-63944.72,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
5,89.01,29373.078567349006,712.0,0,4.42,2.5,63375.12,-63375.12,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
6,88.75,29187.958567349004,712.0,0,4.42,2.5,63190.0,-63190.0,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
7,88.74,29180.838567349,712.0,0,4.42,2.5,63182.88,-63182.88,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
8,89.06,29408.678567349005,712.0,0,4.42,2.5,63410.72,-63410.72,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
9,89.28,29565.318567349004,712.0,0,4.42,2.5,63567.36,-63567.36,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
10,88.26,28839.078567349006,712.0,0,4.42,2.5,62841.12,-62841.12,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
11,0.06,16280.1604412778,-340.32738475907274,5.0,4.42,2.5,-20.419643085544365,20.419643085544365,11085.681296410363,12.5,731.3185279020909,16882.420091324202,0,0,1,0,0,0
12,0.0,16300.5934803794,-340.773833932988,5.0,4.42,2.5,-0.0,0.0,11085.02366378333,12.5,731.9627645130672,16882.420091324202,0,0,1,0,0,0
13,0.06,16280.1604412778,-340.32738475907274,5.0,4.42,2.5,-20.419643085544365,20.419643085544365,11085.681296410363,12.5,731.3185279020909,16882.420091324202,0,0,1,0,0,0
14,0.06,16280.1604412778,-340.32738475907274,5.0,4.42,2.5,-20.419643085544365,20.419643085544365,11085.681296410363,12.5,731.3185279020909,16882.420091324202,0,0,1,0,0,0
15,0.06,16280.1604412778,-340.32738475907274,5.0,4.42,2.5,-20.419643085544365,20.419643085544365,11085.681296410363,12.5,731.3185279020909,16882.420091324202,0,0,1,0,0,0
16,0.06,16280.1604412778,-340.32738475907274,5.0,4.42,2.5,-20.419643085544365,20.419643085544365,11085.681296410363,12.5,731.3185279020909,16882.420091324202,0,0,1,0,0,0
17,0.06,16280.1604412778,-340.32738475907274,5.0,4.42,2.5,-20.419643085544365,20.419643085544365,11085.681296410363,12.5,731.3185279020909,16882.420091324202,0,0,1,0,0,0
18,0.06,16280.1604412778,-340.32738475907274,5.0,4.42,2.5,-20.419643085544365,20.419643085544365,11085.681296410363,12.5,731.3185279020909,16882.420091324202,0,0,1,0,0,0
19,91.15,30896.758567349007,712.0,0,4.42,2.5,64898.8,-64898.8,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
20,93.89,32847.63856734901,712.0,0,4.42,2.5,66849.68000000001,-66849.68000000001,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
21,93.89,32847.63856734901,712.0,0,4.42,2.5,66849.68000000001,-66849.68000000001,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
22,93.89,32847.63856734901,712.0,0,4.42,2.5,66849.68000000001,-66849.68000000001,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
