,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,1.36,24184.87963371075,-280.4064784423079,5.0,1.12,2.5,-381.35281068153876,381.35281068153876,11382.297354144608,12.5,667.1454197943817,16882.420091324202,0,0,1,0,0,0
1,1.36,24184.87963371075,-280.4064784423079,5.0,1.12,2.5,-381.35281068153876,381.35281068153876,11382.297354144608,12.5,667.1454197943817,16882.420091324202,0,0,1,0,0,0
2,1.36,24184.87963371075,-280.4064784423079,5.0,1.12,2.5,-381.35281068153876,381.35281068153876,11382.297354144608,12.5,667.1454197943817,16882.420091324202,0,0,1,0,0,0
3,1.36,24184.87963371075,-280.4064784423079,5.0,1.12,2.5,-381.35281068153876,381.35281068153876,11382.297354144608,12.5,667.1454197943817,16882.420091324202,0,0,1,0,0,0
4,1.36,24184.87963371075,-280.4064784423079,5.0,1.12,2.5,-381.35281068153876,381.35281068153876,11382.297354144608,12.5,667.1454197943817,16882.420091324202,0,0,1,0,0,0
5,1.36,24184.87963371075,-280.4064784423079,5.0,1.12,2.5,-381.35281068153876,381.35281068153876,11382.297354144608,12.5,667.1454197943817,16882.420091324202,0,0,1,0,0,0
6,1.36,24184.87963371075,-280.4064784423079,5.0,1.12,2.5,-381.35281068153876,381.35281068153876,11382.297354144608,12.5,667.1454197943817,16882.420091324202,0,0,1,0,0,0
7,1.36,24184.87963371075,-280.4064784423079,5.0,1.12,2.5,-381.35281068153876,381.35281068153876,11382.297354144608,12.5,667.1454197943817,16882.420091324202,0,0,1,0,0,0
8,0.0,24590.345528116748,-315.2869149843886,5.0,1.12,2.5,-0.0,0.0,11160.475079309213,12.5,699.2406953042253,16882.420091324202,0,0,1,0,0,0
9,0.0,24590.345528116748,-315.2869149843886,5.0,1.12,2.5,-0.0,0.0,11160.475079309213,12.5,699.2406953042253,16882.420091324202,0,0,1,0,0,0
10,0.0,24590.345528116748,-315.2869149843886,5.0,1.12,2.5,-0.0,0.0,11160.475079309213,12.5,699.2406953042253,16882.420091324202,0,0,1,0,0,0
11,0.0,24590.345528116748,-315.2869149843886,5.0,1.12,2.5,-0.0,0.0,11160.475079309213,12.5,699.2406953042253,16882.420091324202,0,0,1,0,0,0
12,0.0,24590.345528116748,-315.2869149843886,5.0,1.12,2.5,-0.0,0.0,11160.475079309213,12.5,699.2406953042253,16882.420091324202,0,0,1,0,0,0
13,0.0,24590.345528116748,-315.2869149843886,5.0,1.12,2.5,-0.0,0.0,11160.475079309213,12.5,699.2406953042253,16882.420091324202,0,0,1,0,0,0
14,0.0,24590.345528116748,-315.2869149843886,5.0,1.12,2.5,-0.0,0.0,11160.475079309213,12.5,699.2406953042253,16882.420091324202,0,0,1,0,0,0
15,0.0,24590.345528116748,-315.2869149843886,5.0,1.12,2.5,-0.0,0.0,11160.475079309213,12.5,699.2406953042253,16882.420091324202,0,0,1,0,0,0
16,0.0,24590.345528116748,-315.2869149843886,5.0,1.12,2.5,-0.0,0.0,11160.475079309213,12.5,699.2406953042253,16882.420091324202,0,0,1,0,0,0
17,0.09,24562.068840822994,-313.0816990519737,5.0,1.12,2.5,-28.177352914677634,28.177352914677634,11170.544854183328,12.5,696.7884125206244,16882.420091324202,0,0,1,0,0,0
18,0.09,24562.068840822994,-313.0816990519737,5.0,1.12,2.5,-28.177352914677634,28.177352914677634,11170.544854183328,12.5,696.7884125206244,16882.420091324202,0,0,1,0,0,0
19,0.09,24562.068840822994,-313.0816990519737,5.0,1.12,2.5,-28.177352914677634,28.177352914677634,11170.544854183328,12.5,696.7884125206244,16882.420091324202,0,0,1,0,0,0
20,0.06,24571.47234375708,-313.8182489865088,5.0,1.12,2.5,-18.82909493919053,18.82909493919053,11167.120284583507,12.5,697.6009318045235,16882.420091324202,0,0,1,0,0,0
21,0.0,24590.345528116748,-315.2869149843886,5.0,1.12,2.5,-0.0,0.0,11160.475079309213,12.5,699.2406953042253,16882.420091324202,0,0,1,0,0,0
22,0.0,24590.345528116748,-315.2869149843886,5.0,1.12,2.5,-0.0,0.0,11160.475079309213,12.5,699.2406953042253,16882.420091324202,0,0,1,0,0,0
23,0.0,24590.345528116748,-315.2869149843886,5.0,1.12,2.5,-0.0,0.0,11160.475079309213,12.5,699.2406953042253,16882.420091324202,0,0,1,0,0,0
24,0.0,24590.345528116748,-315.2869149843886,5.0,1.12,2.5,-0.0,0.0,11160.475079309213,12.5,699.2406953042253,16882.420091324202,0,0,1,0,0,0
25,0.0,24590.345528116748,-315.2869149843886,5.0,1.12,2.5,-0.0,0.0,11160.475079309213,12.5,699.2406953042253,16882.420091324202,0,0,1,0,0,0
