,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,-32.7913,20674.230636601293,-382.00003111111107,5.0,7.61,2.5,12526.277620173776,-12526.277620173776,11132.256703866427,12.5,803.0039247316465,16882.420091324202,0,0,1,0,0,0
1,-35.0753,21546.718707659078,-382.00003111111107,5.0,7.61,2.5,13398.765691231554,-13398.765691231554,11132.256703866427,12.5,803.0039247316465,16882.420091324202,0,0,1,0,0,0
2,-32.224,20457.52201895196,-382.00003111111107,5.0,7.61,2.5,12309.569002524442,-12309.569002524442,11132.256703866427,12.5,803.0039247316465,16882.420091324202,0,0,1,0,0,0
3,-29.0961,19262.664121639522,-382.00003111111107,5.0,7.61,2.5,11114.711105211998,-11114.711105211998,11132.256703866427,12.5,803.0039247316465,16882.420091324202,0,0,1,0,0,0
4,-33.8087,21062.87746825374,-382.00003111111107,5.0,7.61,2.5,12914.924451826222,-12914.924451826222,11132.256703866427,12.5,803.0039247316465,16882.420091324202,0,0,1,0,0,0
5,-33.5117,20949.423459013742,-382.00003111111107,5.0,7.61,2.5,12801.47044258622,-12801.47044258622,11132.256703866427,12.5,803.0039247316465,16882.420091324202,0,0,1,0,0,0
6,-32.6297,20612.499431573742,-382.00003111111107,5.0,7.61,2.5,12464.54641514622,-12464.54641514622,11132.256703866427,12.5,803.0039247316465,16882.420091324202,0,0,1,0,0,0
7,-14.6237,13734.206871387074,-382.00003111111107,5.0,7.61,2.5,5586.253854959555,-5586.253854959555,11132.256703866427,12.5,803.0039247316465,16882.420091324202,0,0,1,0,0,0
8,-16.9994,14641.72434529774,-382.00003111111107,5.0,7.61,2.5,6493.771328870222,-6493.771328870222,11132.256703866427,12.5,803.0039247316465,16882.420091324202,0,0,1,0,0,0
9,-18.4992,15214.647991958182,-382.00003111111107,5.0,7.61,2.5,7066.694975530665,-7066.694975530665,11132.256703866427,12.5,803.0039247316465,16882.420091324202,0,0,1,0,0,0
10,6.5726,6130.883664106714,-315.040141420155,5.0,7.61,2.5,-2070.632833498111,2070.632833498111,11161.574546519421,12.5,698.9633434210228,16882.420091324202,0,0,1,0,0,0
11,17.3556,3028.75382252821,-258.7756359860017,5.0,7.61,2.5,-4491.206427918651,4491.206427918651,11583.516284616931,12.5,654.0542903703696,16882.420091324202,0,0,1,0,0,0
12,27.5914,699.9982466442707,-193.70678641207252,5.0,7.61,2.5,-5344.641426610057,5344.641426610057,12447.2119649951,12.5,642.3332097172388,16882.420091324202,0,0,1,0,0,0
13,6.1183,6274.502562512409,-317.2222766150226,5.0,7.61,2.5,-1940.8610550136927,1940.8610550136927,11152.092541423706,12.5,701.4415761645346,16882.420091324202,0,0,1,0,0,0
14,-12.1255,12779.894393665292,-382.00003111111107,5.0,7.61,2.5,4631.9413772377775,-4631.9413772377775,11132.256703866427,12.5,803.0039247316465,16882.420091324202,0,0,1,0,0,0
