,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,26.69299999,10879.923950531585,-659.6383232550305,5.0,2.94,2.5,-17607.725756050146,17607.725756050146,3138.0483456800653,12.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
1,26.69815926,10876.520698319564,-659.6383232550305,5.0,2.94,2.5,-17611.129008262167,17611.129008262167,3138.0483456800653,12.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
2,48.05243606,6343.720395754196,650.0,0,2.94,2.5,31234.083438999998,-31234.083438999998,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
3,31.69200003,7582.391946194159,-659.6383232550305,5.0,2.94,2.5,-20905.257760387576,20905.257760387576,3138.0483456800653,12.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
4,26.69815948,10876.520553199134,-659.6383232550305,5.0,2.94,2.5,-17611.129153382597,17611.129153382597,3138.0483456800653,12.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
5,26.69300002,10879.923930742436,-659.6383232550305,5.0,2.94,2.5,-17607.725775839295,17607.725775839295,3138.0483456800653,12.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
6,26.69300001,10879.923937338819,-659.6383232550305,5.0,2.94,2.5,-17607.725769242912,17607.725769242912,3138.0483456800653,12.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
7,26.69300001,10879.923937338819,-659.6383232550305,5.0,2.94,2.5,-17607.725769242912,17607.725769242912,3138.0483456800653,12.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
8,26.69300001,10879.923937338819,-659.6383232550305,5.0,2.94,2.5,-17607.725769242912,17607.725769242912,3138.0483456800653,12.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
9,26.69300003,10879.923924146053,-659.6383232550305,5.0,2.94,2.5,-17607.72578243568,17607.72578243568,3138.0483456800653,12.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
10,26.693,10879.923943935202,-659.6383232550305,5.0,2.94,2.5,-17607.72576264653,17607.72576264653,3138.0483456800653,12.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
11,20.02244479,15280.07779783971,-659.6383232550305,5.0,2.94,2.5,-13207.571908742022,13207.571908742022,3138.0483456800653,12.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
12,19.02500003,15938.030586865625,-659.6383232550305,5.0,2.94,2.5,-12549.619119716106,12549.619119716106,3138.0483456800653,12.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
13,19.09099396,15894.498461535417,-659.6383232550305,5.0,2.94,2.5,-12593.151245046314,12593.151245046314,3138.0483456800653,12.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
14,19.025,15938.030606654776,-659.6383232550305,5.0,2.94,2.5,-12549.619099926955,12549.619099926955,3138.0483456800653,12.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
15,19.5139992,15615.467994293725,-659.6383232550305,5.0,2.94,2.5,-12872.181712288007,12872.181712288007,3138.0483456800653,12.5,116.83198947648592,14308.219178082192,0,1,0,0,0,0
