model3, CAISO_NP15_2019, 1.0231777469317118, 3.4702774047851563, 4.493455151716868, optimal
model4, CAISO_NP15_2019, 0.23915381828943888, 3.173194098472595, 3.412347916762034, optimal
model5, CAISO_NP15_2019, 1.6887404998143514, 7.876588630676269, 9.565329130490621, optimal
model6, CAISO_NP15_2019, 0.19956538279851277, 0.4883317510286967, 0.6878971338272095, optimal
model3, CAISO_NP15_2022, 0.7207227508227031, 7.665864368279775, 8.386587119102478, optimal
model4, CAISO_NP15_2022, 0.263152019182841, 2.150681372483571, 2.413833391666412, optimal
model5, CAISO_NP15_2022, 1.610330065091451, 8.114126300811767, 9.724456365903219, optimal
model6, CAISO_NP15_2022, 0.20679778655370076, 0.9859346350034078, 1.1927324215571087, optimal
model3, CAISO_ZP26_2019, 1.030495329697927, 3.4386604189872743, 4.469155748685202, optimal
model4, CAISO_ZP26_2019, 0.24659725030263266, 5.410940265655517, 5.65753751595815, optimal
model5, CAISO_ZP26_2019, 1.8062239289283752, 9.085427383581797, 10.891651312510172, optimal
model6, CAISO_ZP26_2019, 0.1886865496635437, 0.44654328425725304, 0.6352298339207967, optimal
model3, CAISO_ZP26_2022, 0.7283368508021036, 4.9543384154637655, 5.6826752662658695, optimal
model4, CAISO_ZP26_2022, 0.25747196276982626, 2.1744577328364056, 2.431929695606232, optimal
model5, CAISO_ZP26_2022, 1.381148370107015, 12.965866669019062, 14.347015039126077, optimal
model6, CAISO_ZP26_2022, 0.18942664861679076, 0.9722642858823141, 1.1616909344991049, optimal
model3, CAISO_SP15_2019, 1.0263035972913106, 5.7757691184679665, 6.802072715759277, optimal
model4, CAISO_SP15_2019, 0.25340153376261393, 5.402917699019114, 5.656319232781728, optimal
model5, CAISO_SP15_2019, 1.4080361167589823, 5.304469748338064, 6.712505865097046, optimal
model6, CAISO_SP15_2019, 0.19841168721516927, 0.5588399132092794, 0.7572516004244487, optimal
model3, CAISO_SP15_2022, 0.6535399357477824, 6.582052536805471, 7.235592472553254, optimal
model4, CAISO_SP15_2022, 0.25839380025863645, 2.1797746857007345, 2.438168485959371, optimal
model5, CAISO_SP15_2022, 1.9282509843508402, 11.020743000507355, 12.948993984858195, optimal
model6, CAISO_SP15_2022, 0.21252366701761882, 0.8537056485811869, 1.0662293155988056, optimal
model3, ERCOT_NORTH_2019, 1.0734860301017761, 3.1894496003786723, 4.262935630480449, optimal
model4, ERCOT_NORTH_2019, 0.2610878507296244, 2.9661128838857014, 3.2272007346153258, optimal
model5, ERCOT_NORTH_2019, 2.1608609358469644, 3.599485385417938, 5.760346321264903, optimal
model6, ERCOT_NORTH_2019, 0.18876918156941733, 0.43094911575317385, 0.6197182973225912, optimal
model3, ERCOT_NORTH_2022, 0.6538441340128581, 5.639809866746266, 6.293654000759124, optimal
model4, ERCOT_NORTH_2022, 0.23510204950968425, 2.1711494366327924, 2.4062514861424766, optimal
model5, ERCOT_NORTH_2022, 1.4276726643244426, 12.807561651865642, 14.235234316190084, optimal
model6, ERCOT_NORTH_2022, 0.1891241153081258, 0.880250883102417, 1.0693749984105427, optimal
model3, ERCOT_SOUTH_2019, 1.084682035446167, 3.0395254294077554, 4.124207464853923, optimal
model4, ERCOT_SOUTH_2019, 0.25507649580637615, 2.9558562000592548, 3.210932695865631, optimal
model5, ERCOT_SOUTH_2019, 1.8886795163154602, 3.4210734685262043, 5.309752984841665, optimal
model6, ERCOT_SOUTH_2019, 0.1827842672665914, 0.4290165146191915, 0.6118007818857829, optimal
model3, ERCOT_SOUTH_2022, 0.7214144508043925, 3.8777627189954122, 4.5991771697998045, optimal
model4, ERCOT_SOUTH_2022, 0.24418489933013915, 3.8141166011492413, 4.058301500479381, optimal
model5, ERCOT_SOUTH_2022, 1.4813245455423991, 11.16325294971466, 12.64457749525706, optimal
model6, ERCOT_SOUTH_2022, 0.19792255163192748, 1.009140145778656, 1.2070626974105834, optimal
model3, ERCOT_WEST_2019, 1.0600897987683615, 3.1485313296318056, 4.208621128400167, optimal
model4, ERCOT_WEST_2019, 0.2552382469177246, 2.9435174663861594, 3.198755713303884, optimal
