,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,17.6239982,10185.030801127326,-55.06606607403103,5.0,2.94,3.0,-970.4842493698038,970.4842493698038,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
1,21.22599985,9986.682740269654,-55.06606607403103,5.0,2.94,3.0,-1168.8323102274728,1168.8323102274728,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
2,26.69300001,9685.636548232356,-55.06606607403103,5.0,2.94,3.0,-1469.8785022647708,1469.8785022647708,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
3,26.693,9685.636548783015,-55.06606607403103,5.0,2.94,3.0,-1469.8785017141104,1469.8785017141104,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
4,26.69300001,9685.636548232356,-55.06606607403103,5.0,2.94,3.0,-1469.8785022647708,1469.8785022647708,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
5,26.693,9685.636548783015,-55.06606607403103,5.0,2.94,3.0,-1469.8785017141104,1469.8785017141104,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
6,26.69300001,9685.636548232356,-55.06606607403103,5.0,2.94,3.0,-1469.8785022647708,1469.8785022647708,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
7,26.693,9685.636548783015,-55.06606607403103,5.0,2.94,3.0,-1469.8785017141104,1469.8785017141104,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
8,26.693,9685.636548783015,-55.06606607403103,5.0,2.94,3.0,-1469.8785017141104,1469.8785017141104,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
9,26.69300001,9685.636548232356,-55.06606607403103,5.0,2.94,3.0,-1469.8785022647708,1469.8785022647708,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
10,26.69300002,9685.636547681697,-55.06606607403103,5.0,2.94,3.0,-1469.8785028154316,1469.8785028154316,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
11,26.69300004,9685.636546580372,-55.06606607403103,5.0,2.94,3.0,-1469.8785039167528,1469.8785039167528,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
12,26.69300009,9685.63654382707,-55.06606607403103,5.0,2.94,3.0,-1469.8785066700564,1469.8785066700564,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
13,26.69300047,9685.636522901968,-55.06606607403103,5.0,2.94,3.0,-1469.8785275951614,1469.8785275951614,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
14,26.69300003,9685.636547131038,-55.06606607403103,5.0,2.94,3.0,-1469.8785033660922,1469.8785033660922,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
15,26.69300001,9685.636548232356,-55.06606607403103,5.0,2.94,3.0,-1469.8785022647708,1469.8785022647708,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
16,26.693,9685.636548783015,-55.06606607403103,5.0,2.94,3.0,-1469.8785017141104,1469.8785017141104,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
17,26.693,9685.636548783015,-55.06606607403103,5.0,2.94,3.0,-1469.8785017141104,1469.8785017141104,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
18,26.693,9685.636548783015,-55.06606607403103,5.0,2.94,3.0,-1469.8785017141104,1469.8785017141104,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
19,26.693,9685.636548783015,-55.06606607403103,5.0,2.94,3.0,-1469.8785017141104,1469.8785017141104,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
20,26.69299999,9685.636549333682,-55.06606607403103,5.0,2.94,3.0,-1469.8785011634495,1469.8785011634495,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
21,26.693,9685.636548783015,-55.06606607403103,5.0,2.94,3.0,-1469.8785017141104,1469.8785017141104,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
