,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,35.8604,13172.487488493905,-659.6383232550305,5.0,3.87,3.0,-23654.894127254694,23654.894127254694,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
1,32.477,15404.307791394978,-659.6383232550305,5.0,3.87,3.0,-21423.073824353625,21423.073824353625,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
2,34.6972,13939.778786104154,-659.6383232550305,5.0,3.87,3.0,-22887.602829644446,22887.602829644446,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
3,35.1665,13630.210521000568,-659.6383232550305,5.0,3.87,3.0,-23197.17109474803,23197.17109474803,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
4,35.3473,13510.947912156062,-659.6383232550305,5.0,3.87,3.0,-23316.43370359254,23316.43370359254,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
5,35.3269,13524.404533950463,-659.6383232550305,5.0,3.87,3.0,-23302.977081798137,23302.977081798137,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
6,38.0283,11742.457567509322,-659.6383232550305,5.0,3.87,3.0,-25084.924048239278,25084.924048239278,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
7,33.2631,14885.766105484196,-659.6383232550305,5.0,3.87,3.0,-21941.615510264408,21941.615510264408,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
8,26.7427,19186.871828436295,-659.6383232550305,5.0,3.87,3.0,-17640.509787312305,17640.509787312305,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
9,17.0451,25583.780432034277,-659.6383232550305,5.0,3.87,3.0,-11243.601183714321,11243.601183714321,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
10,18.1675,24843.402378012834,-659.6383232550305,5.0,3.87,3.0,-11983.979237735768,11983.979237735768,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
11,15.5813,26549.359009614993,-659.6383232550305,5.0,3.87,3.0,-10278.022606133607,10278.022606133607,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
12,3.3362,34626.69624170517,-659.6383232550305,5.0,3.87,3.0,-2200.6853740434326,2200.6853740434326,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
13,12.6683,28470.885445256896,-659.6383232550305,5.0,3.87,3.0,-8356.496170491704,8356.496170491704,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
14,12.1062,28841.66814675855,-659.6383232550305,5.0,3.87,3.0,-7985.71346899005,7985.71346899005,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
15,28.3305,18139.498098771957,-659.6383232550305,5.0,3.87,3.0,-18687.883516976643,18687.883516976643,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
16,53.7603,6882.579755991862,650.0,0,3.87,3.0,34944.195,-34944.195,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
17,54.946,7653.284755991864,650.0,0,3.87,3.0,35714.9,-35714.9,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
18,57.6427,9406.139755991859,650.0,0,3.87,3.0,37467.755,-37467.755,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
19,49.6071,4182.999755991864,650.0,0,3.87,3.0,32244.615,-32244.615,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
