,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,13.5842,36423.134008459456,-719.9264517352749,5.0,2.39,3.0,-9779.62490566232,9779.62490566232,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
1,14.6436,35660.443925491105,-719.9264517352749,5.0,2.39,3.0,-10542.314988630671,10542.314988630671,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
2,15.4688,35066.36061751916,-719.9264517352749,5.0,2.39,3.0,-11136.39829660262,11136.39829660262,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
3,16.1243,34594.44882840668,-719.9264517352749,5.0,2.39,3.0,-11608.310085715095,11608.310085715095,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
4,16.0891,34619.79023950777,-719.9264517352749,5.0,2.39,3.0,-11582.96867461401,11582.96867461401,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
5,17.0293,33942.91538958626,-719.9264517352749,5.0,2.39,3.0,-12259.843524535516,12259.843524535516,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
6,17.9819,33257.11345166324,-719.9264517352749,5.0,2.39,3.0,-12945.645462458539,12945.645462458539,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
7,18.1232,33155.38784403304,-719.9264517352749,5.0,2.39,3.0,-13047.371070088735,13047.371070088735,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
8,18.9722,32544.17028650979,-719.9264517352749,5.0,2.39,3.0,-13658.588627611984,13658.588627611984,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
9,20.1501,31696.16891901081,-719.9264517352749,5.0,2.39,3.0,-14506.589995110962,14506.589995110962,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
10,21.1117,31003.88764302217,-719.9264517352749,5.0,2.39,3.0,-15198.871271099602,15198.871271099602,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
11,21.5465,30690.863621807668,-719.9264517352749,5.0,2.39,3.0,-15511.895292314102,15511.895292314102,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
12,21.7985,30509.44215597038,-719.9264517352749,5.0,2.39,3.0,-15693.31675815139,15693.31675815139,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
13,21.9718,30384.678901884658,-719.9264517352749,5.0,2.39,3.0,-15818.080012237115,15818.080012237115,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
14,22.733,29836.670886823766,-719.9264517352749,5.0,2.39,3.0,-16366.088027298005,16366.088027298005,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
15,23.5845,29223.653513171183,-719.9264517352749,5.0,2.39,3.0,-16979.10540095059,16979.10540095059,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
16,24.8816,28289.836912625356,-719.9264517352749,5.0,2.39,3.0,-17912.922001496416,17912.922001496416,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
17,32.3597,22906.1549139038,-719.9264517352749,5.0,2.39,3.0,-23296.604000217972,23296.604000217972,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
18,33.2868,22238.711100500026,-719.9264517352749,5.0,2.39,3.0,-23964.04781362175,23964.04781362175,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
19,32.6639,22687.153287285928,-719.9264517352749,5.0,2.39,3.0,-23515.605626835844,23515.605626835844,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
20,30.2463,24427.647477001126,-719.9264517352749,5.0,2.39,3.0,-21775.111437120646,21775.111437120646,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
21,28.2038,25898.097254670425,-719.9264517352749,5.0,2.39,3.0,-20304.661659451347,20304.661659451347,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
22,26.3638,27222.76192586333,-719.9264517352749,5.0,2.39,3.0,-18979.99698825844,18979.99698825844,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
23,23.8481,29033.880900493765,-719.9264517352749,5.0,2.39,3.0,-17168.878013628007,17168.878013628007,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
24,23.5776,29228.621005688157,-719.9264517352749,5.0,2.39,3.0,-16974.13790843362,16974.13790843362,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
25,22.9332,29692.541611186367,-719.9264517352749,5.0,2.39,3.0,-16510.217302935405,16510.217302935405,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
26,22.9203,29701.82866241375,-719.9264517352749,5.0,2.39,3.0,-16500.93025170802,16500.93025170802,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
27,23.2009,29499.81730005683,-719.9264517352749,5.0,2.39,3.0,-16702.94161406494,16702.94161406494,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
28,23.818,29055.550686690993,-719.9264517352749,5.0,2.39,3.0,-17147.20822743078,17147.20822743078,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
29,23.2923,29434.01602236823,-719.9264517352749,5.0,2.39,3.0,-16768.742891753544,16768.742891753544,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
30,25.6281,27752.411816404976,-719.9264517352749,5.0,2.39,3.0,-18450.3470977168,18450.3470977168,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
31,31.7003,23380.874416178038,-719.9264517352749,5.0,2.39,3.0,-22821.884497943734,22821.884497943734,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
32,37.8694,18939.576142777958,-719.9264517352749,5.0,2.39,3.0,-27263.182771343818,27263.182771343818,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
33,45.2034,13659.635545751447,-719.9264517352749,5.0,2.39,3.0,-32543.123368370325,32543.123368370325,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
34,44.0954,14457.314054274135,-719.9264517352749,5.0,2.39,3.0,-31745.444859847637,31745.444859847637,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
35,82.4864,-8726.52496013813,-139.1597779405625,1.0,2.39,3.0,-11478.789107116414,11478.789107116414,0.0,3.0,381.0691863550488,7666.666666666666,0,1,0,0,0,0
36,37.7703,19010.92085414492,-719.9264517352749,5.0,2.39,3.0,-27191.838059976853,27191.838059976853,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
37,51.9785,8782.061842599793,-719.9264517352749,5.0,2.39,3.0,-37420.69707152199,37420.69707152199,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
38,34.2914,21515.472987086763,-719.9264517352749,5.0,2.39,3.0,-24687.28592703501,24687.28592703501,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
39,34.2936,21513.88914889295,-719.9264517352749,5.0,2.39,3.0,-24688.86976522882,24688.86976522882,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
40,37.7177,19048.788985506195,-719.9264517352749,5.0,2.39,3.0,-27153.969928615577,27153.969928615577,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
41,71.4377,-5227.130967007277,-719.9264517352749,5.0,2.39,3.0,-51429.88988112905,51429.88988112905,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
42,56.6606,5411.2942029300575,-719.9264517352749,5.0,2.39,3.0,-40791.46471119172,40791.46471119172,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
43,42.2795,15764.628497980219,-719.9264517352749,5.0,2.39,3.0,-30438.130416141554,30438.130416141554,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
44,39.7544,17582.514781256963,-719.9264517352749,5.0,2.39,3.0,-28620.24413286481,28620.24413286481,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
45,33.352,22191.771895846887,-719.9264517352749,5.0,2.39,3.0,-24010.987018274885,24010.987018274885,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
46,30.4373,24290.14152471969,-719.9264517352749,5.0,2.39,3.0,-21912.617389402083,21912.617389402083,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
47,28.1372,25946.044356355997,-719.9264517352749,5.0,2.39,3.0,-20256.714557765776,20256.714557765776,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
48,25.0018,28203.301753126776,-719.9264517352749,5.0,2.39,3.0,-17999.457160994996,17999.457160994996,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
49,22.8495,29752.79945519661,-719.9264517352749,5.0,2.39,3.0,-16449.959458925165,16449.959458925165,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
50,22.0508,30327.804712197572,-719.9264517352749,5.0,2.39,3.0,-15874.954201924198,15874.954201924198,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
51,22.2736,30167.405098750954,-719.9264517352749,5.0,2.39,3.0,-16035.353815370818,16035.353815370818,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
52,23.387,29365.8389873889,-719.9264517352749,5.0,2.39,3.0,-16836.919926732873,16836.919926732873,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
53,25.3283,27968.245766635213,-719.9264517352749,5.0,2.39,3.0,-18234.513147486563,18234.513147486563,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
54,26.7197,26966.54010169075,-719.9264517352749,5.0,2.39,3.0,-19236.218812431023,19236.218812431023,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
55,30.9928,23890.222380780746,-719.9264517352749,5.0,2.39,3.0,-22312.536533341026,22312.536533341026,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
56,28.8606,25425.249561170698,-719.9264517352749,5.0,2.39,3.0,-20777.509352951074,20777.509352951074,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
57,29.5714,24913.525839277263,-719.9264517352749,5.0,2.39,3.0,-21289.23307484451,21289.23307484451,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
58,31.213,23731.69457610864,-719.9264517352749,5.0,2.39,3.0,-22471.064338013137,22471.064338013137,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
59,27.2273,26601.105434789923,-719.9264517352749,5.0,2.39,3.0,-19601.65347933185,19601.65347933185,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
60,24.7343,28395.882078965962,-719.9264517352749,5.0,2.39,3.0,-17806.87683515581,17806.87683515581,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
61,21.9191,30422.619025891105,-719.9264517352749,5.0,2.39,3.0,-15780.139888230664,15780.139888230664,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
62,19.6595,32049.364836232136,-719.9264517352749,5.0,2.39,3.0,-14153.394077889638,14153.394077889638,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
63,19.9447,31844.041812197236,-719.9264517352749,5.0,2.39,3.0,-14358.717101924538,14358.717101924538,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
64,22.076,30309.662565613846,-719.9264517352749,5.0,2.39,3.0,-15893.096348507928,15893.096348507928,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
65,32.5215,22789.670814013025,-719.9264517352749,5.0,2.39,3.0,-23413.088100108744,23413.088100108744,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
66,33.0429,22414.301162078256,-719.9264517352749,5.0,2.39,3.0,-23788.457752043516,23788.457752043516,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
67,29.1633,25207.327824230433,-719.9264517352749,5.0,2.39,3.0,-20995.431089891343,20995.431089891343,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
68,28.5321,25661.745400565735,-719.9264517352749,5.0,2.39,3.0,-20541.013513556038,20541.013513556038,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
69,27.1396,26664.242984607103,-719.9264517352749,5.0,2.39,3.0,-19538.515929514666,19538.515929514666,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
70,26.2236,27323.695614396616,-719.9264517352749,5.0,2.39,3.0,-18879.063299725156,18879.063299725156,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
