,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,60.3951,351.5631985464614,650.0,0,7.05,3.0,39256.815,-39256.815,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
1,32.716,12988.963340901137,-659.6383232550305,5.0,7.05,3.0,-21580.72738361158,21580.72738361158,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
2,25.2812,17893.24234663764,-659.6383232550305,5.0,7.05,3.0,-16676.448377875076,16676.448377875076,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
3,22.2177,19914.044349929427,-659.6383232550305,5.0,7.05,3.0,-14655.646374583292,14655.646374583292,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
4,16.3085,23811.979129708052,-659.6383232550305,5.0,7.05,3.0,-10757.711594804665,10757.711594804665,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
5,12.0084,26648.489883537008,-659.6383232550305,5.0,7.05,3.0,-7921.200840975708,7921.200840975708,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
6,12.9724,26012.598539919156,-659.6383232550305,5.0,7.05,3.0,-8557.092184593557,8557.092184593557,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
7,11.2342,27159.181873401052,-659.6383232550305,5.0,7.05,3.0,-7410.508851111664,7410.508851111664,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
8,8.6272,28878.858982126916,-659.6383232550305,5.0,7.05,3.0,-5690.8317423858,5690.8317423858,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
9,-0.1074,34640.5358804303,-659.6383232550305,5.0,7.05,3.0,70.84515591759028,-70.84515591759028,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
