,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,25.9,1565.2053978156905,-254.0010273145092,5.0,10.76,3.0,-6578.626607445788,6578.626607445788,11634.098564086562,15.0,651.8247021538232,16882.420091324202,0,0,1,0,0,0
1,25.87,1572.827299889302,-254.1257691096812,5.0,10.76,3.0,-6574.233646867453,6574.233646867453,11632.749462060685,15.0,651.8799999794562,16882.420091324202,0,0,1,0,0,0
2,27.51,1161.6939188877814,-247.23018994471317,5.0,10.76,3.0,-6801.30252537906,6801.30252537906,11709.518868952553,15.0,649.0578920267244,16882.420091324202,0,0,1,0,0,0
3,25.14,1759.4431628455222,-257.1456214514203,5.0,10.76,3.0,-6464.640923288707,6464.640923288707,11600.540113456775,15.0,653.2669490585595,16882.420091324202,0,0,1,0,0,0
4,29.28,730.8158103882978,-239.60488611077085,5.0,10.76,3.0,-7015.63106532337,7015.63106532337,11799.530167593504,15.0,646.4849326686364,16882.420091324202,0,0,1,0,0,0
5,28.43,936.0499995844921,-243.2913605699573,5.0,10.76,3.0,-6916.773381003886,6916.773381003886,11755.35093686082,15.0,647.6578673131216,16882.420091324202,0,0,1,0,0,0
6,24.94,1810.954545233637,-257.967838032308,5.0,10.76,3.0,-6433.717880525762,6433.717880525762,11591.92107810526,15.0,653.660695492732,16882.420091324202,0,0,1,0,0,0
7,22.9,2345.676406903969,-266.23299271696465,5.0,10.76,3.0,-6096.73553321849,6096.73553321849,11508.908107095616,15.0,658.0070562572275,16882.420091324202,0,0,1,0,0,0
8,23.88,2086.69629865727,-262.28963657318775,5.0,10.76,3.0,-6263.476521367723,6263.476521367723,11547.686372318109,15.0,655.8447886184865,16882.420091324202,0,0,1,0,0,0
9,22.28,2511.5074595204646,-268.70270108468253,5.0,10.76,3.0,-5986.696180166727,5986.696180166727,11485.399462113732,15.0,659.44454673889,16882.420091324202,0,0,1,0,0,0
10,31.02,320.5688296302635,-231.90902215750725,5.0,10.76,3.0,-7193.817867325874,7193.817867325874,11895.689014249056,15.0,644.45705938486,16882.420091324202,0,0,1,0,0,0
11,34.56,-471.75263827540664,-215.56862914433168,5.0,10.76,3.0,-7450.051823228104,7450.051823228104,12116.92183712133,15.0,641.9777899164282,16882.420091324202,0,0,1,0,0,0
12,32.98,-125.27096718724783,-222.98195589769125,5.0,10.76,3.0,-7353.944905505857,7353.944905505857,12013.734610407362,15.0,642.800900677729,16882.420091324202,0,0,1,0,0,0
13,33.23,-180.87160699924402,-221.82234480461864,5.0,10.76,3.0,-7371.1565178574765,7371.1565178574765,12029.57038424445,15.0,642.6394922813049,16882.420091324202,0,0,1,0,0,0
14,32.4,4.834588000311896,-225.65357891253075,5.0,10.76,3.0,-7311.175956765996,7311.175956765996,11977.686497394452,15.0,643.2194290759387,16882.420091324202,0,0,1,0,0,0
15,31.32,251.19817491426488,-230.560938562562,5.0,10.76,3.0,-7221.168595779442,7221.168595779442,11913.072202483057,15.0,644.1595409871409,16882.420091324202,0,0,1,0,0,0
16,38.94,-1369.05121570831,-193.85008328323215,5.0,10.76,3.0,-7548.522243049059,7548.522243049059,12444.925312933128,15.0,642.3178480408276,16882.420091324202,0,0,1,0,0,0
17,41.89,-1917.8880417138714,-178.06796914047925,5.0,10.76,3.0,-7459.267227294676,7459.267227294676,12705.942536116145,15.0,644.99219626022,16882.420091324202,0,0,1,0,0,0
18,37.3,-1044.2521011875508,-202.19985776875365,5.0,10.76,3.0,-7542.054694774511,7542.054694774511,12314.408718857121,15.0,641.7144610384751,16882.420091324202,0,0,1,0,0,0
19,33.45,-229.55989390301102,-220.79780429851996,5.0,10.76,3.0,-7385.686553785494,7385.686553785494,12043.656348121753,15.0,642.5070257638959,16882.420091324202,0,0,1,0,0,0
20,31.44,223.5633143042728,-230.0198985611213,5.0,10.76,3.0,-7231.8256107616535,7231.8256107616535,11920.093458011896,15.0,644.0449184044442,16882.420091324202,0,0,1,0,0,0
21,30.85,360.05808382202827,-232.67009891896305,5.0,10.76,3.0,-7177.872551650011,7177.872551650011,11885.945525916573,15.0,644.6325630539125,16882.420091324202,0,0,1,0,0,0
22,27.92,1060.687714448377,-245.48129181164973,5.0,10.76,3.0,-6853.837667381261,6853.837667381261,11729.692939141505,15.0,648.4174170808692,16882.420091324202,0,0,1,0,0,0
23,24.93,1813.5344288861027,-258.00889155256186,5.0,10.76,3.0,-6432.161666405367,6432.161666405367,11591.49242394685,15.0,653.6805369888341,16882.420091324202,0,0,1,0,0,0
24,18.32,3606.1919543094837,-284.04850330297324,5.0,10.76,3.0,-5203.76858051047,5203.76858051047,11353.062744351977,15.0,669.8467201845167,16882.420091324202,0,0,1,0,0,0
25,18.78,3475.930921040555,-282.30219156956787,5.0,10.76,3.0,-5301.635157676485,5301.635157676485,11366.909343128835,15.0,668.5331665953532,16882.420091324202,0,0,1,0,0,0
26,-3.6,10678.498497702596,-358.742281964953,5.0,10.76,3.0,1291.472215073831,-1291.472215073831,11078.951706617288,15.0,760.0739058655809,16882.420091324202,0,0,1,0,0,0
27,18.89,3444.9007178459406,-281.88322866681165,5.0,10.76,3.0,-5324.7741895160725,5324.7741895160725,11370.278272617415,15.0,668.2230525890402,16882.420091324202,0,0,1,0,0,0
28,19.77,3198.3241736014975,-278.51230449644333,5.0,10.76,3.0,-5506.188259894685,5506.188259894685,11398.04180560748,15.0,665.798283248288,16882.420091324202,0,0,1,0,0,0
29,22.65,2412.359489222754,-267.23114428315705,5.0,10.76,3.0,-6052.785418013506,6052.785418013506,11499.334379929693,15.0,658.5802665880749,16882.420091324202,0,0,1,0,0,0
30,25.78,1595.7154489555949,-254.49968953420353,5.0,10.76,3.0,-6561.001996191767,6561.001996191767,11628.714280804405,15.0,652.046703018171,16882.420091324202,0,0,1,0,0,0
31,28.21,989.6782875768756,-244.23802466457312,5.0,10.76,3.0,-6889.954675787608,6889.954675787608,11744.205574142201,15.0,647.9804345036039,16882.420091324202,0,0,1,0,0,0
32,30.42,460.5186369030773,-234.58614266665916,5.0,10.76,3.0,-7136.1104599197715,7136.1104599197715,11861.641895210993,15.0,645.0985963619394,16882.420091324202,0,0,1,0,0,0
33,31.64,177.64969117471855,-229.11584834533699,5.0,10.76,3.0,-7249.225441646462,7249.225441646462,11931.882545525408,15.0,643.8594840325836,16882.420091324202,0,0,1,0,0,0
34,41.84,-1908.977728975613,-178.34448494829098,5.0,10.76,3.0,-7461.933250236495,7461.933250236495,12701.213310774807,15.0,644.9286353929928,16882.420091324202,0,0,1,0,0,0
35,47.04,-2758.1970054826816,-147.54138297739792,5.0,10.76,3.0,-6940.346655256798,6940.346655256798,13259.99908673873,15.0,655.4324821350017,16882.420091324202,0,0,1,0,0,0
36,64.82,-4037.8634226658996,1.493512888888858,5.0,10.76,3.0,96.80950545777577,-96.80950545777577,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
37,61.2,-4040.799720896221,-8.989276726787885,5.0,10.76,3.0,-550.1437356794186,550.1437356794186,16366.325275380526,15.0,766.2313773553929,16882.420091324202,0,0,1,0,0,0
38,64.29,-4038.654984497016,1.493512888888858,5.0,10.76,3.0,96.01794362666469,-96.01794362666469,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
39,56.42,-3823.904965177775,-74.16666068235807,5.0,10.76,3.0,-4184.482995698642,4184.482995698642,14809.915853531082,15.0,703.9035559842453,16882.420091324202,0,0,1,0,0,0
40,86.3,3762.3573524321614,712.0,0,10.76,3.0,61445.6,-61445.6,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
41,137.7,40359.157352432165,712.0,0,10.76,3.0,98042.4,-98042.4,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
42,116.92,25563.79735243218,712.0,0,10.76,3.0,83247.04000000001,-83247.04000000001,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
43,65.5,-4036.8478339014564,1.493512888888858,5.0,10.76,3.0,97.8250942222202,-97.8250942222202,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
44,45.54,-2529.8165713113895,-156.89434659895062,5.0,10.76,3.0,-7144.968544116211,7144.968544116211,13083.730640041233,15.0,651.5361515172051,16882.420091324202,0,0,1,0,0,0
45,41.9,-1919.6684447008317,-178.01262602724603,5.0,10.76,3.0,-7458.729030541608,7458.729030541608,12706.889717647327,15.0,645.0049875668681,16882.420091324202,0,0,1,0,0,0
46,40.71,-1703.951060755002,-184.50741385455933,5.0,10.76,3.0,-7511.29681801911,7511.29681801911,12597.233971629845,15.0,643.6645734168688,16882.420091324202,0,0,1,0,0,0
47,35.5,-672.273606271054,-211.05893566227246,5.0,10.76,3.0,-7492.592216010672,7492.592216010672,12181.924739285492,15.0,641.7160060149401,16882.420091324202,0,0,1,0,0,0
48,34.04,-359.01576712162284,-218.0309571748686,5.0,10.76,3.0,-7421.773782232527,7421.773782232527,12082.137922486589,15.0,642.196543801162,16882.420091324202,0,0,1,0,0,0
49,15.44,4439.789888231268,-294.7827113255422,5.0,10.76,3.0,-4551.445062866372,4551.445062866372,11274.973299062352,15.0,678.6724014897202,16882.420091324202,0,0,1,0,0,0
50,5.33,7601.358916628843,-330.08114358875633,5.0,10.76,3.0,-1759.3324953280712,1759.3324953280712,11107.3656367837,15.0,717.2382135078922,16882.420091324202,0,0,1,0,0,0
51,30.7,395.00885714623587,-233.33994935300132,5.0,10.76,3.0,-7163.536445137141,7163.536445137141,11877.412112744323,15.0,644.7915445985498,16882.420091324202,0,0,1,0,0,0
52,20.9,2886.0743030861254,-274.1325864734239,5.0,10.76,3.0,-5729.371057294559,5729.371057294559,11435.846786763463,15.0,662.8333207894952,16882.420091324202,0,0,1,0,0,0
53,14.43,4739.385181539306,-298.46895641914955,5.0,10.76,3.0,-4306.907041128328,4306.907041128328,11250.987383936936,15.0,682.0061812205097,16882.420091324202,0,0,1,0,0,0
54,29.81,604.4398440147212,-237.28245419048983,5.0,10.76,3.0,-7073.389959418501,7073.389959418501,11827.99257021217,15.0,645.8134411061641,16882.420091324202,0,0,1,0,0,0
55,37.12,-1007.7750995650838,-203.09962965360296,5.0,10.76,3.0,-7539.058252741741,7539.058252741741,12300.668020971663,15.0,641.6841071608849,16882.420091324202,0,0,1,0,0,0
56,41.89,-1917.8880417138714,-178.06796914047925,5.0,10.76,3.0,-7459.267227294676,7459.267227294676,12705.942536116145,15.0,644.99219626022,16882.420091324202,0,0,1,0,0,0
57,52.7,-3483.84661574416,-107.37024059432736,5.0,10.76,3.0,-5658.411679321052,5658.411679321052,14075.241656610791,15.0,678.3994095486505,16882.420091324202,0,0,1,0,0,0
58,101.53,14606.117352432164,712.0,0,10.76,3.0,72289.36,-72289.36,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
59,128.87,34072.19735243217,712.0,0,10.76,3.0,91755.44,-91755.44,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
60,172.25,64958.75735243217,712.0,0,10.76,3.0,122642.0,-122642.0,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
61,179.58,70177.71735243216,712.0,0,10.76,3.0,127860.96,-127860.96,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
62,164.23,59248.51735243215,712.0,0,10.76,3.0,116931.76,-116931.76,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
63,142.08,43477.71735243216,712.0,0,10.76,3.0,101160.96,-101160.96,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
64,160.4,56521.55735243216,712.0,0,10.76,3.0,114204.8,-114204.8,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
65,192.53,79398.11735243218,712.0,0,10.76,3.0,137081.36000000002,-137081.36000000002,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
66,176.45,67949.15735243216,712.0,0,10.76,3.0,125632.4,-125632.4,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
67,155.63,53125.31735243217,712.0,0,10.76,3.0,110808.56,-110808.56,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
68,130.25,35054.75735243217,712.0,0,10.76,3.0,92738.0,-92738.0,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
69,100.19,13652.037352432162,712.0,0,10.76,3.0,71335.28,-71335.28,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
70,130.41,35168.677352432154,712.0,0,10.76,3.0,92851.92,-92851.92,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
71,96.04,10697.237352432174,712.0,0,10.76,3.0,68380.48000000001,-68380.48000000001,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
72,122.3,29394.357352432147,712.0,0,10.76,3.0,87077.59999999999,-87077.59999999999,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
73,112.34,22302.837352432165,712.0,0,10.76,3.0,79986.08,-79986.08,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
74,110.37,20900.197352432166,712.0,0,10.76,3.0,78583.44,-78583.44,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
75,103.96,16336.277352432153,712.0,0,10.76,3.0,74019.51999999999,-74019.51999999999,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
76,136.59,39568.83735243216,712.0,0,10.76,3.0,97252.08,-97252.08,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
77,135.69,38928.03735243217,712.0,0,10.76,3.0,96611.28,-96611.28,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
78,179.75,70298.75735243216,712.0,0,10.76,3.0,127982.0,-127982.0,16509.607156140763,0,610.0141851860321,16882.420091324202,1,0,0,0,0,0
