,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,28.72,25526.471220284675,-719.926451735275,5.0,8.04,3.0,-20676.287693837097,20676.287693837097,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
1,29.41,25029.721968587335,-719.926451735275,5.0,8.04,3.0,-21173.036945534437,21173.036945534437,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
2,25.06,28161.402033635783,-719.926451735275,5.0,8.04,3.0,-18041.35688048599,18041.35688048599,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
3,23.43,29334.882149964276,-719.926451735275,5.0,8.04,3.0,-16867.876764157492,16867.876764157492,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
4,23.23,29478.867440311333,-719.926451735275,5.0,8.04,3.0,-16723.89147381044,16723.89147381044,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
5,22.76,29817.23287262691,-719.926451735275,5.0,8.04,3.0,-16385.52604149486,16385.52604149486,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
6,23.43,29334.882149964276,-719.926451735275,5.0,8.04,3.0,-16867.876764157492,16867.876764157492,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
7,23.54,29255.690240273398,-719.926451735275,5.0,8.04,3.0,-16947.068673848375,16947.068673848375,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
8,23.97,28946.12186602723,-719.926451735275,5.0,8.04,3.0,-17256.63704809454,17256.63704809454,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
9,25.53,27823.0366013202,-719.926451735275,5.0,8.04,3.0,-18379.722312801572,18379.722312801572,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
10,28.88,25411.28298800703,-719.926451735275,5.0,8.04,3.0,-20791.47592611474,20791.47592611474,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
11,35.79,20436.591206516277,-719.926451735275,5.0,8.04,3.0,-25766.16770760549,25766.16770760549,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
12,35.32,20774.95663883186,-719.926451735275,5.0,8.04,3.0,-25427.802275289912,25427.802275289912,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
13,34.24,21552.477206705957,-719.926451735275,5.0,8.04,3.0,-24650.28170741582,24650.28170741582,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
14,33.82,21854.84631643477,-719.926451735275,5.0,8.04,3.0,-24347.912597687002,24347.912597687002,0.0,15.0,130.57441921156305,7666.666666666666,0,1,0,0,0,0
