,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,89.85,18927.177831627097,650.0,0,2.26,3.0,58402.49999999999,-58402.49999999999,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
1,89.85,18927.177831627097,650.0,0,2.26,3.0,58402.49999999999,-58402.49999999999,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
2,89.85,18927.177831627097,650.0,0,2.26,3.0,58402.49999999999,-58402.49999999999,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
3,89.84,18920.677831627105,650.0,0,2.26,3.0,58396.0,-58396.0,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
4,89.81,18901.177831627105,650.0,0,2.26,3.0,58376.5,-58376.5,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
5,89.01,18381.177831627105,650.0,0,2.26,3.0,57856.5,-57856.5,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
6,88.75,18212.177831627105,650.0,0,2.26,3.0,57687.5,-57687.5,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
7,88.74,18205.677831627105,650.0,0,2.26,3.0,57681.0,-57681.0,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
8,89.06,18413.677831627105,650.0,0,2.26,3.0,57889.0,-57889.0,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
9,89.28,18556.677831627105,650.0,0,2.26,3.0,58032.0,-58032.0,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
10,88.26,17893.677831627105,650.0,0,2.26,3.0,57369.0,-57369.0,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
11,0.06,14351.041142353886,-57.12649440525638,5.0,2.26,3.0,-3.427589664315383,3.427589664315383,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
12,0.0,14354.468732018202,-57.12649440525638,5.0,2.26,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
13,0.06,14351.041142353886,-57.12649440525638,5.0,2.26,3.0,-3.427589664315383,3.427589664315383,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
14,0.06,14351.041142353886,-57.12649440525638,5.0,2.26,3.0,-3.427589664315383,3.427589664315383,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
15,0.06,14351.041142353886,-57.12649440525638,5.0,2.26,3.0,-3.427589664315383,3.427589664315383,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
16,0.06,14351.041142353886,-57.12649440525638,5.0,2.26,3.0,-3.427589664315383,3.427589664315383,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
17,0.06,14351.041142353886,-57.12649440525638,5.0,2.26,3.0,-3.427589664315383,3.427589664315383,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
18,0.06,14351.041142353886,-57.12649440525638,5.0,2.26,3.0,-3.427589664315383,3.427589664315383,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
19,91.15,19772.177831627112,650.0,0,2.26,3.0,59247.50000000001,-59247.50000000001,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
20,93.89,21553.177831627105,650.0,0,2.26,3.0,61028.5,-61028.5,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
21,93.89,21553.177831627105,650.0,0,2.26,3.0,61028.5,-61028.5,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
22,93.89,21553.177831627105,650.0,0,2.26,3.0,61028.5,-61028.5,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
23,93.89,21553.177831627105,650.0,0,2.26,3.0,61028.5,-61028.5,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
24,88.72,18192.677831627105,650.0,0,2.26,3.0,57668.0,-57668.0,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
25,88.34,17945.677831627105,650.0,0,2.26,3.0,57421.0,-57421.0,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
26,88.34,17945.677831627105,650.0,0,2.26,3.0,57421.0,-57421.0,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
27,86.53,16769.177831627105,650.0,0,2.26,3.0,56244.5,-56244.5,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
28,86.43,16704.177831627112,650.0,0,2.26,3.0,56179.50000000001,-56179.50000000001,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
29,86.31,16626.177831627105,650.0,0,2.26,3.0,56101.5,-56101.5,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
30,86.31,16626.177831627105,650.0,0,2.26,3.0,56101.5,-56101.5,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
31,86.53,16769.177831627105,650.0,0,2.26,3.0,56244.5,-56244.5,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
32,88.35,17952.177831627097,650.0,0,2.26,3.0,57427.49999999999,-57427.49999999999,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
33,88.36,17958.677831627105,650.0,0,2.26,3.0,57434.0,-57434.0,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
34,88.37,17965.177831627105,650.0,0,2.26,3.0,57440.5,-57440.5,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
35,70.51,10443.667938684623,-55.06606607403103,5.0,2.26,3.0,-3882.708318879928,3882.708318879928,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
36,67.3,10620.430010782264,-55.06606607403103,5.0,2.26,3.0,-3705.946246782288,3705.946246782288,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
37,68.29,10565.914605368976,-55.06606607403103,5.0,2.26,3.0,-3760.461652195579,3760.461652195579,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
38,68.25,10568.117248011935,-55.06606607403103,5.0,2.26,3.0,-3758.2590095526175,3758.2590095526175,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
39,68.27,10567.015926690452,-55.06606607403103,5.0,2.26,3.0,-3759.360330874098,3759.360330874098,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
40,68.24,10568.667908672673,-55.06606607403103,5.0,2.26,3.0,-3757.708348891877,3757.708348891877,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
41,68.31,10564.813284047494,-55.06606607403103,5.0,2.26,3.0,-3761.5629735170596,3761.5629735170596,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
42,70.51,10443.667938684623,-55.06606607403103,5.0,2.26,3.0,-3882.708318879928,3882.708318879928,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
