,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,0.11,12579.73646296855,-57.12649440525638,5.0,2.64,3.0,-6.2839143845782015,6.2839143845782015,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
1,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
2,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
3,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
4,0.03,12584.306582520974,-57.12649440525638,5.0,2.64,3.0,-1.7137948321576915,1.7137948321576915,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
5,0.03,12584.306582520974,-57.12649440525638,5.0,2.64,3.0,-1.7137948321576915,1.7137948321576915,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
6,0.03,12584.306582520974,-57.12649440525638,5.0,2.64,3.0,-1.7137948321576915,1.7137948321576915,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
7,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
8,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
9,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
10,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
11,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
12,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
13,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
14,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
15,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
16,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
17,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
18,0.19,12575.166343416127,-57.12649440525638,5.0,2.64,3.0,-10.854033936998713,10.854033936998713,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
19,0.19,12575.166343416127,-57.12649440525638,5.0,2.64,3.0,-10.854033936998713,10.854033936998713,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
20,0.19,12575.166343416127,-57.12649440525638,5.0,2.64,3.0,-10.854033936998713,10.854033936998713,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
21,0.19,12575.166343416127,-57.12649440525638,5.0,2.64,3.0,-10.854033936998713,10.854033936998713,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
22,0.19,12575.166343416127,-57.12649440525638,5.0,2.64,3.0,-10.854033936998713,10.854033936998713,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
23,0.19,12575.166343416127,-57.12649440525638,5.0,2.64,3.0,-10.854033936998713,10.854033936998713,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
24,0.22,12573.452548583973,-57.12649440525638,5.0,2.64,3.0,-12.567828769156403,12.567828769156403,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
25,0.22,12573.452548583973,-57.12649440525638,5.0,2.64,3.0,-12.567828769156403,12.567828769156403,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
26,0.22,12573.452548583973,-57.12649440525638,5.0,2.64,3.0,-12.567828769156403,12.567828769156403,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
27,0.22,12573.452548583973,-57.12649440525638,5.0,2.64,3.0,-12.567828769156403,12.567828769156403,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
28,0.22,12573.452548583973,-57.12649440525638,5.0,2.64,3.0,-12.567828769156403,12.567828769156403,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
29,0.22,12573.452548583973,-57.12649440525638,5.0,2.64,3.0,-12.567828769156403,12.567828769156403,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
30,0.22,12573.452548583973,-57.12649440525638,5.0,2.64,3.0,-12.567828769156403,12.567828769156403,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
31,0.22,12573.452548583973,-57.12649440525638,5.0,2.64,3.0,-12.567828769156403,12.567828769156403,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
32,0.22,12573.452548583973,-57.12649440525638,5.0,2.64,3.0,-12.567828769156403,12.567828769156403,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
33,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
34,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
35,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
36,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
37,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
38,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
39,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
40,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
41,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
42,83.18,12821.017302040516,650.0,0,2.64,3.0,54067.00000000001,-54067.00000000001,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
43,83.19,12827.51730204051,650.0,0,2.64,3.0,54073.5,-54073.5,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
44,83.18,12821.017302040516,650.0,0,2.64,3.0,54067.00000000001,-54067.00000000001,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
45,82.93,12658.517302040518,650.0,0,2.64,3.0,53904.50000000001,-53904.50000000001,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
46,82.87,12619.517302040511,650.0,0,2.64,3.0,53865.5,-53865.5,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
47,82.87,12619.517302040511,650.0,0,2.64,3.0,53865.5,-53865.5,20595.57773887564,0,3666.0128375198733,25278.538812785388,1,0,0,0,0,0
48,74.98,8521.892271475464,14.125122375667393,4.509826290078128,2.64,3.0,1059.1016757275413,-1059.1016757275413,20373.395139541353,13.529478870234385,3796.069825579896,25278.538812785388,0,0,1,0,0,0
49,74.91,8520.977171682884,12.027067831487559,4.52468961592325,2.64,3.0,900.947651256733,-900.947651256733,20376.913645142424,13.574068847769748,3797.253269172229,25278.538812785388,0,0,1,0,0,0
50,74.85,8520.308725419798,10.259030315903958,4.537214989857601,2.64,3.0,767.8884191454113,-767.8884191454113,20380.027056410163,13.611644969572803,3798.2769277546145,25278.538812785388,0,0,1,0,0,0
51,74.85,8520.308725419798,10.259030315903958,4.537214989857601,2.64,3.0,767.8884191454113,-767.8884191454113,20380.027056410163,13.611644969572803,3798.2769277546145,25278.538812785388,0,0,1,0,0,0
52,69.94,8703.103745338554,-55.06606607403106,5.0,2.64,3.0,-3851.3206612177323,3851.3206612177323,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
53,69.82,8709.711673267437,-55.06606607403106,5.0,2.64,3.0,-3844.7127332888485,3844.7127332888485,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
54,70.58,8667.861463051177,-55.06606607403106,5.0,2.64,3.0,-3886.5629435051123,3886.5629435051123,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
55,70.06,8696.495817409672,-55.06606607403106,5.0,2.64,3.0,-3857.9285891466166,3857.9285891466166,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
56,69.72,8715.218279874836,-55.06606607403106,5.0,2.64,3.0,-3839.2061266814458,3839.2061266814458,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
57,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
58,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
59,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
60,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
61,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
62,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
63,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
64,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
65,0.0,12586.020377353128,-57.12649440525638,5.0,2.64,3.0,-0.0,0.0,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
66,0.12,12579.165198024497,-57.12649440525638,5.0,2.64,3.0,-6.855179328630766,6.855179328630766,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
67,0.16,12576.880138248289,-57.12649440525638,5.0,2.64,3.0,-9.14023910484102,9.14023910484102,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
68,0.16,12576.880138248289,-57.12649440525638,5.0,2.64,3.0,-9.14023910484102,9.14023910484102,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
69,0.13,12578.593933080443,-57.12649440525638,5.0,2.64,3.0,-7.426444272683329,7.426444272683329,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
70,0.13,12578.593933080443,-57.12649440525638,5.0,2.64,3.0,-7.426444272683329,7.426444272683329,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
71,0.13,12578.593933080443,-57.12649440525638,5.0,2.64,3.0,-7.426444272683329,7.426444272683329,20569.84665163058,15.0,3849.378556398874,25278.538812785388,0,0,1,0,0,0
72,32.59,10759.821313203614,-55.06606607403106,5.0,2.64,3.0,-1794.6030933526724,1794.6030933526724,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
73,20.1,11447.596478468262,-55.06606607403106,5.0,2.64,3.0,-1106.8279280880245,1106.8279280880245,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
74,20.26,11438.785907896414,-55.06606607403106,5.0,2.64,3.0,-1115.6384986598694,1115.6384986598694,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
75,19.74,11467.42026225491,-55.06606607403106,5.0,2.64,3.0,-1087.0041443013731,1087.0041443013731,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
76,19.65,11472.376208201578,-55.06606607403106,5.0,2.64,3.0,-1082.0481983547104,1082.0481983547104,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
77,38.2,10450.900682528296,-55.06606607403106,5.0,2.64,3.0,-2103.5237240279866,2103.5237240279866,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
78,38.34,10443.19143327793,-55.06606607403106,5.0,2.64,3.0,-2111.232973278351,2111.232973278351,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
79,38.36,10442.090111956455,-55.06606607403106,5.0,2.64,3.0,-2112.3342945998315,2112.3342945998315,20610.59784593826,15.0,3856.6344473377385,25278.538812785388,0,0,1,0,0,0
