,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,25.45,17412.71323935689,-659.6383232550305,5.0,7.57,3.0,-16787.795326840525,16787.795326840525,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
1,4.96,30928.702482852463,-659.6383232550305,5.0,7.57,3.0,-3271.8060833449513,3271.8060833449513,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
2,9.76,27762.43853122832,-659.6383232550305,5.0,7.57,3.0,-6438.070034969098,6438.070034969098,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
3,12.63,25869.27654348638,-659.6383232550305,5.0,7.57,3.0,-8331.232022711036,8331.232022711036,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
4,23.77,18520.90562242534,-659.6383232550305,5.0,7.57,3.0,-15679.602943772075,15679.602943772075,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
5,17.52,22643.64514276928,-659.6383232550305,5.0,7.57,3.0,-11556.863423428134,11556.863423428134,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
6,16.14,23553.946028861224,-659.6383232550305,5.0,7.57,3.0,-10646.562537336193,10646.562537336193,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
7,19.58,21284.79019686392,-659.6383232550305,5.0,7.57,3.0,-12915.718369333496,12915.718369333496,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
8,15.29,24114.638603628002,-659.6383232550305,5.0,7.57,3.0,-10085.869962569415,10085.869962569415,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
9,18.76,21825.693621933042,-659.6383232550305,5.0,7.57,3.0,-12374.814944264373,12374.814944264373,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
10,27.45,16093.436592846829,-659.6383232550305,5.0,7.57,3.0,-18107.071973350587,18107.071973350587,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
11,28.46,15427.201886359246,-659.6383232550305,5.0,7.57,3.0,-18773.30667983817,18773.30667983817,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
12,29.24,14912.683994220326,-659.6383232550305,5.0,7.57,3.0,-19287.824571977093,19287.824571977093,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
13,31.16,13646.178413570666,-659.6383232550305,5.0,7.57,3.0,-20554.33015262675,20554.33015262675,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
14,29.81,14536.690149964958,-659.6383232550305,5.0,7.57,3.0,-19663.818416232458,19663.818416232458,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
15,27.72,15915.33424556797,-659.6383232550305,5.0,7.57,3.0,-18285.174320629445,18285.174320629445,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
16,28.62,15321.65975463844,-659.6383232550305,5.0,7.57,3.0,-18878.848811558975,18878.848811558975,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
17,27.1,16324.310005986088,-659.6383232550305,5.0,7.57,3.0,-17876.198560211327,17876.198560211327,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
18,33.47,12122.413886851547,-659.6383232550305,5.0,7.57,3.0,-22078.09467934587,22078.09467934587,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
19,29.53,14721.388880476363,-659.6383232550305,5.0,7.57,3.0,-19479.119685721053,19479.119685721053,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
20,27.02,16377.081071846493,-659.6383232550305,5.0,7.57,3.0,-17823.427494350923,17823.427494350923,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
21,26.78,16535.394269427696,-659.6383232550305,5.0,7.57,3.0,-17665.11429676972,17665.11429676972,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
22,27.51,16053.858293451525,-659.6383232550305,5.0,7.57,3.0,-18146.65027274589,18146.65027274589,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
23,25.22,17564.43005370555,-659.6383232550305,5.0,7.57,3.0,-16636.07851249187,16636.07851249187,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
24,21.36,20110.633981469964,-659.6383232550305,5.0,7.57,3.0,-14089.874584727451,14089.874584727451,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
25,19.91,21067.109550189758,-659.6383232550305,5.0,7.57,3.0,-13133.399016007657,13133.399016007657,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
26,24.88,17788.70708361226,-659.6383232550305,5.0,7.57,3.0,-16411.801482585157,16411.801482585157,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
27,21.4,20084.248448539765,-659.6383232550305,5.0,7.57,3.0,-14116.260117657652,14116.260117657652,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
28,22.93,19075.001813959567,-659.6383232550305,5.0,7.57,3.0,-15125.50675223785,15125.50675223785,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
29,24.29,18177.893694332724,-659.6383232550305,5.0,7.57,3.0,-16022.614871864691,16022.614871864691,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
30,27.21,16251.749790428035,-659.6383232550305,5.0,7.57,3.0,-17948.75877576938,17948.75877576938,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
31,23.61,18626.447754146146,-659.6383232550305,5.0,7.57,3.0,-15574.06081205127,15574.06081205127,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
32,27.7,15928.527012033072,-659.6383232550305,5.0,7.57,3.0,-18271.981554164344,18271.981554164344,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
33,30.65,13982.593958430734,-659.6383232550305,5.0,7.57,3.0,-20217.914607766685,20217.914607766685,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
34,32.89,12505.004114339463,-659.6383232550305,5.0,7.57,3.0,-21695.504451857953,21695.504451857953,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
35,44.85,4615.729768209294,-659.6383232550305,5.0,7.57,3.0,-29584.778797988118,29584.778797988118,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
36,39.79,7953.499683879752,-659.6383232550305,5.0,7.57,3.0,-26247.008882317663,26247.008882317663,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
37,37.81,9259.583563924713,-659.6383232550305,5.0,7.57,3.0,-24940.925002272706,24940.925002272706,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
38,39.25,8309.70437843747,-659.6383232550305,5.0,7.57,3.0,-25890.804187759946,25890.804187759946,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
39,44.46,4872.988714278759,-659.6383232550305,5.0,7.57,3.0,-29327.519851918656,29327.519851918656,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
40,55.94,-2699.6592366889886,-659.6383232550305,5.0,7.57,3.0,-36900.167802886404,36900.167802886404,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
41,52.43,-384.3287220638372,-659.6383232550305,5.0,7.57,3.0,-34584.83728826125,34584.83728826125,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
42,79.67,11107.074925001929,650.0,0,7.57,3.0,51785.5,-51785.5,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
43,41.72,6680.397719997542,-659.6383232550305,5.0,7.57,3.0,-27520.110846199874,27520.110846199874,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
44,39.86,7907.325001251898,-659.6383232550305,5.0,7.57,3.0,-26293.183564945517,26293.183564945517,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
45,40.35,7584.1022228569345,-659.6383232550305,5.0,7.57,3.0,-26616.40634334048,26616.40634334048,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
46,34.76,11271.48044985256,-659.6383232550305,5.0,7.57,3.0,-22929.02811634486,22929.02811634486,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
47,33.34,12208.166868874694,-659.6383232550305,5.0,7.57,3.0,-21992.34169732272,21992.34169732272,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
48,34.67,11330.847898945507,-659.6383232550305,5.0,7.57,3.0,-22869.66066725191,22869.66066725191,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
49,29.63,14655.425048150864,-659.6383232550305,5.0,7.57,3.0,-19545.083518046555,19545.083518046555,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
50,27.48,16073.647443149177,-659.6383232550305,5.0,7.57,3.0,-18126.86112304824,18126.86112304824,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
51,30.05,14378.376952383747,-659.6383232550305,5.0,7.57,3.0,-19822.131613813668,19822.131613813668,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
52,32.15,12993.136473548187,-659.6383232550305,5.0,7.57,3.0,-21207.37209264923,21207.37209264923,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
53,29.06,15031.41889240623,-659.6383232550305,5.0,7.57,3.0,-19169.089673791186,19169.089673791186,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
54,29.21,14932.473143917974,-659.6383232550305,5.0,7.57,3.0,-19268.03542227944,19268.03542227944,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
55,34.49,11449.582797131414,-659.6383232550305,5.0,7.57,3.0,-22750.925769066005,22750.925769066005,3138.0483456800653,15.0,116.83198947648592,14308.219178082192,0,1,0,0,0,0
56,117.98,36008.57492500193,650.0,0,7.57,3.0,76687.0,-76687.0,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
57,60.3,-1483.4250749980738,650.0,0,7.57,3.0,39195.0,-39195.0,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
58,69.44,4457.574925001926,650.0,0,7.57,3.0,45136.0,-45136.0,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
59,65.56,1935.5749250019262,650.0,0,7.57,3.0,42614.0,-42614.0,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
60,68.6,3911.574925001919,650.0,0,7.57,3.0,44589.99999999999,-44589.99999999999,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
61,71.47,5777.074925001926,650.0,0,7.57,3.0,46455.5,-46455.5,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
62,87.35,16099.074925001914,650.0,0,7.57,3.0,56777.49999999999,-56777.49999999999,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
63,99.2,23801.57492500193,650.0,0,7.57,3.0,64480.0,-64480.0,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
64,140.18,50438.57492500193,650.0,0,7.57,3.0,91117.0,-91117.0,15071.972825128516,0,556.8949724310688,14308.219178082192,1,0,0,0,0,0
