,lmp ($/MWh),profit ($/hr),net_power (MW),h_prod (kg/s),ng_price ($/million BTU),h2_price ($/kg),el_revenue ($/hr),el_cost ($/hr),ng_cost ($/hr),h2_revenue ($/hr),other_cost ($/hr),fixed_cost ($/hr),mode_power_only,mode_hydrogen_only,mode_hydrogen,mode_off,start_cost,stop_cost
0,18.1313,27226.64282821629,1.493512888888858,5.0,2.43,3.0,27.07933024231055,-27.07933024231055,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
1,17.8247,27226.18491716455,1.493512888888858,5.0,2.43,3.0,26.621419190577228,-26.621419190577228,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
2,16.3759,27224.021115691132,1.493512888888858,5.0,2.43,3.0,24.457617717155053,-24.457617717155053,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
3,12.261,27384.968612026332,-112.60691456929524,5.0,2.43,3.0,-1380.6733795341288,1380.6733795341288,13964.036637430301,15.0,674.8770508357796,16882.420091324202,0,0,1,0,0,0
4,6.211,28496.077399728085,-242.44505789516046,5.0,2.43,3.0,-1505.8262545868417,1505.8262545868417,11765.383988098041,15.0,647.3769124879648,16882.420091324202,0,0,1,0,0,0
5,9.2233,27846.646845575433,-186.80334257740967,5.0,2.43,3.0,-1722.9432695942226,1722.9432695942226,12559.203604979453,15.0,643.2692595468495,16882.420091324202,0,0,1,0,0,0
6,16.2213,27223.790218598508,1.493512888888858,5.0,2.43,3.0,24.22672062453283,-24.22672062453283,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
7,11.5538,27471.797150409242,-132.56792478859617,5.0,2.43,3.0,-1531.6632894224826,1531.6632894224826,13553.316243104859,15.0,662.8618962773775,16882.420091324202,0,0,1,0,0,0
8,17.6834,27225.973883793355,1.493512888888858,5.0,2.43,3.0,26.41038581937723,-26.41038581937723,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
9,18.8835,27227.76624861131,1.493512888888858,5.0,2.43,3.0,28.202750637332752,-28.202750637332752,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
10,19.6739,27228.946721198685,1.493512888888858,5.0,2.43,3.0,29.383223224710502,-29.383223224710502,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
11,20.0755,27229.546515974864,1.493512888888858,5.0,2.43,3.0,29.983018000888272,-29.983018000888272,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
12,20.0908,27229.569366722062,1.493512888888858,5.0,2.43,3.0,30.00586874808827,-30.00586874808827,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
13,19.831,27229.18135207353,1.493512888888858,5.0,2.43,3.0,29.617854099554943,-29.617854099554943,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
14,20.0882,27229.56548358855,1.493512888888858,5.0,2.43,3.0,30.00198561457716,-30.00198561457716,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
15,20.5182,27230.207694130775,1.493512888888858,5.0,2.43,3.0,30.644196156799367,-30.644196156799367,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
16,23.5043,27234.667472968285,1.493512888888858,5.0,2.43,3.0,35.103974994310384,-35.103974994310384,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
17,27.567,27240.735167781975,1.493512888888858,5.0,2.43,3.0,41.17166980799915,-41.17166980799915,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
18,28.359,27241.918029989974,1.493512888888858,5.0,2.43,3.0,42.354532015999126,-42.354532015999126,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
19,22.3664,27232.968004652023,1.493512888888858,5.0,2.43,3.0,33.40450667804375,-33.40450667804375,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
20,23.7469,27235.02979919513,1.493512888888858,5.0,2.43,3.0,35.46630122115482,-35.46630122115482,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
21,29.2671,27243.274289044377,1.493512888888858,5.0,2.43,3.0,43.7107910703991,-43.7107910703991,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
22,23.627,27234.850726999757,1.493512888888858,5.0,2.43,3.0,35.287229025777044,-35.287229025777044,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
23,19.2006,27228.239841548377,1.493512888888858,5.0,2.43,3.0,28.67634357439941,-28.67634357439941,16626.32953221508,15.0,777.2967809998681,16882.420091324202,0,0,1,0,0,0
