Name,Year,Reference,NGCC,SOFC,NGCC + SOEC,rSOC,SOFC + SOEC,SOEC,SMR,ATR,Natural Gas Price,Carbon Tax,Hydrogen Price,Mean LMP,Minimum LMP,25th Percentile,50th Percentile,75th Percentile ,Maximum LMP,Standard Deviation,Skewness,Kurtosis,Bimodality Coefficient,Dip Test Statistic,Data labels,NGCC.1,SOFC.1,NGCC + SOEC.1,rSOC.1,SOFC + SOEC,SOEC.1,SMR.1,ATR.1,Passes Neither Test,Passes Bimodality Test Only,Passes Dip Test Only,Passes both tests. Bimodal.,NGCC_H2,NGCC_power,SOFC_H2,SOFC_power,NGCC + SOEC_H2,NGCC + SOEC_power,rSOC_H2,rSOC_power,SOFC + SOEC_H2,SOFC + SOEC_power,SOEC_H2,SOEC_power,Combined_Bimodal_Criteria
NYISO_2019,2019,1,-162.0994248,-90.7836685,-70.37083912,68.44498956,69.01568355,123.4978698,134.5970156,150.3998889,3.05,0,2,20.09014155,-186.74,14.07,19.18,24.56,356.71,14.83610646,3.199738269,76.66791089,0.141062818,0.001977464,-54.48218626,0,0,0,1,1,1,1,1,1,0,0,0,0,0.16055497,0,0.713843602,0.976640309,0.022986325,0.925913242,0.074086758,0.977986018,0.023124022,0.98219173,0,0.000278947
NYISO_2019,2019,1,-161.2815648,-90.5323235,-214.358993,-57.54241969,-76.76194723,-24.60889073,-23.08298442,-7.280111086,3.05,0,1,20.09014155,-186.74,14.07,19.18,24.56,356.71,14.83610646,3.199738269,76.66791089,0.141062818,0.001977464,-52.15305649,0,0,0,0,0,0,0,0,1,0,0,0,0,0.16055497,0,0.713843416,0.294201781,0.168673397,0.565410958,0.43458904,0.76381536,0.236837706,0.807534191,0,0.000278947
NYISO_2019,2019,1,-161.2815648,-90.5323235,-146.5515474,-1.265883794,-7.106521872,46.84105491,55.75701558,71.55988891,3.05,0,1.5,20.09014155,-186.74,14.07,19.18,24.56,356.71,14.83610646,3.199738269,76.66791089,0.141062818,0.001977464,-53.94757678,0,0,0,0,0,1,1,1,1,0,0,0,0,0.16055497,0,0.713843416,0.949141339,0.049198328,0.826940638,0.17305936,0.947832231,0.053214328,0.958082191,0,0.000278947
NYISO_2019,2019,1,-161.2815648,-90.5323235,7.240605553,143.0523609,146.5643906,201.3130186,213.4370156,229.2398889,3.05,0,2.5,20.09014155,-186.74,14.07,19.18,24.56,356.71,14.83610646,3.199738269,76.66791089,0.141062818,0.001977464,-54.74862806,0,0,1,1,1,1,1,1,1,0,0,0,0,0.16055497,0,0.713843416,0.988968238,0.010891598,0.959703196,0.040296804,0.988608286,0.012523094,0.990684931,0,0.000278947
NYISO_2019,2019,1,-161.2815648,-90.5323235,85.37515041,219.314435,224.7186697,279.5627365,292.2770156,308.0798889,3.05,0,3,20.09014155,-186.74,14.07,19.18,24.56,356.71,14.83610646,3.199738269,76.66791089,0.141062818,0.001977464,-54.84406684,0,0,1,1,1,1,1,1,1,0,0,0,0,0.16055497,0,0.713843416,0.992934247,0.006998096,0.973858434,0.026141552,0.992854763,0.008286551,0.994063927,0,0.000278947
SPP_NORTH_2019,2019,1,-147.4536284,-79.60003424,-45.09881854,98.29022082,93.4063991,133.7331721,143.3594789,158.6038895,2.75,0,2,20.18624632,-46.4777,12.281925,16.90505,21.62975,1130.7242,31.46896354,14.17306357,356.4228094,0.561664837,0.002424025,-40.32677297,0,0,0,1,1,1,1,1,0,1,0,0,0,0.149789252,0,0.707417368,0.955827169,0.04380877,0.917694064,0.082305936,0.955330212,0.045668608,0.964200913,0,0.00136149
SPP_NORTH_2019,2019,1,-146.3529604,-79.34868924,-190.7631168,-34.72993367,-52.0793722,-14.38958705,-14.32052109,0.923889527,2.75,0,1,20.18624632,-46.4777,12.281925,16.90505,21.62975,1130.7242,31.46896354,14.17306357,356.4228094,0.561664837,0.002424025,-37.68978515,0,0,0,0,0,0,0,1,0,1,0,0,0,0.149789252,0,0.70742076,0.845192287,0.147151162,0.664954337,0.335045662,0.842504454,0.158260996,0.87762557,0,0.00136149
SPP_NORTH_2019,2019,1,-146.3529604,-79.34868924,-119.6223785,27.53012114,18.93866534,58.40074464,64.51947891,79.76388953,2.75,0,1.5,20.18624632,-46.4777,12.281925,16.90505,21.62975,1130.7242,31.46896354,14.17306357,356.4228094,0.561664837,0.002424025,-39.4620793,0,0,0,1,1,1,1,1,0,1,0,0,0,0.149789252,0,0.70742076,0.931783205,0.067439639,0.866894977,0.133105023,0.930491927,0.070455646,0.944748858,0,0.00136149
SPP_NORTH_2019,2019,1,-146.3529604,-79.34868924,30.81342131,171.5021352,169.2827395,210.1759984,222.1994789,237.4438895,2.75,0,2.5,20.18624632,-46.4777,12.281925,16.90505,21.62975,1130.7242,31.46896354,14.17306357,356.4228094,0.561664837,0.002424025,-40.89325891,0,0,1,1,1,1,1,1,0,1,0,0,0,0.149789252,0,0.70742076,0.968842257,0.030930856,0.938013698,0.061986301,0.968111269,0.032918486,0.974063916,0,0.00136149
SPP_NORTH_2019,2019,1,-146.3529604,-79.34868924,107.5398055,245.9700968,245.978117,287.2697398,301.0394789,316.2838895,2.75,0,3,20.18624632,-46.4777,12.281925,16.90505,21.62975,1130.7242,31.46896354,14.17306357,356.4228094,0.561664837,0.002424025,-41.2916228,0,0,1,1,1,1,1,1,0,1,0,0,0,0.149789252,0,0.70742076,0.97726322,0.022523806,0.950913242,0.049086758,0.976919571,0.024128612,0.980839261,0,0.00136149
SPP_SOUTH_2019,2019,1,-140.9790015,-71.7755444,-188.069261,-27.51098716,-46.04234044,-16.83854734,-17.07872895,-2.099643184,2.83,0,1,21.48360128,-43.7243,12.858775,18.47425,23.22445,1210.5837,35.31578405,13.09331363,308.2313341,0.554038985,0.001628786,-29.20379309,0,0,0,0,0,0,0,0,1,0,0,0,0,0.179185107,0,0.747405596,0.800587653,0.186335068,0.590753424,0.409246575,0.797946379,0.202856221,0.836415492,0,0.000902411
SPP_SOUTH_2019,2019,1,-140.9790015,-71.7755444,-118.8105504,30.78507852,23.08410591,54.11291347,61.76127105,76.74035682,2.83,0,1.5,21.48360128,-43.7243,12.858775,18.47425,23.22445,1210.5837,35.31578405,13.09331363,308.2313341,0.554038985,0.001628786,-31.02880756,0,0,0,1,1,1,1,1,1,0,0,0,0,0.179185107,0,0.747405596,0.915880527,0.083135456,0.83652968,0.16347032,0.915685514,0.085365025,0.932419949,0,0.000902411
SPP_SOUTH_2019,2019,1,-140.9790015,-71.7755444,29.86492721,171.6390071,171.6438062,204.4502065,219.4412711,234.4203568,2.83,0,2.5,21.48360128,-43.7243,12.858775,18.47425,23.22445,1210.5837,35.31578405,13.09331363,308.2313341,0.554038985,0.001628786,-32.80640036,0,0,1,1,1,1,1,1,1,0,0,0,0,0.179185107,0,0.747405596,0.961690345,0.037982301,0.92260274,0.07739726,0.961165832,0.03998025,0.968675673,0,0.000902411
SPP_SOUTH_2019,2019,1,-140.9790015,-71.7755444,106.1355775,245.1217601,247.8790296,281.1713908,298.2812711,313.2603568,2.83,0,3,21.48360128,-43.7243,12.858775,18.47425,23.22445,1210.5837,35.31578405,13.09331363,308.2313341,0.554038985,0.001628786,-33.2923612,0,0,1,1,1,1,1,1,1,0,0,0,0,0.179185107,0,0.747405596,0.971901604,0.027941608,0.939726027,0.060273973,0.97127942,0.029887884,0.976803653,0,0.000902411
SPP_SOUTH_2019,2019,1,-142.0796695,-72.1162194,-45.31707805,99.70989068,96.51269892,128.6128378,140.601271,155.5803568,2.83,0,2,21.48360128,-43.7243,12.858775,18.47425,23.22445,1210.5837,35.31578405,13.09331363,308.2313341,0.554038985,0.001628786,-32.10013888,0,0,0,1,1,1,1,1,1,0,0,0,0,0.179185107,0,0.747406537,0.944931719,0.054651065,0.898972602,0.101027397,0.944419933,0.05669099,0.955159817,0,0.000902411
