,1FUE-TOTPA-FLOW,1FWS-FWFLW-A,1FWS-STMFLW-A,1JT66801S,1LDC-GROSS-MW,1TCMVACPT2,5C0002FLOW,BA1003,BA1503,BA1T,BA2003,BA2004,BAROMETRIC-PRESS,C19,CW313,CW316,CW317-COND,DGS3,FW401,FW413,FW451,FW452,FW468,S11,S202,S212,S302,S312,S412,S422,S423,S502,S602,S613,S631,S633,S831,S833,S839C,BA2007,BA2051,BA2052,BA2053,BA2054,BA2503,BA2504,BA2507,BA2551,BA2552,BA2553,BA2554,BF2001,BF2002,BF2003,BF2501,BF2502,BF2503,BG3506A,BG3506B,C105,C205,C305,C411,CW119,CW129,D207,D607,FW402,FW606,FW611,PERFTEST-D508,PERFTEST-D608,PERFTEST-FW503,PERFTEST-FW603,PERFTEST-FW608,PERFTEST-S501,S105,BG3502,BG3503,BG3505,C51,CW213A,CW216A,FW4537-VACA,FW4537-VACB,FW4537-VACC,FW463,FW464,FW711,FW712,PERFTEST-S633,S614,S634,S640,S801,S804,S811,S834,num_mills
12/19/2019 6:30,498.29187,1440.804565,1493.398071,224.560516,224.44487,1.266174,1.054379,7.144098,6.886597,1932.623047,3.752441,692.382813,23.307617,91.1894,52.627857,81.516724,4222.259766,114.237306,323.937988,211.340332,1959.033447,332.666382,2171.99707,1.311951,235.188141,3.618774,494.678009,31.584473,93.603516,92.504883,638.32782,799.731995,621.562805,448.114014,1011.041321,416.436768,996.087646,1744.812134,1465.454102,209.213272,-3.616882,770.507813,-6.981995,318.823212,3.621215,705.505371,212.379471,-3.683716,806.213379,-6.956055,331.274414,33.032227,121.209709,692.993164,32.658386,120.675659,703.521729,2.813111,2.645264,160.041611,193.022369,262.922058,327.405365,20.448303,38.262939,171.497299,382.615112,101.855469,456.207275,1923.797607,349.325958,377.793671,330.754456,362.460632,453.377869,150.476456,-7.08642,-0.699738,-1.071533,-1.492767,257.244873,61.248138,82.202423,0.842743,0.851898,0.84732,0.495697,295.383423,557.147156,554.750671,412.213104,675.192261,1010.125732,411.816406,1869.32373,623.570068,796.188354,991.204834,3
12/18/2019 17:40,500.632385,1466.074097,1511.817017,224.560516,224.361588,1.35086,6.875607,7.552051,6.630249,1955.804077,3.334351,696.960449,23.371094,93.783249,54.190659,83.394753,4146.728027,110.16039,323.190308,209.082031,1964.536865,332.551483,2176.879883,1.353149,228.146652,3.740845,486.802765,30.998535,92.207336,90.879822,630.244873,788.19165,607.434265,446.099854,1003.86969,413.873291,985.406555,1746.643066,1483.764648,214.683517,-3.60498,772.338867,-7.093536,324.804688,3.262633,703.063965,216.392517,-3.723083,798.88916,-7.207672,334.814453,32.635498,125.375374,696.655273,32.536316,125.268562,699.859619,2.907715,2.648316,160.827759,193.229935,262.326111,327.607635,20.700071,38.446041,172.562775,382.342316,101.489258,454.37619,1927.459717,348.827728,376.95932,330.257813,361.628448,451.856476,149.147507,-7.782251,-0.797699,-1.042236,-1.586609,256.375122,63.540833,85.362907,0.845031,0.849609,0.863343,0.373627,263.997803,551.103516,551.902771,409.924286,662.145996,1002.572632,409.375,1871.154785,623.931091,791.610718,979.913391,3
12/16/2019 6:40,507.88092,1418.890381,1486.400635,224.468979,224.88681,1.151733,0.413509,6.886443,6.932373,1942.657471,3.474731,692.687988,23.292969,92.047401,56.666412,81.866943,4127.654785,112.210074,323.724365,211.523438,1956.281738,332.797302,2168.334961,1.394348,236.447174,3.292236,488.394318,31.621094,93.763733,92.024231,632.483643,791.463501,629.536011,448.388672,1005.700684,417.169189,1001.275635,1741.149902,1470.794678,209.236145,-3.688293,776.916504,-7.098724,322.241211,3.215331,700.927734,209.716797,-3.670898,797.973633,-6.906769,330.542023,32.551575,118.219002,698.486328,31.964111,117.257698,697.113037,2.324829,3.057251,160.626144,193.274719,263.809967,328.365082,20.433044,37.797546,171.341599,382.508453,102.893066,456.665009,1918.762207,348.329559,377.29306,330.092285,362.294189,453.716003,150.45256,-7.899759,-0.904816,-1.192993,-1.525574,257.519531,62.207115,82.296417,0.845031,0.851898,0.840454,1.167085,309.191833,563.166199,559.174316,412.213104,678.488159,1003.335571,411.938477,1864.746094,623.353455,799.850464,996.240234,3
12/16/2019 8:10,498.805817,1427.187866,1489.834839,223.828125,223.085083,1.133422,0.451659,6.961592,7.741089,1940.540039,3.71582,694.519043,23.307617,102.295593,67.979149,92.123749,4195.556152,109.002318,324.365234,211.218262,1953.988647,333.22934,2166.503906,1.911621,240.904724,3.756104,491.04306,31.157227,92.893982,91.612244,631.802429,793.409546,630.571594,446.099854,998.834229,414.880371,998.071289,1738.403442,1465.454102,210.31189,-3.537231,776.000977,-6.756317,324.194336,3.651732,703.674316,210.670486,-3.663574,797.058105,-6.901581,332.495117,32.246399,117.578117,701.23291,32.376099,116.830437,700.775146,2.651367,2.837525,163.340897,193.92569,263.809967,328.365082,20.448303,37.835693,173.181442,383.018494,101.855469,456.665009,1916.931152,349.325958,377.45993,330.920044,362.294189,453.208801,150.009216,-7.899759,-0.864075,-1.039185,-1.523285,253.674316,72.28157,94.507202,0.897674,0.993805,0.895386,0.617767,294.117981,561.221741,556.696533,409.771698,677.114868,998.300171,409.375,1863.830566,623.209045,795.272827,993.64624,3
12/16/2019 17:50,510.646118,1434.277954,1481.571289,223.736588,223.644882,1.19751,4.548642,7.245319,7.078857,1961.763184,3.233643,689.63623,23.429688,98.95182,61.770885,90.254585,4134.521484,114.768222,323.403931,209.753418,1955.82312,331.917236,2168.334961,1.774292,241.262222,3.328857,494.721619,30.9375,92.047119,90.307617,636.698364,796.549133,623.677368,443.353271,1011.499084,411.859131,998.986877,1740.234375,1470.031738,208.099365,-3.608643,775.085449,-6.943085,317.236328,3.219909,699.09668,209.16748,-3.69928,797.973633,-6.963837,325.53714,32.749939,120.355217,694.824219,32.559204,120.034798,696.19751,2.694093,2.749024,161.650635,193.636795,262.646118,326.735199,20.654297,38.2019,173.50914,380.997986,101.153564,454.986542,1920.135498,348.495636,376.62561,329.926727,361.628448,452.363556,148.538788,-7.789164,-0.881927,-1.084351,-1.590424,256.64978,69.269691,91.489632,0.934295,0.92514,0.934295,0.495697,290.013458,559.358643,554.566284,407.788086,674.642944,1009.515381,408.398438,1865.661743,623.425659,797.103882,993.64624,3
1/16/2020 5:50,477.858551,1453.462158,1495.864746,223.736588,223.64119,1.261596,1.138302,7.013737,6.978149,1917.227905,3.331299,698.791565,23.444336,95.674606,60.453213,84.188309,4068.908691,112.235274,324.525452,210.974121,1958.116211,333.483124,2174.438477,1.476746,232.798248,3.933105,485.358032,31.279297,93.099976,92.481995,628.153992,785.468933,628.59613,444.63501,999.749756,413.690186,1000.970459,1743.896606,1474.609375,226.882935,-3.474976,774.780273,-6.790039,340.551758,3.732604,709.472656,226.783737,-3.561951,802.703857,-7.049438,348.730469,32.116699,132.531754,703.063965,32.162476,131.997681,704.589844,2.687989,2.770386,161.301132,192.721466,263.026276,328.583344,20.951843,38.858028,172.587601,382.243652,102.587891,455.749481,1918.304443,349.824188,377.45993,331.085602,361.961304,452.70163,149.807251,-7.57258,-0.82196,-1.06543,-1.464539,257.336426,64.774628,86.023636,0.700836,0.703125,0.698547,0.495697,276.919586,551.246643,551.246643,408.703583,676.016235,997.155762,408.276367,1864.746094,623.425659,798.934937,994.561768,3
12/16/2019 7:20,499.918152,1439.48645,1488.467163,223.553467,223.320175,1.142578,0.413509,6.961592,6.807251,1936.769531,3.422852,696.350159,23.292969,92.47197,57.532681,81.478317,4209.289063,109.162182,324.578857,211.035156,1956.281738,334.065643,2170.776367,1.408081,234.194565,3.756104,484.392029,31.328125,93.077087,91.90979,628.022461,787.43927,627.703796,446.374512,996.697998,414.422607,997.613586,1738.403442,1467.743042,210.212708,-3.670898,776.916504,-7.080566,325.170898,3.232116,703.674316,211.57074,-3.667236,798.88916,-6.906769,333.47168,32.398987,117.578117,702.148438,31.964111,117.257698,700.775146,2.630005,2.816163,160.626144,193.274719,263.809967,328.365082,20.448303,38.514709,171.997375,383.061981,102.618408,456.665009,1918.762207,349.492035,377.45993,331.25116,362.294189,452.870697,150.146973,-7.899759,-0.904816,-1.036743,-1.543121,255.688477,61.861629,83.235168,0.845031,0.851898,0.840454,0.556734,304.379578,559.972839,558.109558,410.38208,675.604248,995.324707,409.985352,1863.830566,623.209045,797.103882,992.730774,3
12/18/2019 16:50,496.618347,1457.134277,1513.811768,223.553467,223.484512,1.35086,6.051634,7.545918,7.161255,1959.194092,3.554077,696.044922,23.390625,94.377068,54.017086,84.333046,4148.254395,110.5107,323.083496,209.204102,1959.950684,332.31366,2171.99707,1.44928,226.212051,3.624878,485.852692,30.900879,92.207336,90.90271,628.970276,787.196472,606.479187,443.719482,1001.580811,412.408447,985.101379,1742.06543,1479.187134,215.065002,-3.591248,772.338867,-7.072784,324.316406,3.235167,699.401855,217.323303,-3.723083,796.142578,-7.220642,335.791046,32.711792,126.336678,694.824219,32.574463,126.229866,696.19751,2.788697,2.755127,160.827759,193.229935,262.246094,327.607635,20.501709,38.37738,172.562775,381.393402,101.33667,454.37619,1924.713135,348.993805,376.458771,330.257813,361.295593,451.349426,148.458542,-7.766123,-0.799988,-1.003784,-1.596527,256.375122,64.576035,85.661125,0.872497,0.877075,0.863343,0.373627,271.510559,549.422974,550.755188,408.093262,661.322021,1000.054932,407.299805,1867.492798,623.642273,788.864136,979.150452,3
1/16/2020 5:40,479.726685,1454.558472,1495.864746,223.553467,223.814285,1.261596,1.30615,7.013737,6.978149,1901.652222,3.792114,696.960449,23.444336,95.505074,59.501968,84.188309,4134.521484,113.320518,324.0448,211.035156,1955.82312,332.928223,2172.607422,1.481323,232.798248,3.933105,484.40799,31.437988,93.099976,91.40625,626.959167,785.468933,628.59613,445.367432,996.697998,413.50708,998.376465,1741.149902,1473.846558,226.882935,-3.474976,772.033691,-6.790039,340.551758,3.320617,706.726074,226.783737,-3.561951,799.957275,-7.049438,348.730469,32.116699,132.531754,700.317383,32.162476,131.997681,702.758789,2.507935,2.861939,161.675552,195.288391,263.790161,328.583344,20.951843,38.858028,173.980316,382.243652,102.496338,455.749481,1915.100098,349.325958,377.12619,330.588928,361.794861,452.70163,149.581909,-7.57258,-0.82196,-1.055054,-1.464539,259.396362,64.774628,85.81057,0.700836,0.703125,0.698547,0.434663,278.355835,551.246643,551.246643,408.856201,674.642944,994.638062,408.398438,1862.915039,623.209045,797.103882,992.425537,3
12/16/2019 7:00,499.221832,1430.614868,1488.467163,223.553467,223.812714,1.149445,0.413509,6.886443,6.932373,1948.859253,3.444214,695.43457,23.292969,92.726669,58.186459,82.806023,4086.456543,109.55154,324.472046,211.096191,1955.82312,333.986359,2169.555664,1.412659,236.447174,3.292236,488.394318,31.486816,93.008423,91.90979,631.288574,791.419678,628.659729,446.64917,999.902344,415.429688,997.460938,1740.234375,1465.454102,210.212708,-3.69928,777.832031,-7.080566,325.170898,3.215331,703.674316,210.632309,-3.667236,799.804688,-6.906769,332.495117,32.551575,118.219002,701.23291,31.964111,117.257698,700.775146,2.471314,3.078614,160.626144,193.274719,263.809967,328.365082,20.433044,38.514709,171.915405,383.457336,102.984619,456.665009,1920.135498,349.658112,377.626801,331.085602,362.460632,453.208801,150.405746,-7.899759,-0.904816,-1.150269,-1.525574,255.688477,61.861629,83.235168,0.845031,0.851898,0.840454,0.617767,308.556183,561.037415,559.174316,410.687256,676.428223,998.986816,411.206055,1864.746094,623.425659,797.103882,992.883301,3
