,flow_mass,flow_mol,temperature,pressure,enth_mol,vapor_frac,"('flow_mol_comp', 'O2')","('flow_mol_comp', 'N2')","('flow_mol_comp', 'NO')","('flow_mol_comp', 'CO2')","('flow_mol_comp', 'H2O')","('flow_mol_comp', 'SO2')"
B001,183.61593912182593,10192.233433053825,564.6187430747375,13074542.929908397,23305.947987382213,0.0,,,,,10192.233433053825,
B001b,183.61593912182593,10192.233433053825,564.5987649846527,12918593.225708805,23305.947987382213,0.0,,,,,10192.233433053825,
B002,183.01547459850488,10158.902587054148,603.515568717302,12918593.225708805,48003.735455634676,1.0,,,,,10158.902587054148,
B003,183.01547459850488,10158.902587054148,608.0606901778436,12916527.225403976,48737.72476612355,1.0,,,,,10158.902587054148,
B004,183.01547459850488,10158.902587054148,701.3226916602947,12111584.57978211,56601.40953070417,1.0,,,,,10158.902587054148,
B005,183.0702420664766,10161.942643493556,701.0898911641342,12111584.57978211,56588.31084308701,1.0,,,,,10161.942643493556,
B006,0.054767467971722494,3.0400564394071306,439.9224297808127,12111584.57978211,12816.659173699743,0.0,,,,,3.0400564394071306,
B007,2344.8287346268708,130157.77354705952,601.0429353096151,13187418.063712642,27201.394162528348,0.0,,,,,130157.77354705952,
B008,2344.8287346268708,130157.77354705952,603.515568717302,12918593.225708805,29130.185020238772,0.07805067888151114,,,,,130157.77354705952,
B009,2161.813260028366,119998.8709600054,603.5155687173018,12918593.225708805,27532.381984167336,0.0,,,,,119998.8709600054,
B010,2345.4291991501923,130191.10439305924,600.9202697714288,12918593.225708805,27201.508365071397,0.0,,,,,130191.10439305924,
B011,2345.4291991501923,130191.10439305924,600.917313532892,12914172.171746608,27201.394162528348,0.0,,,,,130191.10439305924,
B011b,2344.8287346268708,130157.77354705952,600.917313532892,12914172.171746608,27201.394162528348,0.0,,,,,130157.77354705952,
B012,164.4540614015396,9128.587587955313,739.7914509628756,2977407.7195624416,60937.79097341955,1.0,,,,,9128.587587955313,
B020,0.6004645233214495,33.33084599969856,600.917313532892,12914172.171746608,27201.394162528348,0.0,,,,,33.33084599969856,
FG01,248.84521649330605,8466.047407970269,1348.5327095385658,79868.35677,-45106.412822738865,,209.96137329435174,6135.122469805856,8.466047407970269,1210.630425671193,891.4428283749659,10.424263415932232
FG02,248.84521649330605,8466.047407970269,1263.9798368040822,79838.81271150587,-48377.30812614503,,209.96137329435174,6135.122469805856,8.466047407970269,1210.630425671193,891.4428283749659,10.424263415932232
FG03,248.84521649330605,8466.047407970269,1127.799308327129,79774.49618942385,-53560.369529565956,,209.96137329435174,6135.122469805856,8.466047407970269,1210.630425671193,891.4428283749659,10.424263415932232
FG04,248.84521649330605,8466.047407970269,870.9802907654989,79634.12513934054,-62996.46215331372,,209.96137329435174,6135.122469805856,8.466047407970269,1210.630425671193,891.4428283749659,10.424263415932232
FG05,248.84521649330605,8466.047407970269,698.3975728712651,79490.14278683886,-69038.19147221462,,209.96137329435174,6135.122469805856,8.466047407970269,1210.630425671193,891.4428283749659,10.424263415932232
FG06,248.84521649330605,8466.047407970269,444.7206416868285,78368.72719142801,-77419.25460458938,,209.96137329435174,6135.122469805856,8.466047407970269,1210.630425671193,891.4428283749659,10.424263415932232
PA03,54.69772372923597,1901.2901269566976,322.5329388888889,87086.77820860407,-1276.3592168807527,,395.16412457527923,1490.5999936598896,0.001901290052806386,0.6413792851236534,14.880826856299741,0.001901290052806386
