,flow_mass,flow_mol,temperature,pressure,enth_mol,vapor_frac,"('flow_mol_comp', 'O2')","('flow_mol_comp', 'N2')","('flow_mol_comp', 'NO')","('flow_mol_comp', 'CO2')","('flow_mol_comp', 'H2O')","('flow_mol_comp', 'SO2')"
B001,183.64606709841314,10193.905789885759,563.3172208156908,13001498.1690251,23181.89335811043,0.0,,,,,10193.905789885759,
B001b,183.64606709841314,10193.905789885759,563.2981378740709,12845090.976951333,23181.89335811043,0.0,,,,,10193.905789885759,
B002,183.045504049979,10160.56947491124,603.0720585332332,12845090.976951333,48034.83949647234,0.9999999999995532,,,,,10160.56947491124,
B003,183.045504049979,10160.56947491124,607.5804913424829,12843008.743751047,48757.81163164516,1.0,,,,,10160.56947491124,
B004,183.045504049979,10160.56947491124,698.0361363408865,12035876.769524148,56442.391522372214,1.0,,,,,10160.56947491124,
B005,183.1002715179507,10163.609531350647,697.805782481666,12035876.769524148,56429.33847317249,1.0,,,,,10163.609531350647,
B006,0.054767467971722494,3.0400564394071306,439.7573579876895,12035876.769524148,12803.038798537023,0.0,,,,,3.0400564394071306,
B007,2353.697523885579,130650.06615970324,600.5506831286878,13114418.6846264,27144.342277778567,0.0,,,,,130650.06615970324,
B008,2353.697523885579,130650.06615970324,603.0720585332332,12845090.976951333,29078.26416657397,0.07776934044906755,,,,,130650.06615970324,
B009,2170.6520198356,120489.49668479203,603.0720585331809,12845090.976951333,27479.704906676827,0.0,,,,,120489.49668479203,
B010,2354.2980869340136,130683.40247467779,600.4295085560615,12845090.976951333,27144.455860515372,0.0,,,,,130683.40247467779,
B011,2354.2980869340136,130683.40247467779,600.4265612356046,12840625.95025646,27144.342277778567,0.0,,,,,130683.40247467779,
B011b,2353.697523885579,130650.06615970324,600.4265612356046,12840625.95025646,27144.342277778567,0.0,,,,,130650.06615970324,
B012,164.45256724420219,9128.504649619777,732.6055267092822,2965695.7900695396,60649.617110444044,1.0,,,,,9128.504649619777,
B020,0.6005630484341747,33.33631497452022,600.4265612356046,12840625.95025646,27144.342277778567,0.0,,,,,33.33631497452022,
FG01,249.03678837992828,8474.123874370123,1330.9917293202961,79868.35677,-45102.60026219291,,223.91689054539808,6145.485663293966,8.474123874370125,1201.052849156415,884.8527641154477,10.341583384525746
FG02,249.03678837992828,8474.123874370123,1249.1110506956898,79839.15652418089,-48260.09182223667,,223.91689054539808,6145.485663293966,8.474123874370125,1201.052849156415,884.8527641154477,10.341583384525746
FG03,249.03678837992828,8474.123874370123,1115.9565074344725,79775.51255911416,-53312.759105861194,,223.91689054539808,6145.485663293966,8.474123874370125,1201.052849156415,884.8527641154477,10.341583384525746
FG04,249.03678837992828,8474.123874370123,864.5135424650513,79636.30634350216,-62526.65649782384,,223.91689054539808,6145.485663293966,8.474123874370125,1201.052849156415,884.8527641154477,10.341583384525746
FG05,249.03678837992828,8474.123874370123,694.9298210837443,79493.040808194,-68451.22377235426,,223.91689054539808,6145.485663293966,8.474123874370125,1201.052849156415,884.8527641154477,10.341583384525746
FG06,249.03678837992828,8474.123874370123,444.7038389823375,78371.62521278314,-76708.21351979951,,223.91689054539808,6145.485663293966,8.474123874370125,1201.052849156415,884.8527641154477,10.341583384525746
PA03,54.65463827786916,1899.7924788332643,324.13510333333335,87240.73764445462,-1229.6166792473807,,394.85285340144446,1489.4258465627984,0.001899792404741361,0.6408740700230459,14.86910521418921,0.001899792404741361
PA04,54.65463827786916,1899.7924788332643,643.7390100428423,86291.21599722533,8298.95608042962,,394.85285340144446,1489.4258465627984,0.001899792404741361,0.6408740700230459,14.86910521418921,0.001899792404741361
S001,183.1002715179507,10163.609531350647,808.8738807303358,11982985.242793627,62059.551114641494,1.0,,,,,10163.609531350647,
S002,183.1002715179507,10163.609531350647,800.7430464340956,10072661.100015093,62059.551114641494,1.0,,,,,10163.609531350647,
S005,164.45256724420219,9128.504649619777,619.3785465949661,3042181.041919281,55959.152450473615,1.0,,,,,9128.504649619777,
S006,18.647704273748484,1035.1048817308686,619.3785465949661,3042181.041919281,55959.152450473615,1.0,,,,,1035.1048817308686,
S007,0.0,0.0,619.3785465949661,3042181.041919281,55959.152450473615,1.0,,,,,0.0,
S009,164.45256724420219,9128.504649619777,804.607680986208,2865548.242983181,63580.76253229659,1.0,,,,,9128.504649619777,
S010,4.6691617489337425,259.1778617336917,659.8360328208611,1087483.6825757187,58273.451746471466,1.0,,,,,259.1778617336917,
S011,4.624429069144723,256.694820682483,603.4321087777602,707991.7145041139,56256.04513631679,1.0,,,,,256.694820682483,
S012,146.29471732272273,8120.59081639157,603.4321087777602,707991.7145041139,56256.04513631679,1.0,,,,,8120.59081639157,
S014,9.699514762540858,538.4048853273919,514.4211837556373,302777.6870081945,53145.469704302464,1.0,,,,,538.4048853273919,
S015,4.209249213946721,233.6488366512605,416.85288707079707,106924.44973475643,49786.107153409794,1.0,,,,,233.6488366512605,
S016,8.44820414225953,468.94659101937526,369.6013432253897,59603.43494283767,48174.64006008081,1.0,,,,,468.94659101937526,
S017,123.93774920397564,6879.590503393543,309.03620648230094,5910.938391774646,43981.018882753204,0.948330846257365,,,,,6879.590503393543,
S018,3699.7675541155936,205368.3070213504,290.6966561111083,500000.0,1335.2626946597948,0.0,,,,,205368.3070213504,
S020,3699.7675541155936,205368.3070213504,309.0559469790542,500000.0,2717.8462607565284,0.0,,,,,205368.3070213504,
S022,123.93774920397564,6879.590503393543,309.0362064822941,5910.938391774646,2708.381195267717,0.0,,,,,6879.590503393543,
S024,129.42158449053554,7183.989618287117,295.6330655866406,2724.1113837812723,2666.8760824244946,0.021952400825444727,,,,,7183.989618287117,
S025,129.42158449053554,7183.989618287117,308.48418387802747,9571.959544116793,2666.8760824244946,0.0,,,,,7183.989618287117,
S026,129.42158449053554,7183.989618287117,308.6435013304478,1858429.2422668992,2708.7503409018677,0.0,,,,,7183.989618287117,
S026b,129.16274132155448,7169.621639050543,308.6435013304478,1858429.2422668992,2708.7503409018677,0.0,,,,,7169.621639050543,
S027,0.1294215844905356,7.183989618287119,308.6435013304478,1858429.2422668992,2708.7503409018677,0.0,,,,,7.183989618287119,
S028,0.1294215844905356,7.183989618287119,308.6435013304478,1858429.2422668992,2708.7503409018677,0.0,,,,,7.183989618287119,
S029,129.16274132155448,7169.621639050543,308.8904734009001,707991.7145041139,2708.7503409018677,0.0,,,,,7169.621639050543,
S030,22.356968118747112,1241.0003129980278,358.90743854320715,62135.271715738476,6471.091610642187,0.0,,,,,1241.0003129980278,
S031a,129.16274132155448,7169.621639050543,344.5300625921836,707991.7145041139,5393.773996152182,0.0,,,,,7169.621639050543,
S031b,151.51970944030157,8410.62195204857,346.66518082889087,707991.7145041139,5554.9502901546875,0.0,,,,,8410.62195204857,
S032,13.90876397648758,772.0537219786524,353.6571241066901,109427.97296912709,6074.5736352534,0.0,,,,,772.0537219786524,
S032b,13.90876397648758,772.0537219786524,353.6665595449588,59603.43494283767,6074.5736352534,0.0,,,,,772.0537219786524,
S033,151.51970944030157,8410.62195204857,363.4452833163739,707991.7145041139,6823.726326731854,0.0,,,,,8410.62195204857,
S034,9.699514762540858,538.4048853273919,364.86022597977546,305213.9194215526,6925.321173383084,0.0,,,,,538.4048853273919,
S034b,9.699514762540858,538.4048853273919,364.8965229055331,106924.44973475643,6925.321173383084,0.0,,,,,538.4048853273919,
S035,151.51970944030157,8410.62195204857,402.28879323074,707991.7145041139,9782.503205716814,0.0,,,,,8410.62195204857,
S036,183.70083456638486,10196.945846325167,437.27995171059126,707991.7145041139,12492.805121703404,0.0,,,,,10196.945846325167,
S036b,183.70083456638486,10196.945846325167,437.26888748505075,792708.3280890898,12492.805121703404,0.0,,,,,10196.945846325167,
S037,183.70083456638486,10196.945846325167,439.59034539643363,13279654.203422122,12803.038798537023,0.0,,,,,10196.945846325167,
S038,183.70083456638486,10196.945846325167,437.4051099106919,1519249.0562893979,12510.911088328707,0.0,,,,,10196.945846325167,
S039,23.316866022682223,1294.28274346456,449.6213712432357,1089793.4076641763,13467.870127858307,0.0,,,,,1294.28274346456,
S039b,23.316866022682223,1294.28274346456,438.5559365461878,707991.7145041139,13467.870127858307,0.02353106577798637,,,,,1294.28274346456,
S040,183.64606709841314,10193.905789885759,456.13373517129105,13279654.203422122,14095.351199446348,0.0,,,,,10193.905789885759,
S041,18.647704273748484,1035.1048817308686,468.3277872617722,3044327.7469792846,14976.022640590878,0.0,,,,,1035.1048817308686,
S041b,18.647704273748484,1035.1048817308686,456.7054175239585,1087483.6825757187,14976.022640590878,0.02623741249564981,,,,,1035.1048817308686,
S042,183.64606709841314,10193.905789885759,507.6773447273231,13279654.203422122,18256.841270985933,0.0,,,,,10193.905789885759,
S043,8.864259103401045,492.04115081203537,603.4321087777602,707991.7145041139,56256.04513631679,1.0,,,,,492.04115081203537,
S045,22.356968118747112,1241.0003129980278,358.98550598846026,707991.7145041139,6486.112863668208,0.0,,,,,1241.0003129980278,
S046,4.624429069144723,256.694820682483,295.6330655866406,2724.1113837812723,44651.56307748629,0.9740957986177297,,,,,256.694820682483,
S047,4.624429069144723,256.694820682483,295.6330655866406,2724.1113837812723,1698.886723323727,1.0825816602185918e-12,,,,,256.694820682483,
S048,263.0446725300475,14601.198123484477,285.4781438888856,500000.0,941.6052034013765,0.0,,,,,14601.198123484477,
S049,263.0446725300475,14601.198123484477,295.49343897567974,500000.0,1696.7301911809893,0.0,,,,,14601.198123484477,
S050,0.859406217415195,47.704294211091636,298.14809855219966,100000.0,1890.0,0.0,,,,,47.704294211091636,
S050b,0.859406217415195,47.704294211091636,295.6330655866406,2724.1113837812723,1889.9999999999995,0.0043341336493616794,,,,,47.704294211091636,
S051,183.64606709841314,10193.905789885759,439.59034539643363,13279654.203422122,12803.038798537023,0.0,,,,,10193.905789885759,
S052,4.624429069144723,256.694820682483,600.7950238102482,456387.32668348536,56256.04513631679,1.0,,,,,256.694820682483,
S053,4.624429069144723,256.694820682483,362.6808588724922,33133.71991722104,47995.81985117848,1.0,,,,,256.694820682483,
S054,0.054767467971722494,3.0400564394071306,439.59034539643363,13279654.203422122,12803.038798537023,0.0,,,,,3.0400564394071306,
SA02,162.44413860536918,5646.556927110052,373.62359055555555,80831.52576857463,213.72428661690074,,1173.5803917305532,4426.876915315187,0.0005646556927110052,1.904583651514221,44.19390710141224,0.0005646556927110052
SA03,162.44413860536918,5646.556927110052,646.0682087744527,79882.00412134534,8371.0715354765,,1173.5803917305532,4426.876915315187,0.0005646556927110052,1.904583651514221,44.19390710141224,0.0005646556927110052
TA02,8.198195741680374,284.96887182498966,324.13510333333335,86291.21599722533,-1229.6166792473814,,59.227928010216665,223.41387698441977,0.0002849688607112041,0.09613111050345689,2.230365782128382,0.0002849688607112041
