,F (kg/s),Efficency (%),Pressure Ratio,Power (MW),T in (K),T out (K),P in (kPa),P out (kPa),h in (kJ/kg),h out (kJ/kg),x in (%),x out (%)
inlet_stage[1],183.0702420664766,0.9504468529148501,0.7642517192686465,-15.743533434429764,805.6719764028285,760.2571566148338,10109.318565916672,7726.0640946362655,3456.901554104497,3370.9043256269547,100.0,100.0
hp_stages[1],183.0702420664766,0.92040300131563,0.9358633643277562,-3.634664665076472,760.2571566148338,749.6636487671103,7726.0640946362655,7230.540336618175,3370.9043256269547,3351.0503907435527,100.0,100.0
hp_stages[2],183.0702420664766,0.92040300131563,0.9358633643277562,-3.5866735917884607,749.6636487671103,739.2017831323599,7230.540336618175,6766.797805335032,3351.0503907435527,3331.4586015412096,100.0,100.0
hp_stages[3],183.0702420664766,0.92040300131563,0.9358633643277562,-3.5392442883501682,739.2017831323599,728.8704297169728,6766.797805335032,6332.798159826519,3331.4586015412096,3312.1258894171656,100.0,100.0
hp_stages[4],183.0702420664766,0.92040300131563,0.9358633643277562,-3.492365710210815,728.8704297169728,718.6684636897154,6332.798159826519,5926.63379146387,3312.1258894171656,3293.049246098244,100.0,100.0
hp_stages[5],183.0702420664766,0.92040300131563,0.9358633643277562,-3.4460277605725067,718.6684636897154,708.594766820964,5926.63379146387,5546.519439217942,3293.049246098244,3274.225718463855,100.0,100.0
hp_stages[6],183.0702420664766,0.92040300131563,0.9358633643277562,-3.4002211977281753,708.594766820964,698.6482287514582,5546.519439217942,5190.784342695803,3274.225718463855,3255.652403875166,100.0,100.0
hp_stages[7],183.0702420664766,0.92040300131563,0.9358633643277562,-3.3549375512783293,698.6482287514582,688.8277481182392,5190.784342695803,4857.864898455135,3255.652403875166,3237.326445961918,100.0,100.0
hp_stages[8],183.0702420664766,0.92040300131563,0.9358633643277562,-3.3101690464013234,688.8277481182392,679.1322335615927,4857.864898455135,4546.297787317936,3237.326445961918,3219.245030822917,100.0,100.0
hp_stages[9],183.0702420664766,0.92040300131563,0.9358633643277562,-3.265908535468252,679.1322335615927,669.5606046330597,4546.297787317936,4254.713542475199,3219.245030822917,3201.4053836000644,100.0,100.0
hp_stages[10],183.0702420664766,0.92040300131563,0.9358633643277562,-3.2221494363211494,669.5606046330597,660.1117926212856,4254.713542475199,3981.830530111705,3201.4053836000644,3183.804765389536,100.0,100.0
hp_stages[11],183.0702420664766,0.92040300131563,0.9358633643277562,-3.1788856766048883,660.1117926212856,650.7847413093949,3981.830530111705,3726.449316093312,3183.804765389536,3166.440470457044,100.0,100.0
hp_stages[12],183.0702420664766,0.92040300131563,0.9358633643277562,-3.1361116435927427,650.7847413093949,641.5784076749283,3726.449316093312,3487.4473939559534,3166.440470457044,3149.309823727173,100.0,100.0
hp_stages[13],183.0702420664766,0.92040300131563,0.9358633643277562,-3.0938221390030947,641.5784076749283,632.4917625410268,3487.4473939559534,3263.7742510236844,3149.309823727173,3132.410178519518,100.0,100.0
hp_stages[14],183.0702420664766,0.92040300131563,0.9358633643277562,-3.05201233823096,632.4917625410268,623.5237911859907,3263.7742510236844,3054.4467509693277,3132.410178519518,3115.738914507518,100.0,100.0
ip_stages[1],164.4540614015396,0.9212760401710883,0.850238776999118,-8.915868281094054,814.3004474713939,788.149891647651,2876.2308791521455,2445.4830250574173,3550.946155088712,3496.7312077343586,100.0,100.0
ip_stages[2],164.4540614015396,0.9212760401710883,0.850238776999118,-8.633392905427632,788.149891647651,762.6697748270551,2445.4830250574173,2079.244496396922,3496.7312077343586,3444.233915591796,100.0,100.0
ip_stages[3],164.4540614015396,0.9082775522255189,0.8541034666738103,-8.013631749547944,762.6697748270551,738.8543327728861,2079.244496396922,1775.8899324350518,3444.233915591796,3395.505220895825,100.0,100.0
ip_stages[4],164.4540614015396,0.9212760401710883,0.850238776999118,-8.100560193447112,738.8543327728861,714.6638452153627,1775.8899324350518,1509.9304842386246,3395.505220895825,3346.247938196869,100.0,100.0
ip_stages[5],164.4540614015396,0.9212760401710883,0.850238776999118,-7.838565766109951,714.6638452153627,691.1186763807656,1509.9304842386246,1283.8014482727342,3346.247938196869,3298.5837716855244,100.0,100.0
ip_stages[6],164.4540614015396,0.9212760401710883,0.850238776999118,-7.583302643045483,691.1186763807656,668.2102934918864,1283.8014482727342,1091.5377732891056,3298.5837716855244,3252.471790148445,100.0,100.0
ip_stages[7],159.78725274901868,0.9103124837519211,0.8666993589746904,-6.222772845210167,668.2102934918864,648.7488771886622,1091.5377732891056,946.0350884063289,3252.471790148445,3213.5276770345886,100.0,100.0
ip_stages[8],159.78725274901868,0.9103124837519211,0.8666993589746904,-6.0436194122984555,648.7488771886622,629.7598587920451,946.0350884063289,819.9280046893299,3213.5276770345886,3175.704763702501,100.0,100.0
ip_stages[9],159.78725274901868,0.9103124837519211,0.8666993589746904,-5.868635352419143,629.7598587920451,611.2372405653012,819.9280046893299,710.6310760696392,3175.704763702501,3138.9769568752745,100.0,100.0
lp_stages[1],146.39696032551643,0.8074011620150117,0.6539549717124042,-13.313963629933037,611.2372405653012,564.7041325150454,710.6310760696392,464.7207252490762,3138.9769568752745,3048.0326940959844,100.0,100.0
lp_stages[2],146.39696032551643,0.8074011620150117,0.6539549717124042,-12.311358539937377,564.7041325150454,521.2828803610428,464.7207252490762,303.9064287344276,3048.0326940959844,2963.936968935006,100.0,100.0
lp_stages[3],136.70140784550574,0.853115473327583,0.5942601092705102,-13.597899776007774,521.2828803610428,469.5662150738414,303.9064287344276,180.5994675477315,2963.936968935006,2864.465427344333,100.0,100.0
lp_stages[4],136.70140784550574,0.853115473327583,0.5942601092705102,-12.251512251221602,469.5662150738414,422.5356355727351,180.5994675477315,107.32305931911085,2864.465427344333,2774.842998107409,100.0,100.0
lp_stages[5],132.4390061973178,0.8610640202970283,0.5574350402615467,-12.015002103746287,422.5356355727351,374.64225033558955,107.32305931911085,59.825633892540914,2774.842998107409,2684.121975285436,100.0,100.0
outlet_stage,123.68785945879007,0.6658679505390317,0.08823351088564245,-29.15402104297006,374.64225033558955,306.9927752782138,59.825633892540914,5.2786257192979695,2684.121975285436,2448.415567473572,100.0,95.28838958776672
