,F (kg/s),Efficency (%),Pressure Ratio,Power (MW),T in (K),T out (K),P in (kPa),P out (kPa),h in (kJ/kg),h out (kJ/kg),x in (%),x out (%)
inlet_stage[1],130.07976788839147,0.95559352698487,0.7785124040358654,-10.626278614216705,800.2611251602616,758.422273820343,7332.434300057992,5708.391054373185,3473.281804633959,3391.5913251173124,100.0,100.0
hp_stages[1],130.07976788839147,0.92040300131563,0.9358633643277562,-2.6243430388801157,758.422273820343,747.9797962477264,5708.391054373185,5342.274057044156,3391.5913251173124,3371.416450257974,100.0,100.0
hp_stages[2],130.07976788839147,0.92040300131563,0.9358633643277562,-2.5897014884352894,747.9797962477264,737.6618498453105,5342.274057044156,4999.638572186235,3371.416450257974,3351.5078854559724,100.0,100.0
hp_stages[3],130.07976788839147,0.92040300131563,0.9358633643277562,-2.5554448492369466,737.6618498453105,727.4674318245941,4999.638572186235,4678.978574589029,3351.5078854559724,3331.862671671232,100.0,100.0
hp_stages[4],130.07976788839147,0.92040300131563,0.9358633643277562,-2.521567732603512,727.4674318245941,717.3955483961859,4678.978574589029,4378.884630432378,3331.862671671232,3312.47789128965,100.0,100.0
hp_stages[5],130.07976788839147,0.92040300131563,0.9358633643277562,-2.4880651615538594,717.3955483961859,707.4452149488064,4378.884630432378,4098.037702239549,3312.47789128965,3293.3506649581227,100.0,100.0
hp_stages[6],130.07976788839147,0.92040300131563,0.9358633643277562,-2.454932529859567,707.4452149488064,697.6154562060732,4098.037702239549,3835.203351159891,3293.3506649581227,3274.47814873434,100.0,100.0
hp_stages[7],130.07976788839147,0.92040300131563,0.9358633643277562,-2.422165564983394,697.6154562060732,687.9053063741832,3835.203351159891,3589.2263110975805,3274.47814873434,3255.8575315215107,100.0,100.0
hp_stages[8],130.07976788839147,0.92040300131563,0.9358633643277562,-2.3897602945624667,687.9053063741832,678.3138092910758,3589.2263110975805,3359.0254108374834,3255.8575315215107,3237.4860327607435,100.0,100.0
hp_stages[9],130.07976788839147,0.92040300131563,0.9358633643277562,-2.3577130161359934,678.3138092910758,668.840018585337,3359.0254108374834,3143.5888218487903,3237.4860327607435,3219.3609003561496,100.0,100.0
hp_stages[10],130.07976788839147,0.92040300131563,0.9358633643277562,-2.326020269829569,668.840018585337,659.4829978509737,3143.5888218487903,2941.969610878536,3219.3609003561496,3201.4794088099366,100.0,100.0
hp_stages[11],130.07976788839147,0.92040300131563,0.9358633643277562,-2.2946788137465073,659.4829978509737,650.2418208422523,2941.969610878536,2753.2815777868063,3201.4794088099366,3183.838857546689,100.0,100.0
hp_stages[12],130.07976788839147,0.92040300131563,0.9358633643277562,-2.2636856018166163,650.2418208422523,641.115571691068,2753.2815777868063,2576.695360329193,3183.838857546689,3166.43656940793,100.0,100.0
hp_stages[13],130.07976788839147,0.92040300131563,0.9358633643277562,-2.2330377638932033,641.115571691068,632.1033451477875,2576.695360329193,2411.434788765399,3166.43656940793,3149.269889299698,100.0,100.0
hp_stages[14],130.07976788839147,0.92040300131563,0.9358633643277562,-2.2027325878920125,632.1033451477875,623.2042468451363,2411.434788765399,2256.773474270978,3149.269889299698,3132.3361829774203,100.0,100.0
ip_stages[1],118.15046469927863,0.9212760401710883,0.850238776999118,-6.499808391011889,821.8585630427781,795.6593476512649,2120.5813704125676,1803.0005109066951,3574.980810048646,3519.967836485186,100.0,100.0
ip_stages[2],118.15046469927863,0.9212760401710883,0.850238776999118,-6.294357899888343,795.6593476512649,770.1147214612364,1803.0005109066951,1532.9809493220932,3519.967836485186,3466.6937514791816,100.0,100.0
ip_stages[3],118.15046469927863,0.9082775522255189,0.8541034666738103,-5.84288805428698,770.1147214612364,746.2303962911668,1532.9809493220932,1309.324343160909,3466.6937514791816,3417.240809680276,100.0,100.0
ip_stages[4],118.15046469927863,0.9212760401710883,0.850238776999118,-5.906594809616966,746.2303962911668,721.9482508503065,1309.324343160909,1113.2383282243045,3417.240809680276,3367.2486676717735,100.0,100.0
ip_stages[5],118.15046469927863,0.9212760401710883,0.850238776999118,-5.7158514262578,721.9482508503065,698.2997298719729,1113.2383282243045,946.5183946979753,3367.2486676717735,3318.8709364389256,100.0,100.0
ip_stages[6],118.15046469927863,0.9212760401710883,0.850238776999118,-5.529963809016751,698.2997298719729,675.277485043892,946.5183946979753,804.7666423151749,3318.8709364389256,3272.0665178266768,100.0,100.0
ip_stages[7],114.68652281550062,0.9103124837519211,0.8666993589746904,-4.533601698164783,675.277485043892,655.7129867191883,804.7666423151749,697.4907330187758,3272.0665178266768,3232.536138956806,100.0,100.0
ip_stages[8],114.68652281550062,0.9103124837519211,0.8666993589746904,-4.4032128662564505,655.7129867191883,636.614017050262,697.4907330187758,604.5147711981599,3232.536138956806,3194.142675120257,100.0,100.0
ip_stages[9],114.68652281550062,0.9103124837519211,0.8666993589746904,-4.275840426662298,636.614017050262,617.9751991886519,604.5147711981599,523.9325646881769,3194.142675120257,3156.859825124526,100.0,100.0
lp_stages[1],106.17757093931672,0.8074011620150117,0.6539549717124042,-9.802660964833573,617.9751991886519,571.2033992923781,523.9325646881769,342.6283055198641,3156.859825124526,3064.5365512154253,100.0,100.0
lp_stages[2],106.17757093931672,0.8074011620150117,0.6539549717124042,-9.064705704383005,571.2033992923781,527.4918455734155,342.6283055198641,224.06348384411172,3064.5365512154253,2979.1634764295673,100.0,100.0
lp_stages[3],99.72995733553101,0.853115473327583,0.5942601092705102,-10.071142220060612,527.4918455734155,475.30352692547143,224.06348384411172,133.151990392733,2979.1634764295673,2878.1793540141,100.0,100.0
lp_stages[4],99.72995733553101,0.853115473327583,0.5942601092705102,-9.073800937880243,475.30352692547143,427.7603689218901,133.151990392733,79.12691636037144,2878.1793540141,2787.1956498162494,100.0,100.0
lp_stages[5],96.85717252108795,0.8610640202970283,0.5574350402615467,-8.919508290062327,427.7603689218901,379.2334575761823,79.12691636037144,44.10811580711568,2787.1956498162494,2695.106359391007,100.0,100.0
outlet_stage,90.65115505073787,0.6742995549349896,0.08666531156526208,-21.681806008586886,379.2334575761823,301.32924952936037,44.10811580711568,3.8226435989803664,2695.106359391007,2455.9278735079197,100.0,96.04255613757289
