,st_power (MW),gt_power (MW),gross_power (MW),ngcc_net_power (MW),lhv_efficiency (%),hhv_efficiency (%),combustor_temperature (K),fuel_flow (kg/s),st_throttle_delta_pressure (bar),st_condenser_pressure (bar),st_throttle_inlet_temperature (K),st_throttle_outlet_temperature (K),fuel_cost_rate (USD_2018/h),other_variable_cost_rate (USD_2018/h),total_variable_cost_rate (USD_2018/h),cell_potential (V),soec_makeup_water (kg/s),variable_makeup_water_cost (USD_2018/h),soec_current (MA),soec_current_density (A/m**2),soec_power (MW),sweep_compressor_power (MW),sweep_turbine_power (MW),h2_mass_production (kg/s),soec_power_per_h2 (MJ/kg),feed_heater_power (MW),sweep_heater_power (MW),total_electric_power (MW),bop_power (MW),total_electric_power_per_h2 (kWh/kg),pump_power (MW),total_compressor_power (MW),Number_of_cells (cells),estimated_number_of_cells (cells),current_density (A/m**2),water_utilization (%),water_utilization_overall (%),net_power (MW),sweep_out_frac (%),steam_out_frac (%),heater_1_frac (%),sweep_inlet_flow (mol/s),sweep_trim_temperature (K),steam_trim_temperature (K)
1,192.85067646316466,477.0,669.8506764631646,623.8671094696567,50.931891370393245,45.96530158092851,1641.3466326233656,25.95136985899649,-34.816981351510826,0.05462634819182428,859.5175619849203,847.2295847255036,20469.688541053005,3643.6045603074344,24113.29310136044,1.3450299970252322,55.853705710987796,188.04378809129682,-478.6216187310877,-7999.820210260319,663.6705509464811,19.603553032070597,-26.992237898168757,5.000248028175998,132.7275261560528,0.006553172588125049,0.00836955857100044,681.8837717071582,18.2132207606771,37.88055267263176,0.03486599585773174,25.552116899758463,1087993.7247508862,1087993.7247508862,-7999.820210260319,56.4208841138844,79.999957125968,-58.01666223750138,63.79826028531323,32.36701240267095,49.9580112691512,5652.868130098378,924.4700994613055,933.7883367957611
2,193.6940239085343,477.0,670.6940239085343,624.7025426986514,51.00109963586065,46.02776104804249,1641.3503556389117,25.950858818254602,-33.990230589625426,0.05585498931137675,859.4621341652916,847.4724005545746,20469.285446924452,3643.532809552552,24112.818256477003,1.3395349030955508,53.061270455088604,178.64244046655588,-454.69053779453293,-7599.829199747298,627.9111809103748,19.10315120940009,-25.927609196482376,4.750235626767199,132.1852704257754,0.0032253554915853484,0.8832999082549061,646.0871095225826,18.17592861220777,37.78099775151347,0.03312285214281108,24.080738483400825,1087993.724750886,1087993.724750886,-7599.8291997473,57.49927356497911,79.99958015871636,-21.384566823931454,67.39170112307993,33.823411492936565,50.0611885403779,5370.207189215704,922.8687778855729,930.4093485834267
3,194.54830910083083,477.0,671.5483091008308,625.5488575686373,51.07113162721751,46.09096391595921,1641.3539641683594,25.950382025575387,-33.123253075334766,0.057116968816342276,859.4070603053732,847.729854957806,20468.9093666753,3643.4658672682035,24112.3752339435,1.333841087543595,50.268594180419896,169.24028139910325,-430.75945685797944,-7199.838189234298,592.3347035104491,18.55071950432659,-24.813286772958865,4.500223225358404,131.62340485082822,0.003078848430249953,1.733919674939284,610.473347423133,18.138643912683843,37.68167074117837,0.03137955797485602,22.632833099971727,1087993.724750886,1087993.724750886,-7199.8381892342995,58.844676551386286,79.9995448758989,15.075510145504236,71.86915466994512,35.74649957274682,50.16940664366539,5087.567741450627,921.2678648220658,926.6341202693924
4,195.40905826555326,477.0,672.4090582655532,626.4016294329849,51.14163934467233,46.154596119857246,1641.3574977582296,25.949932643185335,-32.22234698389021,0.058404656972522624,859.352553142467,847.9998290273469,20468.554906867972,3643.4027734224987,24111.95768029047,1.3278925039047604,47.475917344859916,159.83812044328675,-406.8283759214243,-6799.847178721268,556.9323203729973,17.94373014746182,-23.646723705970828,4.2502108239495975,131.03639876749835,0.0029038181625782914,2.5629042126403765,575.0336529967706,18.101332623773335,37.582034607979,0.029636263456773063,21.208881888022596,1087993.724750886,1087993.724750886,-6799.847178721268,60.59150606561523,79.99950638733362,51.36797643621433,77.91153348846206,38.439286384533375,50.28625304999604,4804.928388403223,919.450259317437,922.1823275015327
5,196.2682800578043,477.0,673.2682800578043,627.252947884076,51.211995118395414,46.21809119671632,1641.3610219488185,25.94950136135551,-31.29950293193625,0.05970328960678145,859.2989634938458,848.2782973802592,20468.21472425804,3643.342220917931,24111.55694517597,1.3216206990326416,44.683239620593206,150.43595649544355,-382.8972949848704,-6399.856168208261,521.6958666552702,17.278542178834513,-22.4240908595027,4.000198422540801,130.41749722102668,0.0027013810436302904,3.3697643907828825,539.7604642873322,18.064597632062018,37.481506281581815,0.02789296838392528,19.809787572519802,1087993.724750886,1087993.724750886,-6399.85616820826,62.93291751205522,79.99946467885307,87.4924835967437,86.62061533097068,42.44670667647727,50.41795409186367,4522.289113978182,917.3319555914111,916.7052167312462
6,197.12910873027045,477.0,674.1291087302703,628.1059130414037,51.282444729067876,46.28167096007655,1641.364506626936,25.94909181189753,-30.3513321515909,0.061018970039464354,859.2461285719353,848.5662790290581,20467.891683513273,3643.284719665363,24111.176403178637,1.3151354399087387,41.89056654956832,141.03380821376265,-358.9662140483159,-5999.8651576952425,486.68988641732625,16.55876077379275,-21.16995078833015,3.7501860211320017,129.77753201437667,0.003943562480215447,4.1693038842859425,504.7117331643421,18.021846747015832,37.38419984149019,0.0261496762158068,18.433639638571243,1087993.724750886,1087993.724750886,-5999.865157695243,65.85130312342221,79.9994085228952,123.39417987706142,94.97820562207376,48.21101285390842,50.56285939324108,4239.651382757517,918.7242768412234,910.667147238504
7,197.99663051119074,477.0,674.9966305111907,628.9655606096367,51.353390484635995,46.34569848709024,1641.3679095450607,25.948708376570615,-29.37104692841263,0.062361894777445546,859.1938127388156,848.8659357758656,20467.589240838366,3643.230884869229,24110.820125707596,1.3085699876698553,39.097884546639705,131.63162986086283,-335.0351331117617,-5599.874147182229,451.9762061907487,15.788246051429724,-19.916488317308932,3.5001736197232005,129.12965335316474,0.004643497048764259,5.007841868803356,469.9633662008917,17.987160010142983,37.2968297242842,0.024406378472056418,17.078510531698054,1087993.724750886,1087993.724750886,-5599.874147182228,68.95219406191227,79.99936262057044,159.0021944087449,94.96514088160086,55.52319928926101,50.716194209333686,3957.0127343619447,928.1221294754994,905.2841752190451
8,198.8697386244976,477.0,675.8697386244976,629.8307955995526,51.424747146275585,46.41009685094087,1641.3712397667641,25.94834885657292,-28.360683911326447,0.06373044654181652,859.1420573273873,849.1765230144689,20467.30566188215,3643.1804078150226,24110.486069697174,1.302074881513668,36.30519678611523,122.22943212374987,-311.104052175207,-5199.883136669208,417.6090431695409,14.967205201691122,-18.690233278156384,3.2501612183143993,128.48871644161747,1.9805853766985697,3.9266474494708077,435.5598312508462,17.950788081305323,37.225489410298,0.02266307713419648,15.74392025446699,1087993.724750886,1087993.724750886,-5199.8831366692075,76.44495827555804,79.99932234341514,194.27096434870643,94.36591248156067,81.13782641367612,50.867849794204865,3674.3746362426546,929.0905217930061,901.1708934964554
9,200.34663396588445,477.0,677.3466339658844,631.294229388897,51.543926805025805,46.51765478388562,1641.3700246121878,25.948503675094585,-26.3805908634785,0.06632962422060792,859.066337679155,849.8101948464266,20467.427778245794,3643.2021445277514,24110.629922773544,1.2935676172488557,33.5125591306422,112.82740307631572,-287.1729712386528,-4799.892126156195,382.9666558179983,14.33402736770867,-17.56803897231168,3.000148816905601,127.64921981870081,0.003280480066656318,6.739583619206596,400.83876644858066,17.87211063058239,37.11285959011673,0.02091980707380526,14.342338328838308,1087993.724750886,1087993.724750886,-4799.8921261561945,74.22071671062193,79.99915574552074,230.455462940316,94.96450638995879,71.98088930835218,30.007855018381978,3391.7327922391537,950.2378291881671,900.0270736121782
10,201.42199394256156,477.0,678.4219939425616,632.3600534426146,51.63133470223935,46.59653915766152,1641.371912297734,25.94830994906733,-24.986783920920765,0.06815628157465074,859.0085031728358,850.2503377264595,20467.274972769177,3643.1749451529136,24110.44991792209,1.2850198190628586,30.719880777909246,103.42523701260262,-263.2418903020984,-4399.90111564318,348.7330373667705,13.458853758968303,-16.262966433295663,2.7501364154968,126.80572330946478,0.003995605710910546,7.571406872850627,366.55537693719964,17.822339570429147,37.02395905321573,0.019176511608645024,13.031873254586257,1087993.724750886,1087993.724750886,-4399.901115643179,76.1283523269166,79.99906483947832,265.8046765054149,94.95551535605875,79.73140660679944,30.0087129808379,3109.0950459539786,962.5566573662076,900.0281751254506
