,mass flow (kg/s),mole flow (kmol/s),mole percent CO2 (%),mole percent H2O (%),mole percent N2 (%),mole percent O2 (%),pressure (bar),temperature (K),volumetric flow (m**3/s)
g08,1113.1740048963052,39.357300472679825,4.013693621246545,8.630816487173673,75.02842213515369,12.327067756426095,1.1004073197656845,897.9999999999999,2670.43710349421
g09,1113.1740048963052,39.357300472679825,4.013693621246545,8.630816487173673,75.02842213515369,12.327067756426095,1.0983976235378572,880.4212760822531,2622.952536718664
g10,1113.1740048963052,39.357300472679825,4.013693621246545,8.630816487173675,75.02842213515369,12.327067756426098,1.0964275366444043,840.9399889427547,2509.831455899112
g11,1113.1740048963052,39.357300472679825,4.013693621246545,8.630816487173675,75.02842213515369,12.327067756426098,1.0945510286530178,821.116873490296,2454.869729543157
g12,1113.1740048963052,39.357300472679825,4.013693621246545,8.630816487173675,75.02842213515369,12.327067756426098,1.092720001376169,787.0106783426521,2356.846075623935
g13,1113.174004896305,39.357300472679825,4.013693621246546,8.630816487173675,75.02842213515368,12.327067756426098,1.0831848282167884,752.6474413046965,2273.780348131061
g14,1113.174004896305,39.357300472679825,4.013693621246546,8.630816487173675,75.02842213515368,12.327067756426098,1.081503749487802,722.0918062995396,2184.861314384757
g15,1113.174004896305,39.357300472679825,4.013693621246546,8.630816487173675,75.02842213515368,12.327067756426098,1.081503749487802,586.1346176195144,1773.4903510694987
g16,1113.174004896305,39.357300472679825,4.013693621246546,8.630816487173675,75.02842213515368,12.327067756426098,1.081307762959224,579.3641719997377,1753.322481244332
g17,1113.174004896305,39.35730047267983,4.013693621246545,8.630816487173675,75.02842213515368,12.327067756426095,1.0468339191632017,577.5789499797022,1805.4815645269614
g18,1113.174004896305,39.35730047267983,4.013693621246545,8.630816487173675,75.02842213515368,12.327067756426095,1.0466347102722904,569.7441692014166,1781.3294307802514
g19,1113.174004896305,39.35730047267983,4.013693621246544,8.630816487173675,75.02842213515368,12.327067756426095,1.0464946420416614,559.1157299017792,1748.333136856481
g20,556.5870024481525,19.678650236339916,4.013693621246545,8.630816487173675,75.02842213515368,12.327067756426095,1.0464946420416614,559.1157299017792,874.1665684282405
g21,556.5870024481525,19.678650236339916,4.013693621246545,8.630816487173675,75.02842213515368,12.327067756426095,1.0464946420416614,542.3018520036685,847.8783973786709
g22,556.5870024481525,19.678650236339916,4.013693621246545,8.630816487173675,75.02842213515368,12.327067756426095,1.0464946420416614,559.1157299017792,874.1665684282405
g23,1113.174004896305,39.35730047267983,4.013693621246544,8.630816487173675,75.02842213515368,12.327067756426095,1.0464946370416612,550.7175948738055,1722.0725035534597
g24,1113.174004896305,39.35730047267983,4.013693621246544,8.630816487173675,75.02842213515368,12.327067756426095,1.0464946370416612,522.7822879522978,1634.719885123176
g25,1113.174004896305,39.35730047267983,4.013693621246543,8.630816487173677,75.02842213515368,12.327067756426095,1.0115336788796425,518.8355324906751,1678.4517123016185
g26,1113.174004896305,39.35730047267983,4.013693621246543,8.630816487173677,75.02842213515368,12.327067756426095,1.0113506196628828,516.914246164219,1672.5389641770257
g27,1113.174004896305,39.357300472679825,4.013693621246544,8.630816487173677,75.02842213515368,12.327067756426098,1.010181334184753,513.8060797290191,1664.406437345411
g28,1113.174004896305,39.357300472679825,4.013693621246544,8.630816487173677,75.02842213515368,12.327067756426098,1.01,480.8121732080376,1557.806703291051
g29,1113.174004896305,39.357300472679825,4.013693621246544,8.630816487173677,75.02842213515368,12.327067756426098,1.01,413.52941807746936,1339.8140383820887
g30,1113.174004896305,39.357300472679825,4.013693621246544,8.630816487173677,75.02842213515368,12.3270677564261,1.01,387.0666510385371,1254.076034691734
