,mass flow (kg/s),molar enthalpy (kJ/mol),mole flow (kmol/s),pressure (bar),temperature (K),vapor fraction (dimensionless),volumetric flow (m**3/s)
hp01,134.5526510311515,12.934898768844004,7.468812067139467,244.00000000000003,439.7716861441859,0.0,0.14708582720438426
hp02,134.5526510311515,18.28517149489104,7.468812067139467,243.91268919464744,507.40428529707214,0.0,0.16000791857151814
hp03,134.5526510311515,18.598226157575716,7.468812067139466,243.8292238280551,511.21900563353046,0.0,0.16093614752862698
hp04,134.5526510311515,20.350010802730345,7.468812067139466,243.74717461714866,532.1802227822217,0.0,0.16656720642022793
hp05,134.55265103115147,21.64435416789288,7.468812067139465,243.6677852560844,547.1951236692073,0.0,0.17128091237869675
hp06,134.55265103115147,22.765443158326395,7.468812067139465,243.59045984950492,559.8210314384431,0.0,0.17581688605551313
hp06b,134.55265103115144,22.765443158326395,7.4688120671394636,173.59045984950492,559.3317960085883,0.0,0.1779501058208903
hp07,134.55265103115144,45.69057001619057,7.4688120671394636,173.59045984950492,627.2415196972775,1.0,1.0859434784571076
hp08,134.55265103115144,50.95056207893416,7.4688120671394636,173.42071081042943,658.590575941906,1.0,1.56321487484787
hp09,134.55265103115147,56.914846317423084,7.468812067139465,173.18280741623076,735.8696295986786,1.0,2.1532762244165906
hp10,134.55265103115147,60.402642589923644,7.468812067139465,172.84976246960915,797.652696498484,1.0,2.50458864718008
hp11,134.55265103115147,63.534903390843596,7.468812067139465,172.45564968791382,859.5175619849199,1.0,2.8172334632414695
ip01,35.92277110301542,12.440502893063947,1.9940181352292634,43.85,436.12545209746077,0.0,0.0396165484733552
ip02,35.92277110301543,14.336309164357365,1.9940181352292636,43.43032780496082,460.1972472502731,0.0,0.040749637140382364
ip03,19.42703461251074,14.336309164357365,1.0783650075319857,43.43032780496082,460.1972472502731,0.0,0.02203740376551878
ip04,16.49573649050468,14.336309164357365,0.9156531276972777,43.43032780496082,460.1972472502731,0.0,0.01871223337486358
ip05,19.42703461251074,18.793486077455068,1.0783650075319857,42.43281227071718,514.3170092644169,0.0,0.023907322128874593
ip06,19.42703461251074,50.4644789913937,1.0783650075319857,42.43281227071718,527.4354278013362,1.0,0.9114688738109352
ip07,19.42703461251074,52.50964889634963,1.0783650075319857,42.26432317531732,559.997196783991,1.0,1.0322971508062437
ip08,153.18582500257835,54.49480607537911,8.503111083475325,24.001353992747685,578.3211030388306,1.0,16.01676591053473
ip09,153.18582500257835,59.73120219482613,8.503111083475325,22.99280950062039,705.6845440088243,1.0,21.147888579300886
ip10,153.18582500257835,65.87276785191652,8.503111083475325,19.52069233094834,857.7119927729104,1.0,30.760170653434855
ip11,134.55265103115147,54.78312893712011,7.468812067139465,24.001353992747685,585.0649248415564,1.0,14.276256939385098
ip12,0.09956896176305205,54.78312893712011,0.005526920929683202,24.001353992747685,585.0649248415564,1.0,0.010564430135144968
ip13,0.6574242529382136,54.78312893712011,0.036492615760043846,24.001353992747685,585.0649248415564,1.0,0.06975379140583639
ip14,0.0368674263825355,54.78312893712011,0.0020464545063962132,24.001353992747685,585.0649248415564,1.0,0.003911694401391516
ip15,133.75879039006765,54.78312893712011,7.424746075943341,24.001353992747685,585.0649248415564,1.0,14.192027023442721
lp01,136.7681201042902,6.037915975333978,7.591789370232528,6.550000000000001,353.06884632474635,0.0,0.14069505143164204
lp02,136.7681201042902,10.18386667505014,7.591789370232528,6.550000000000001,407.52227220668755,0.0,0.14686244492497866
lp03,16.49573649050468,4.028375628507734,0.9156531276972777,43.430327804960825,325.6752232356305,0.0,0.016684025436424825
lp04,153.26385659479487,9.521353278027396,8.507442497929803,6.550000000000002,398.890937485505,0.0,0.16328581054176577
lp05,153.26385659479493,19.00014499219638,8.507442497929807,6.550000000000002,435.43468356567007,0.17799847731532115,8.063613549157438
lp06,170.4754221341669,12.347802327605827,9.46283020236873,6.550000000000002,435.43468356567007,1.0960303610498994e-16,0.18832810434421818
lp08,35.92277110301542,12.347802327605827,1.9940181352292634,6.550000000000002,435.43468356567007,1.0960303610498994e-16,0.03968470821147332
lp09,134.55265103115153,12.347802327605827,7.468812067139468,6.550000000000002,435.43468356567007,1.0960303610498994e-16,0.14864339613274488
lp10,38.6421401716155,49.720833630598676,2.144966157129358,6.550000000000002,435.4346835656718,1.0,11.224669377827759
lp11,38.6421401716155,54.529099986974714,2.144966157129358,6.550000000000002,557.0014239451161,1.0,14.893934454760299
lp12,55.853705710987526,19.94998765583287,3.1003538615682835,6.000000000000001,431.9764772652223,0.20952310636137522,3.7417443212795156
lp13,209.11756230578246,19.25384072210794,11.60779635949809,6.550000000000002,435.43468356567007,0.18478668049463465,11.412997482173008
