,mass flow (kg/s),mole flow (kmol/s),mole percent Ar (%),mole percent CO2 (%),mole percent H2 (%),mole percent H2O (%),mole percent N2 (%),mole percent O2 (%),pressure (bar),temperature (K),vapor fraction (%),volumetric flow (m**3/s)
feed01,89.64361781058095,9.578744681837552,,,54.10636108637288,45.89363891362711,,,2.9000020281750483,933.7686803760269,100,256.43764130813344
feed01b,89.64361781058093,9.57874468183755,,,54.10636108637289,45.89363891362712,,,2.9000020281750483,933.7883368078108,100,256.4430467903082
feed02,55.85370571098753,3.100353861568284,,,,100.0,,,2.9000020281750483,877.8914282762082,100.0,77.93168379141726
feed02b,55.85374291523387,3.100353861568284,,,1.00000000000017e-17,100.0,,,2.9000020281750483,877.8914282852219,100,77.90706586488035
feed03,55.85370571098753,3.100353861568284,,,,100.0,,,2.9000020281750483,577.1102799235267,100.0,50.94858850681736
hstrm01,49.96065232781416,9.578744681837552,,,79.99995712596835,20.000042874031653,,,2.9000020281750483,967.378401729149,100,265.762880585738
hstrm02,33.78987979801605,6.478390820269269,,,79.99995712596827,20.00004287403172,,,2.9000020281750483,967.378401729149,100,179.74336545576188
hstrm03,16.170772529798125,3.100353861568285,,,79.99995712596848,20.000042874031525,,,2.9000020281750483,967.378401729149,100,86.01951512997613
hstrm04,16.170772529798118,3.100353861568284,,,79.99995712596848,20.000042874031525,,,2.900002028175048,602.4920228768867,100,53.55929560807919
hstrm05,16.170772529798125,3.1003538615682853,,,79.99995712596848,20.000042874031525,,,2.900002028175048,294.9693034433446,100,26.140698878014376
hstrm06,4.999999999999998,2.480281760007936,,,100.0,,,,2.9000020281750483,294.96930344334453,100,20.99227844072923
hstrm07,4.999999999999999,2.4802817600079363,,,100.0,,,,2.900002028175048,300.0,100,21.350453665935948
hstrm08,4.999999999999999,2.4802817600079363,,,100.0,,,,6.612004624239106,393.98668643858304,100,12.311420488986506
hstrm09,4.999999999999999,2.4802817600079363,,,100.0,,,,6.612004624239106,300.0,100,9.374059470057212
hstrm10,5.0,2.4802817600079368,,,100.0,,,,15.07537054326516,394.05874524580537,100,5.414108983546369
hstrm11,5.0,2.4802817600079368,,,100.0,,,,15.075370543265157,300.0,100,4.121612381757373
hstrm12,5.0,2.4802817600079368,,,100.0,,,,34.37184483864456,394.21234871533187,100,2.38937800168128
hstrm13,5.000000000000001,2.480281760007937,,,100.0,,,,34.37184483864456,300.0,100,1.8186847326330067
hstrm15,5.0,2.4802817600079368,,,100.0,,,,65.0,371.1224055620057,100,1.2015292154341028
ostrm01,317.87373869927984,10.804383557745952,0.7544801801461061,0.02460261456998171,,0.8118862808093972,63.40913861836618,34.999892306108336,2.900002028175048,980.4271451925325,100,303.9314417215168
ostrm02,115.07581568789904,3.9113745476431876,0.7544801801461365,0.024602614569982702,,0.8118862808094297,63.40913861836876,34.9998923061057,2.900002028175048,980.4271451925325,100,110.02846196863906
ostrm03,202.79792301138076,6.893009010102763,0.7544801801460896,0.024602614569981186,,0.8118862808093796,63.409138618364814,34.99989230610975,2.900002028175048,980.4271451925325,100,193.9029797528777
ostrm04,202.79792301138076,6.8930090101027615,0.7544801801460895,0.02460261456998118,,0.8118862808093794,63.4091386183648,34.99989230610975,2.9000020281750474,604.6543432554877,100,119.59220427671225
ostrm05,202.7979230113807,6.8930090101027615,0.7544801801460895,0.02460261456998118,,0.8118862808093794,63.4091386183648,34.99989230610975,1.01,475.17383122856006,100,269.6826117303432
ostrm06,202.7979230113807,6.8930090101027615,0.7544801801460895,0.024602614569981186,,0.8118862808093796,63.4091386183648,34.99989230610975,1.01,328.85984462375546,100,186.53875161394623
sweep01,278.1917109775594,9.564242677741985,0.8523093235732829,0.027792695333911405,,0.9171589460190767,71.63104010726762,26.571698927806096,2.9000020281750483,924.4434454707658,100,253.69431362105533
sweep01b,278.1917109775594,9.564242677741984,0.8523093235732832,0.027792695333911405,,0.9171589460190768,71.63104010726764,26.571698927806096,2.9000020281750483,924.4700994532275,100,253.70162486786262
sweep02,163.11589513301416,5.652868130098802,0.9199999999999999,0.029999999999999992,,0.9899999999999999,77.32,20.74,2.9000020281750483,884.9894012710889,100,143.54923853488876
sweep03,163.1158951330142,5.652868130098803,0.9199999999999996,0.03,,0.9900000000000001,77.32,20.74,2.9000020281750483,407.2817403628709,100,66.0213876268769
sweep04,163.11589513301416,5.652868130098802,0.9199999999999999,0.03,,0.9900000000000001,77.32,20.74,1.01,288.15,100,133.99105525079952
water00,55.85370571098753,3.100353861568284,,,,100.0,,,1.01,288.1499999999987,0.0,0.055903881137025005
water01,55.85370571098753,3.100353861568284,,,,100.0,,,6.000000000000001,288.18502058879415,0.0,0.05589115201024374
water02,27.903400593116647,1.5488751315337994,,,,100.0,,,6.000000000000001,288.18502058879415,0.0,0.027922108019518797
water03,27.950305117870894,1.5514787300344848,,,,100.0,,,6.000000000000001,288.18502058879415,0.0,0.02796904399072495
water04,27.903400593116647,1.5488751315337994,,,,100.0,,,6.000000000000001,431.9764772652223,20.653366379788523,1.8430683308163747
water05,27.950305117870887,1.5514787300344846,,,,100.0,,,6.000000000000001,431.9764772652223,21.250753222226386,1.8986759904676462
