,mass flow (kg/s),molar enthalpy (kJ/mol),mole flow (kmol/s),pressure (bar),temperature (K),vapor fraction (dimensionless),volumetric flow (m**3/s)
cw01,3603.0536,1.26,200.0,5.0,289.69843477991645,0.0,3.606515207717068
cw02,3603.0536,2.1110080634318176,200.0,5.0,300.9946293994797,0.0,3.6158591460125535
t01,134.5526510311515,63.534903390843596,7.468812067139466,172.45564968791382,859.5175619849199,1.0,2.81723346324147
t02,134.55265103115147,54.78312893712011,7.468812067139465,24.001353992747685,585.0649248415564,1.0,14.276256939385098
t02_dummy,134.55265103115147,54.783128937120104,7.468812067139465,24.001353992747685,585.0649248415558,1.0,14.276256939385078
t03,153.18582500257835,65.87276785191654,8.503111083475325,19.52069233094834,857.7119927729111,1.0,30.76017065343488
t03_dummy,153.18582500257835,65.87276785191654,8.503111083475325,19.52069233094834,857.7119927729111,1.0,30.76017065343488
t04,153.18582500257844,55.681380975894285,8.503111083475329,2.900002028175048,583.4262807275425,1.0,141.3024067640418
t05,38.642140171615495,54.529099986974714,2.1449661571293577,6.550000000000002,557.0014239451161,1.0,14.893934454760295
t06,71.93661469027803,55.449263602129285,3.993091564903616,2.9000020281750483,577.1102799235267,1.0,65.61908352855193
t07,71.93661469027803,45.22489923451477,3.9930915649036156,0.05462634819182372,307.6085867031763,0.9780050020486077,1824.1849260825422
t08,71.93661469027803,2.600879744876093,3.9930915649036156,0.05462634819182372,307.6085867031763,3.771226604732342e-15,0.07235803484796559
t09,72.72979255270467,2.599779568764014,4.037119656099741,0.05462634819182372,307.59397522825526,0.0,0.07315549445982769
t10,72.7297925527047,2.6144900878682407,4.037119656099742,6.550000000000001,307.6494875639388,0.0,0.07313576760689355
t11,136.7681201042902,6.037915975333978,7.591789370232528,6.550000000000001,353.06884632474635,0.0,0.14069505143164204
t12,0.7931778624266433,2.5,0.0440280911961256,1.01325,306.2480854758892,0.0,0.0007974260755266168
t13,64.03764477292832,9.925546509979851,3.5546318141327857,2.9000020281750483,404.21861178113363,0.0,0.06856789722049246
t14,3.42290092e-05,50.392922742736474,1.9e-06,16.0,476.00000000000006,1.0,4.256381861378694e-06
t15,0.000648549648,50.49588623927032,3.6e-05,20.0,486.99999999999994,1.0,6.491796070568307e-05
t16,191.82796517419393,55.449263602129285,10.648077240604687,2.9000020281750483,577.1102799235267,1.0,174.9814795160043
t17,64.03764477292832,55.44926360212929,3.5546318141327857,2.9000020281750483,577.1102799235267,1.0,58.413807480634986
t18,55.85370571098753,55.44926360212929,3.100353861568284,2.9000020281750483,577.1102799235267,1.0,50.94858850681736
